"","x"
"bloß",-0.384219723620979
"ebenso",-0.325308684555425
"versetzte",-0.301998114552436
"nämlich",-0.294828815157159
"worin",-0.280910993079028
"selber",-0.265431928444966
"erwiderte",-0.254657285415373
"darin",-0.232165275574257
"teufel",-0.231944540249707
"leser",-0.204906762318641
"ins",-0.198944609229496
"jedoch",-0.184720976753811
"gerade",-0.183824239497827
"solche",-0.179464716837966
"drei",-0.176907865995263
"worauf",-0.176776804396312
"darauf",-0.173573842864041
"etwa",-0.173208249982755
"indes",-0.171879239382861
"damit",-0.169159136373043
"andere",-0.168995884205928
"womit",-0.165335356740475
"leute",-0.165247982341174
"solcher",-0.162858982318181
"inzwischen",-0.162679634866984
"wiewohl",-0.159945735899382
"ohren",-0.159662918764802
"kapitel",-0.157947621346945
"sei",-0.157729185348693
"obgleich",-0.155365477914971
"habt",-0.155050470212228
"worten",-0.15428939320779
"z",-0.151652065944678
"fügte",-0.151495711756455
"soviel",-0.150118415304316
"gesetzt",-0.149775815686004
"desto",-0.149463107309558
"nachdem",-0.149338943689499
"mensch",-0.147527074567152
"sofort",-0.14576349129705
"dergleichen",-0.144029799268814
"wer",-0.143700995608287
"befand",-0.1435124508519
"wollt",-0.141693683750661
"anderen",-0.140817640431354
"sondern",-0.140562415212343
"wovon",-0.139578303557058
"setzte",-0.138757444068888
"oben",-0.138651675059208
"wasser",-0.137295072543745
"unten",-0.136428226529627
"antwortete",-0.132149180290175
"seien",-0.131719206272562
"großer",-0.129509553700766
"tat",-0.128410475730611
"meister",-0.127207928077073
"sowie",-0.126614701892346
"könig",-0.126453749051528
"werke",-0.125430548849187
"ließen",-0.124839621990757
"werk",-0.123765836609873
"solchen",-0.123289876066313
"anderer",-0.121680347658136
"begab",-0.120418017520866
"geheimnis",-0.118969441953508
"heißt",-0.118247453496126
"kurz",-0.11799682692971
"lust",-0.117989928950817
"nase",-0.117461083902417
"imstande",-0.117217355314893
"wodurch",-0.1171230829367
"werdet",-0.115982617093192
"worden",-0.114911131038606
"tasche",-0.114807661355223
"vielmehr",-0.114005196477432
"fürsten",-0.113867236899588
"allerdings",-0.11372467866915
"größten",-0.11339817433492
"gleichsam",-0.112510634384125
"kein",-0.11176565266377
"miteinander",-0.111223011657584
"beiden",-0.110947092501897
"zwei",-0.110887310018165
"daran",-0.109953783541422
"seid",-0.109705456301304
"sache",-0.109107631463981
"gesagt",-0.108691453404153
"beim",-0.10863167092042
"schließlich",-0.108245384102458
"kopfe",-0.108201696902807
"solange",-0.107192292658251
"straße",-0.107127911521924
"anderes",-0.106571474557955
"dreimal",-0.10651399140052
"daraus",-0.106309351360051
"überhaupt",-0.10628405877078
"stube",-0.10623117426594
"b",-0.105952955783955
"anstatt",-0.105729921133108
"diener",-0.105674737301971
"euer",-0.105371226230714
"zumal",-0.104934354234209
"gehabt",-0.104610149226277
"allzu",-0.104605550573682
"de",-0.104423903796188
"gewissen",-0.104143385987906
"allmählich",-0.103405302246442
"rücken",-0.103269641994896
"zuletzt",-0.103260444689706
"wein",-0.103189165574487
"hab",-0.103037410038859
"hilfe",-0.103030512059966
"wort",-0.102927042376584
"weniger",-0.102687912441655
"setzen",-0.100958819066014
"falle",-0.100910533213768
"fuhr",-0.100551838311375
