"m_Fischer_Christian_Hannchen_1800" "m_Hauff_Bettlerin_1826" "m_Hippel_Lebenslaeufe_1779" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Jacobi_Eduard-Allwill_1792" "m_Klingemann_Nachtwachen_1804" "m_Paul_Siebenkaes_1796" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wieland_Agathon_1794" "m_Wieland_Peregrinus_1788" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"bloß" 0.00381199252849464 0 0.0501624759440957 0 0.0362830074581738 0.030919069336013 0.141375794886815 0.00164644286020054 0.0166614082789474 0.0167280026764804 0.0626548838079207 0.0181040530448754 0.0108113952105519 0 0.00535489571340598
"nämlich" 0.0114359775854839 0.0109247828699405 0.0116730289932801 0 0.00403144527313042 0.0103063564453377 0.09913203147442 0.0312824143438102 0.00602646682430013 0.00185866696405338 0.00748118015616964 0 0.00720759680703461 0.0202285829877617 0
"selber" 0.00762398505698929 0 0.00220841089062056 0.00832847505621721 0.0282201169119129 0 0.181366557583882 0.00823221430100268 0.00212698829092946 0.00185866696405338 0.00280544255856361 0 0 0.00404571659755234 0.0013387239283515
"ebenso" 0 0.0136559785874256 0.00252389816070922 0.00832847505621721 0.0362830074581738 0 0.0208402566167815 0.0559790572468183 0 0.00123911130936892 0 0.0339450994591414 0.0288303872281385 0 0
"jedoch" 0 0.00273119571748511 0.00126194908035461 0 0 0 0.00732225232481511 0.00164644286020054 0.0191428946183651 0.0030977782734223 0.00280544255856361 0 0 0 0.00401617178505449
"sondern" 0.00381199252849464 0.0273119571748511 0.114206391772092 0 0.048377343277565 0.0541083713380227 0.122788538985361 0.042807514365214 0.0329683185094066 0.0173475583311649 0.045822228456539 0.0452601326121886 0.041443681640449 0.0869829068473753 0.0415004417788964
"worin" 0.00381199252849464 0.00546239143497023 0.00220841089062056 0 0.0201572263656521 0.030919069336013 0.0456232644853865 0.00164644286020054 0.00354498048488243 0.117096018735363 0.072941506522654 0.0384711127203603 0.0342360848334144 0.0627086072620613 0
"heraus" 0.0419319178134411 0.00546239143497023 0.0164053380446099 0.00832847505621721 0.00806289054626083 0.0128829455566721 0.0366112616240756 0.00329288572040107 0.0177249024244122 0.00247822261873784 0.00841632767569084 0 0.00360379840351731 0.0101142914938809 0.00401617178505449
"versetzte" 0.00381199252849464 0 0.00189292362053191 0.0333139002248688 0 0 0.0292890092992605 0.0115251000214038 0.013116427794065 0.0111520017843203 0.0149623603123393 0.00226300663060943 0.00360379840351731 0.00404571659755234 0
"zwei" 0.053367895398925 0.0300431528923363 0.0530018613748935 0.0166569501124344 0.048377343277565 0.0386488366700162 0.11659278701821 0.0954936858916311 0.0482117345944011 0.0111520017843203 0.0355356057418058 0.0271560795673131 0.0198208912193452 0.0424800242742996 0.0481940614206538
"indes" 0 0 0 0.0749562755059549 0 0 0.0298522594780924 0 0 0.00805422351089798 0 0 0.00180189920175865 0 0
"hab" 0.0152479701139786 0.0136559785874256 0.0624664794775531 0.0249854251686516 0.0362830074581738 0.00515317822266883 0.0371745118029075 0 0.00354498048488243 0.00433688958279122 0.000935147519521204 0.047523139242798 0.00360379840351731 0.0404571659755234 0
"womit" 0 0.0163871743049107 0.0179827743950532 0.0749562755059549 0.0120943358193913 0.00515317822266883 0.0343582609087478 0.00658577144080215 0.00425397658185892 0.0867377916558244 0.0701360639640903 0.0226300663060943 0.0234246896228625 0.0343885910791949 0.00401617178505449
