"m_Fischer_Christian_Hannchen_1800" "m_Hauff_Bettlerin_1826" "m_Hippel_Lebenslaeufe_1779" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Jacobi_Eduard-Allwill_1792" "m_Klingemann_Nachtwachen_1804" "m_Paul_Siebenkaes_1796" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wieland_Agathon_1794" "m_Wieland_Peregrinus_1788" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"ward" 0.0228719551709679 0.00546239143497023 0.0962236173770388 0.0749562755059549 0.0886917960088692 0.00515317822266883 0.00281625089415966 0 0.0453757502064951 0.00371733392810676 0.0224435404685089 0 0.00180189920175865 0.00202285829877617 0.00535489571340598
"erwiederte" 0.0304959402279572 0 0.0306022651985992 0 0 0.00257658911133442 0 0 0.0230423731517358 0 0.00935147519521204 0 0 0.00809143319510468 0.00803234357010897
"fühlte" 0.0724278580413982 0.0573551100671874 0.00694071994195034 0.0499708503373032 0.0241886716387825 0.0180361237793409 0.00506925160948739 0.0279895286234091 0.0177249024244122 0.024162670532694 0.0317950156637209 0.0429971259815791 0.0270284880263798 0.0404571659755234 0.0348068221371389
"wußte" 0.0457439103419357 0.046430327197247 0.0381739596807269 0.0333139002248688 0.0241886716387825 0.00772976733400325 0.0214035067956134 0.046100400085615 0.0170159063274357 0.0384124505904365 0.0448870809370178 0.0339450994591414 0.0252265888246212 0.012137149792657 0.0227583067819754
"gefühl" 0.0190599626424732 0.0355055443273065 0.00283938543079787 0.0666278004497377 0.0403144527313042 0.00772976733400325 0.0101385032189748 0.0395146286448129 0.0269418516851065 0.0185866696405338 0.0187029503904241 0.0452601326121886 0.00720759680703461 0.0525943157681804 0.0803234357010897
"ihres" 0 0.0436991314797618 0.0258699561472695 0.0749562755059549 0.0765974601894779 0.0154595346680065 0.0366112616240756 0.0477468429458156 0.0747990882310193 0.0638142324324994 0.0692009164445691 0.149358437620222 0.163972827360037 0.0525943157681804 0.104420466411417
"herzen" 0.0343079327564518 0.0136559785874256 0.0473230905132978 0.0749562755059549 0.0604716790969563 0.0386488366700162 0.0833610264671259 0.0279895286234091 0.0478572365459128 0.0520426749934947 0.0299247206246785 0.0837312453325488 0.0720759680703461 0.024274299585314 0.109775362124823
"blick" 0.00381199252849464 0.0382367400447916 0.0236615452566489 0.0249854251686516 0.0322515621850433 0.0154595346680065 0.00619575196715125 0.0181108714622059 0.0358043028973125 0.0204453366045872 0.0177678028709029 0.0181040530448754 0.0198208912193452 0.0101142914938809 0.0415004417788964
"entgegen" 0.0190599626424732 0.00546239143497023 0.0151433889642553 0.0166569501124344 0.00403144527313042 0.0103063564453377 0.0146445046496302 0.00658577144080215 0.0432487619155657 0.0154888913671115 0.0224435404685089 0.00452601326121886 0.00720759680703461 0.0161828663902094 0.0267744785670299
"eilte" 0.0304959402279572 0.0136559785874256 0.000630974540177304 0.0249854251686516 0 0.00515317822266883 0.00394275125182352 0.00823221430100268 0.00673546292127662 0.0030977782734223 0.00841632767569084 0.0226300663060943 0.0234246896228625 0.00202285829877617 0.0307906503520844
"irgend" 0.00762398505698929 0.00819358715245535 0.00567877086159573 0.00832847505621721 0.00806289054626083 0.0103063564453377 0.0016897505364958 0.00164644286020054 0.00212698829092946 0.0526622306481791 0.0355356057418058 0.00452601326121886 0.00180189920175865 0.0970971983412562 0.00535489571340598
"einst" 0 0.0109247828699405 0.00820266902230495 0.108270175730824 0.0322515621850433 0.030919069336013 0.00112650035766386 0.00164644286020054 0.0159524121819709 0.0061955565468446 0.0149623603123393 0.0181040530448754 0.0162170928158279 0 0.0629200246325203
"welchem" 0.00381199252849464 0.0109247828699405 0.0085181562923936 0.00832847505621721 0.0161257810925217 0.00257658911133442 0.0202770064379495 0.0164644286020054 0.0340318126548713 0.0346951166623298 0.0533034086127087 0.031682092828532 0.0504531776492423 0.0667543238596136 0.0508715092773568
"hülfe" 0.0152479701139786 0.0191183700223958 0.00725620721203899 0.0582993253935204 0.0241886716387825 0 0.00225300071532773 0 0.0205608868123181 0.0111520017843203 0.0121569177537757 0.0339450994591414 0.0216227904211038 0.00202285829877617 0.0187421349969209
"seite" 0.0419319178134411 0.0546239143497023 0.014512414424078 0.00832847505621721 0.0362830074581738 0.0283424802246786 0.0191505060802857 0.021403757182607 0.0347408087518478 0.0433688958279122 0.0280544255856361 0.0362081060897508 0.041443681640449 0.0343885910791949 0.0575651289191143
"verlassen" 0.00381199252849464 0.0409679357622767 0.014512414424078 0.0333139002248688 0.0161257810925217 0.00772976733400325 0.00844875268247898 0.0724434858488236 0.013116427794065 0.0204453366045872 0.0224435404685089 0.0135780397836566 0.0162170928158279 0.024274299585314 0.0575651289191143
"lage" 0.0114359775854839 0.00273119571748511 0.00347035997097517 0 0.0282201169119129 0.00515317822266883 0.00675900214598318 0.0312824143438102 0.0166614082789474 0.0030977782734223 0.0158975078318605 0 0.00180189920175865 0.0323657327804187 0.0200808589252724
"mußte" 0.0800518430983875 0.0682798929371279 0.0324951888191311 0.041642375281086 0.0524087885506954 0.0438020148926851 0.0535087669890335 0.0444539572254145 0.0457302482549834 0.0662924550512373 0.0794875391593024 0.0973092851162054 0.046849379245725 0.13755436431678 0.0415004417788964
"brief" 0.0152479701139786 0.0163871743049107 0.0359655487901063 0 0.0362830074581738 0.00257658911133442 0.0191505060802857 0.0576255001070188 0.0163069102304592 0.00061955565468446 0.00654603263664843 0.031682092828532 0.0252265888246212 0 0.0321293742804359
"oft" 0.0304959402279572 0.161140547331622 0.0936997192163296 0.466394603148164 0.0725660149163475 0.100486975342042 0.0867405275401175 0.0164644286020054 0.0581376799520719 0.0315973383889075 0.0327301631832422 0.0362081060897508 0.0738778672721048 0.0525943157681804 0.153953251760422
"herz" 0.133419738497313 0.0764734800895832 0.0703536612297694 0.249854251686516 0.169320701471478 0.0283424802246786 0.134616792740832 0.0938472430314306 0.101386441867638 0.0786835681449265 0.0224435404685089 0.221774649799724 0.1873975169829 0.0182057246889855 0.148598356047016
"weis" 0 0 0 0 0 0 0.000563250178831932 0 0.000354498048488243 0 0 0 0 0 0
"anblick" 0.0114359775854839 0.0273119571748511 0.00441682178124113 0.00832847505621721 0.0120943358193913 0.00257658911133442 0.00394275125182352 0.0312824143438102 0.0155979141334827 0.0439884514825967 0.0205732454294665 0.0203670596754848 0.0360379840351731 0.0182057246889855 0.0294519264237329
"denken" 0.0381199252849464 0.0655486972196428 0.0413288323816134 0.0166569501124344 0.0241886716387825 0.0360722475586818 0.0281625089415966 0.0296359714836097 0.0347408087518478 0.0384124505904365 0.0346004582222846 0.0588381723958451 0.0630664720615529 0.0222514412865379 0.0267744785670299
"betragen" 0.00381199252849464 0.0163871743049107 0.00126194908035461 0 0 0.00257658911133442 0.00394275125182352 0.00164644286020054 0.00319048243639419 0.0260213374967473 0.0149623603123393 0.00452601326121886 0.00540569760527596 0.0101142914938809 0.0294519264237329
"welchen" 0.00381199252849464 0.0136559785874256 0.0078871817522163 0 0.0120943358193913 0.0103063564453377 0.0264727584051008 0.0296359714836097 0.0124074316970885 0.0446080071372811 0.0523682610931875 0.0384711127203603 0.0342360848334144 0.0687771821583898 0.0522102332057083
"selbst" 0.0762398505698929 0.155678155896652 0.221156576332145 0.141584075955693 0.169320701471478 0.355569297364149 0.0016897505364958 0.156412071719051 0.197100914959463 0.364918280609147 0.332912516949549 0.153884450881441 0.142350036938934 0.42277738444422 0.188760073897561
"freundin" 0 0.0191183700223958 0.00252389816070922 0.0166569501124344 0.00806289054626083 0 0.0118282537554706 0 0.0127619297455768 0.016108447021796 0.0168326553513817 0.0814682387019394 0.0738778672721048 0.0788914736522707 0.00267744785670299
"gefühle" 0.0114359775854839 0.00546239143497023 0 0.0249854251686516 0.0161257810925217 0.0154595346680065 0.0140812544707983 0.0197573143224064 0.00886245121220608 0.00061955565468446 0.0121569177537757 0.00226300663060943 0 0.0283200161828664 0.0174034110685694
"verbindung" 0.00381199252849464 0.00819358715245535 0.00536328359150708 0 0.0161257810925217 0 0.0016897505364958 0.00823221430100268 0.00886245121220608 0.0154888913671115 0.0289895731051573 0.0248930729367037 0.0198208912193452 0.0364114493779711 0.0254357546386784
"teil" 0.0114359775854839 0.0218495657398809 0.042590781461968 0.0166569501124344 0.0161257810925217 0 0.00506925160948739 0.0444539572254145 0.0180794004729004 0.0569991202309703 0.0495628185346238 0.0429971259815791 0.0432455808422077 0.0465257408718519 0.0267744785670299
"aufmerksamkeit" 0 0.00546239143497023 0.00157743635044326 0 0 0.00257658911133442 0.00506925160948739 0.00658577144080215 0.011698435600112 0.016108447021796 0.0224435404685089 0.0135780397836566 0.0270284880263798 0.0182057246889855 0.0495327853490053
"schnell" 0.0190599626424732 0.0436991314797618 0.014512414424078 0.0333139002248688 0 0.0360722475586818 0.0101385032189748 0.0279895286234091 0.00886245121220608 0.00867377916558244 0.0102866227147332 0.00905202652243771 0.00540569760527596 0.00404571659755234 0.0160646871402179
"ton" 0.00381199252849464 0.024580761457366 0.00946461810265956 0 0 0.0180361237793409 0.00732225232481511 0.0279895286234091 0.00567196877581189 0.024162670532694 0.00748118015616964 0.0565751657652357 0.0576607744562769 0 0.00535489571340598
"entfernt" 0.00381199252849464 0.0109247828699405 0.00441682178124113 0 0 0 0.0016897505364958 0.0329288572040107 0.00779895706674135 0.0192062252952183 0.0149623603123393 0.0181040530448754 0.0198208912193452 0.0303428744816426 0.0294519264237329
"einsamkeit" 0.00381199252849464 0.0136559785874256 0.00189292362053191 0.0166569501124344 0 0.00257658911133442 0.00844875268247898 0.0115251000214038 0.00425397658185892 0.0061955565468446 0.00467573759760602 0.00226300663060943 0.00720759680703461 0.0161828663902094 0.00937106749846047
