"m_Crebillon_Schaumloeffel_1735" "m_Defoe_Robinson-Crusoe_1719" "m_Diderot_Die-Nonne_1796" "m_Diderot_Kleinode_1748" "m_Engel_Lorenz-Stark_1801" "m_Fischer_Christian_Hannchen_1800" "m_Forster_Ansichten_1791" "m_Gellert_Graefin-von-G_1747" "m_Goethe_Lehrjahre_1795" "m_Goethe_Wanderjahre_1821" "m_Goethe_Werther_1774" "m_Heinse_Hildegard_1795" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Hoffmann_Kater-Murr_1820" "m_Hunold_Adalie_1702" "m_Jacobi_Eduard-Allwill_1792" "m_Jacobi_Woldemar_1779" "m_Knigge_Benjamin-Noldmann_1790" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Lesage_Gil-Blas_1715" "m_Loen_Der-redliche-Mann_1740" "m_Manzoni_Die-Verlobten_1826" "m_Miller_Siegwart_1776" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopf_1786" "m_Mueller_Siegfried_1779" "m_Nicolai_Sebaldus-Nothanker_1773" "m_Novalis_Ofterdingen_1802" "m_Paul_Flegeljahre_1804" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Paul_Siebenkaes_1796" "m_Sade_Geschichte-der-Justine_1797" "m_Schiller_Geisterseher_1787" "m_Schilling_Denkwuerdigkeiten_1787" "m_Schlegel_Lucinde_1799" "m_Stendhal_Rot-und-Schwarz_1830" "m_Swift_Gullivers-Reisen_1726" "m_Tieck_William-Lovell_1795" "m_Voss_Ini_1810" "m_Walpole_Otranto_1764" "m_Wezel_Kakerlak_1784" "w_Ahlefeld_Erna_1820" "w_Ehrmann_Amalie_1787" "w_Fischer_Gustav_1801" "w_Fischer_Margarethe_1812" "w_Fischer_Vierzehn-Tage_1801" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Resignation_1829" "w_Froelich_Kentucky_1819" "w_Huber_Ellen-Percy_1822" "w_Huber_Klosterberuf_1830" "w_Huber_Luise_1796" "w_La-Roche_Rosaliens-Briefe_1779" "w_Naubert_Alf-von-Duelmen_1790" "w_Schlegel_Florentin_1801" "w_Unger_Albert-und-Albertine_1804"
"bloß" 0.051936605864115 0.0339154329062757 0 0.0110236871477587 0 0.00381199252849464 0.0419400996694133 0.0230366492146597 0.0119061793070604 0.00888840268566506 0 0.0440531980343159 0 0.0188064664154123 0.0145194616630368 0.0362830074581738 0.0069230502959604 0.0224995982214603 0.0540087531427507 0 0.0032758691290283 0.00314783586284429 0.000504126273548999 0.0271606279537183 0.0400560785099139 0.0275867922926746 0.0770517066133316 0 0.100235774715368 0.190818273655854 0.141375794886815 0.0239185402856557 0.0289116093253082 0.028235089700708 0.08356452852893 0.0185939272233688 0.00302428500861921 0.0222321031569586 0.00170986936598044 0 0.0304453723034099 0 0 0 0.00527384436885268 0 0 0.000724968645106099 0.0106001448686465 0 0 0.0025438172521686 0.00317904374364191 0.000996105228556345 0.0269348177410666 0.00445493829910456
"ebenso" 0.0409197500747572 0 0.0254600162018285 0.0234253351889873 0 0 0 0.031413612565445 0.0181180989455266 0.0218791450724063 0.0151614696517916 0.000759537897143378 0.00832847505621721 0.0315948635778926 0 0.0362830074581738 0 0.026785235977929 0 0.0231996397232419 0 0.0238336143901068 0 0.0380248791352056 0 0 0.0368864552936162 0 0.021434065033475 0.0187076738878288 0.0208402566167815 0.0643522631495023 0.0157699687228954 0.028235089700708 0.0066851622823144 0.0247919029644918 0.0231861850660806 0.0387473797878422 0 0 0.0173973556019485 0 0 0 0 0 0 0 0.0282670529830574 0.00451207544190139 0.00425921587835679 0 0 0 0.0359130903214222 0
"womit" 0.0283290577440627 0.0269939159866276 0.00462909385487791 0.00826776536081906 0.0586510263929619 0 0.0633213269518593 0.0146596858638743 0.0150121391262935 0.00957212596917775 0.0126345580431597 0.0113930684571507 0.0749562755059549 0.00677032790954842 0.00335064499916234 0.0120943358193913 0.0138461005919208 0.020356779343226 0.0186237079802589 0.00272936937920493 0.0196552147741698 0.00359752670039348 0.00252063136774499 0.0496651482582277 0.052072902062888 0.0127323656735421 0.0229515721826945 0.00447017277217764 0.0296294428403919 0.0261907434429603 0.0343582609087478 0.00341693432652224 0.023654953084343 0 0.0033425811411572 0 0.0211699950603345 0.0025408117893667 0.0136789549278435 0.0217344055640078 0.0173973556019485 0.00178689491271018 0.0221022654822119 0.00504591785245736 0.00527384436885268 0.00739590266992086 0 0.000724968645106099 0.0123668356800876 0.00112801886047535 0 0.0025438172521686 0.0077205348059875 0.00398442091422538 0.00538696354821332 0.0245021606450751
"nämlich" 0.00157383654133682 0.0207645507589443 0.00694364078231686 0.0124016480412286 0 0.0114359775854839 0.0180918077005312 0.0146596858638743 0.00207063987948876 0.0102558492526905 0 0.00911445476572053 0 0.0556671405896203 0 0.00403144527313042 0 0.0439277870038035 0.0130365955861812 0.00477639641360864 0 0.00674536256323777 0.000504126273548999 0.036472843252136 0 0 0.0196727761565953 0 0.101496602070279 0.0673476259961836 0.09913203147442 0.00569489054420374 0.00525665624096512 0.00868771990791017 0.0066851622823144 0.0198335223715934 0.12802806536488 0.0127040589468335 0.00512960809794132 0 0 0.0303772135160731 0 0 0.00527384436885268 0 0 0.0021749059353183 0.00706676324576436 0 0 0.00763145175650581 0 0 0.0125695816124978 0
"worin" 0.0834133366908513 0.025609612602698 0.00231454692743895 0.0124016480412286 0.0383487480261674 0.00381199252849464 0.0312494860281903 0 0.0124238392769326 0.0150419122372793 0 0.0379768948571689 0 0.00902710387939789 0 0.0201572263656521 0 0.0107140943911716 0 0.0020470270344037 0.00163793456451415 0.0103428892636313 0.000504126273548999 0.0791538300365505 0.0360504706589225 0 0.045903144365389 0.00894034554435529 0.0416073027120396 0.0299322782205261 0.0456232644853865 0.000569489054420374 0.0341682655662733 0.00217192997697754 0 0.00247919029644918 0.0262104700746998 0.00190560884202503 0.0102592161958826 0.0244512062595088 0.00434933890048713 0 0 0.00504591785245736 0 0 0.00238390388099552 0.0036248432255305 0.00353338162288218 0.00225603772095069 0.00638882381753519 0.00508763450433721 0.00408734195611103 0.00398442091422538 0.00359130903214222 0.0378669755423887
"leute" 0.0188860384960418 0.0332232812143109 0.0208309223469506 0.044094748591035 0.00676742612226483 0.00381199252849464 0.00904590385026562 0.0397905759162304 0.0284712983429704 0.0177768053713301 0.0303229393035832 0.0159502958400109 0 0.0338516395477421 0.0402077399899481 0.0725660149163475 0.051922877219703 0.0846413456902555 0.0148989663842071 0.0607284686873098 0.133491667007903 0.0670039347948286 0.0458754908929589 0.0496651482582277 0.0120168235529742 0.0827603768780239 0.0614774254893603 0.0201157774747994 0.0245861334207507 0.0486399521083548 0.0366112616240756 0.0432811681359484 0.0289116093253082 0.00217192997697754 0 0.0446254253360852 0.0695585551982419 0.0400177856825256 0.00512960809794132 0.0217344055640078 0.0826374391092554 0.00536068473813055 0.0272027882857993 0.0302755071147442 0.0527384436885268 0.0369795133496043 0.00953561552398207 0.0427731500612598 0.00706676324576436 0.0203043394885562 0.0149072555742488 0.0305258070260233 0.0590393838104927 0.0239065254853523 0.0287304722571377 0.00890987659820911
"hab" 0.00786918270668408 0.00138430338392962 0 0.0413388268040953 0.0609068351003835 0.0152479701139786 0.000822354895478693 0 0.00880021948782723 0.0191442519383555 0.0404305857381109 0.00987399266286391 0.0249854251686516 0.0127883971624803 0 0.0362830074581738 0.0449998269237426 0 0.00186237079802589 0.000682342344801234 0.00982760738708489 0.00224845418774592 0.160312154988582 0.00232805382460442 0.0160224314039656 0.0530515236397589 0.00163939801304961 0.0111754319304441 0.0334119249051227 0.0299322782205261 0.0371745118029075 0.00455591243536299 0.0341682655662733 0.00434385995395508 0 0.00681777331523524 0 0.0520866416820174 0.00512960809794132 0.0489024125190176 0.00434933890048713 0.0160820542143917 0.0119012198750372 0 0.0395538327663951 0 0 0 0 0.00112801886047535 0 0 0.0177118151431478 0.00199221045711269 0.00179565451607111 0.00890987659820911
"ins" 0.0393459135334204 0.00969012368750735 0.0393472977664622 0.0399608659106255 0.0270697044890593 0.0838638356268822 0.0296047762372329 0.0104712041884817 0.0424481175295196 0.0601676489491173 0.0303229393035832 0.0387364327543123 0.0999417006746065 0.0707123137219502 0.0413246216563355 0.0322515621850433 0.0588459275156634 0.0107140943911716 0.0353850451624919 0.0600461263425086 0.0614225461692805 0.0517144463181563 0.117461421736917 0.0395769150182752 0.0560785099138794 0.0806383159324336 0.0606577264828355 0.0357613821774212 0.116626530329202 0.12347064765967 0.066463521102168 0.0415727009726873 0.0499382342891687 0.0825333391251466 0.0367683925527292 0.0477244132066467 0.0231861850660806 0.0203264943149336 0.0478763422474523 0.0516192132145186 0.0826374391092554 0.039311688079624 0.0918094104645726 0 0.0369169105819687 0 0.0309907504529417 0.0449480559965781 0.0300337437944985 0.0462487732794892 0.0447217667227463 0.0152629035130116 0.0231616044179625 0.0209182097996832 0.0359130903214222 0.00890987659820911
"herr" 0.0456412596987677 0.0311468261384165 0.122670987154265 0.166733268109851 0.428603654410106 0.312583387336561 0.00904590385026562 0.10261780104712 0.021741718734632 0.0341861641756348 0.0303229393035832 0.0349387432685954 0 0.123370419685105 0.0502596749874351 0.0322515621850433 0.0034615251479802 0.110355172229067 0.13595306825589 0.224490631439606 0.153146881782073 0.119617762788083 0.116453169189819 0.0186244305968354 0.052072902062888 0.424412189118071 0.143447326141841 0.00447017277217764 0.0384552343247639 0.0785722303288809 0.0174607555437899 0.138955329278571 0.160328015349436 0.14117544850354 0.0200554868469432 0.207632187327619 0.103833785295926 0.0514514387346757 0.00512960809794132 0.266246468159096 0.139178844815588 0.0178689491271018 0.0527054023037361 0.055505096377031 0.398175249848377 0.133126248058576 0.0190712310479641 0.0427731500612598 0.019433598925852 0.111673867187059 0.0404625508443896 0.0305258070260233 0.14441941578259 0.0418364195993665 0.0484826719339199 0.0913262351316434
"gar" 0.0786918270668408 0.0782131411920236 0.0462909385487791 0.0675200837800223 0.112790435371081 0.121983760911829 0.050986003519679 0.0816753926701571 0.0740253756917231 0.138112103269565 0.0808611714762218 0.0713965623314775 0.041642375281086 0.187312405497506 0.116155693304294 0.10078613182826 0.0553844023676832 0.107140943911716 0.0614582363348543 0.0218349550336395 0.0515949387821956 0.0449690837549185 0.119982053104662 0.0574253276735758 0.0280392549569397 0.146422205245735 0.138529132102692 0.0201157774747994 0.0958228789731822 0.0860552998840124 0.103074782726244 0.0244880293400761 0.0709648592530291 0.0434385995395508 0.123675502222816 0.0570213768183311 0.0100809500287307 0.10989010989011 0.027357909855687 0.0135840034775049 0.0521920668058455 0.0250165287779426 0.0994601946699537 0.0605510142294883 0.168763019803286 0.0739590266992086 0.0166873271669686 0.0529227110927452 0.0371005070402629 0.0970096220008799 0.0298145111484976 0.0432448932868663 0.0440524633047522 0.0408403143708101 0.0879870712874843 0.104691050028957
"erwiderte" 0.0645272981948095 0.00207645507589443 0.0555491262585349 0.0992131843298287 0 0.00381199252849464 0 0 0.00569425966859409 0.0232465916394317 0 0 0.0166569501124344 0.0962891080469108 0 0.00806289054626083 0.0034615251479802 0.00857127551293727 0 0.152162342890675 0 0.00134907251264755 0 0.00232805382460442 0 0 0.00573789304567363 0 0.0113474461941926 0 0.0016897505364958 0.0495455477345725 0.00262832812048256 0.0217192997697754 0.0100277434234716 0.0340888665761762 0.0252023750718268 0.000635202947341676 0 0 0.00434933890048713 0 0 0 0 0 0 0 0.0371005070402629 0 0 0 0.000454149106234559 0 0.0179565451607111 0
"teufel" 0 0.00276860676785924 0.00231454692743895 0.0110236871477587 0 0.0152479701139786 0.00328941958191477 0 0.00465893972884971 0.00136744656702539 0.00758073482589579 0.00151907579428676 0 0.0203109837286453 0 0.00403144527313042 0 0.00214281887823432 0.00558711239407766 0.0102351351720185 0 0.0283305227655987 0.010586651744529 0.00388008970767404 0.00801121570198278 0.0106103047279518 0.00901668907177284 0 0.0277382018080264 0.0636060912186179 0.0371745118029075 0.0318913870475409 0.0105133124819302 0.00434385995395508 0.0033425811411572 0.021073117519818 0 0.000635202947341676 0 0.00815040208650293 0.00869867780097425 0 0.00425043566965614 0 0 0.0295836106796835 0.0166873271669686 0.0014499372902122 0 0.00112801886047535 0 0.0025438172521686 0.00136244731870368 0.00597663137133807 0.00359130903214222 0
"worden" 0.0582319520294622 0.0539878319732553 0.0185163754195116 0.0110236871477587 0.0338371306113242 0.0190599626424732 0.0246706468643608 0.0670157068062827 0.0424481175295196 0.0389722271602237 0.037903674129479 0.0356982811657388 0 0.0353561568609751 0.0658960183168593 0.048377343277565 0.0588459275156634 0.0685702041034982 0.0391097867585436 0.0170585586200308 0.0294828221612547 0.0449690837549185 0.0181485458477639 0.0279366458952531 0.0200280392549569 0.00636618283677107 0.0967244827699269 0.0201157774747994 0.0132386872265581 0.014966139110263 0.0225300071532773 0.0313218979931206 0.0525665624096512 0.00434385995395508 0.0033425811411572 0.0402868423172992 0.0594776051695112 0.00571682652607508 0.0598454278093154 0.00815040208650293 0 0.0214427389525222 0.0221022654822119 0.0201836714098294 0.0184584552909844 0.0147918053398417 0.00238390388099552 0.0137744042570159 0.0441672702860272 0.0248164149304576 0.021296079391784 0.0508763450433721 0.0322445865426537 0.0527935771134863 0.0323217812892799 0.0311845680937319
"dazu" 0.051936605864115 0.0415291015178887 0.0879527832426802 0.0234253351889873 0.0563952176855403 0.0266839476994625 0.0386506800874986 0.0293193717277487 0.0315772581622036 0.0273489313405079 0.037903674129479 0.0805110170971981 0 0.0278335702948102 0.00111688166638745 0.0443458980044346 0.0588459275156634 0.0567847002732094 0.0428345283545954 0.0307054055160555 0.00491380369354244 0.058459808881394 0.0357929654219789 0.0488891303166929 0.0400560785099139 0.0466853408029879 0.0426243483392898 0.0178806910887106 0.0617805403906043 0.0486399521083548 0.0675900214598318 0.0552404382787763 0.0709648592530291 0.0304070196776856 0.016712905705786 0.0471046156325344 0.0211699950603345 0.0336657562091088 0.0290677792216675 0.0244512062595088 0.0608907446068198 0.0178689491271018 0.0459047052322863 0.0504591785245736 0.0342799883975424 0.103542637378892 0.0190712310479641 0.0384233381906233 0.0300337437944985 0.0315845280933097 0.021296079391784 0.0559639795477093 0.0449607615172213 0.0139454731997888 0.0574609445142755 0.0200472223459705
