"m_Argens_Therese_1748" "m_Arnim_Graefin-Dolores_1810" "m_Arnim_Isabella-von-Aegypten_1812" "m_Bruckbraeu_Mittheilungen_1829" "m_Cleland_Fanny-Hill_1748" "m_Klinger_Faust_1791" "m_Paul_Loge_1793" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Scott_Ivanhoe_1819" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wezel_Belphegor_1776" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"bloß" 0.00292585873954005 0.0319142619641373 0.0253042840152838 0.00645841854857807 0 0.0124298876648902 0.192117211441943 0.00525786543807878 0.0243236669279209 0.0166614082789474 0.0107388316151203 0.0181040530448754 0.0108113952105519 0 0.00535489571340598
"ebenso" 0.0614430335303412 0 0 0.00107640309142968 0.0325006964434952 0.0170910955392241 0.0332382718757686 0 0.0290532688305721 0 0 0.0339450994591414 0.0288303872281385 0 0
"womit" 0.0117034349581602 0.00593753710960694 0.0177129988106987 0.03336849583432 0 0.0186448314973353 0.0279201483756457 0.00591509861783862 0.00945920380530256 0.00425397658185892 0.00859106529209622 0.0226300663060943 0.0234246896228625 0.0343885910791949 0.00401617178505449
"nämlich" 0.0146292936977003 0.00593753710960694 0.00759128520458514 0.0193752556457342 0.0278577398087102 0.00310747191622256 0.0724594326891756 0.00262893271903939 0.00608091673198022 0.00602646682430013 0.00322164948453608 0 0.00720759680703461 0.0202285829877617 0
"worin" 0.0146292936977003 0.0141016506353165 0.0227738556137554 0.0398269143828981 0 0.0201985674554466 0.0226020248755227 0 0.00608091673198022 0.00354498048488243 0 0.0384711127203603 0.0342360848334144 0.0627086072620613 0
"leute" 0.0234068699163204 0.0630863317895737 0.0404868544244541 0.00538201545714839 0.0278577398087102 0.0170910955392241 0.0365620990633455 0.0893837124473392 0.0371611578065458 0.00992594535767081 0.0547680412371134 0.0837312453325488 0.0540569760527596 0.00606857489632851 0.0120485153551635
"hab" 0.00292585873954005 0.0178126113288208 0.0253042840152838 0.0182988525543045 0.00464295663478503 0.027967247246003 0.0412154571259531 0.0519214212010279 0.000675657414664469 0.00354498048488243 0.00214776632302406 0.047523139242798 0.00360379840351731 0.0404571659755234 0
"ins" 0.0438878810931008 0.0489846811542572 0.0708519952427946 0.00322920927428904 0.0185718265391401 0.0357359270365594 0.073124198126691 0.0867547797282998 0.0439177319531905 0.0336773146063831 0.0300687285223368 0.0271560795673131 0.00720759680703461 0.0424800242742996 0.0187421349969209
"herr" 0.114108490842062 0.0504690654316589 0.0379564260229257 0.0882650534972336 0.148574612313121 0.0435046068271158 0.0385563953758916 0.155764263603084 0.102024269614335 0.147471188171109 0.038659793814433 0.0294190861979226 0.0342360848334144 0.024274299585314 0.0589038528474658
"gar" 0.0702206097489613 0.0734770217313858 0.0506085680305676 0.0656605885772104 0.00928591326957006 0.0155373595811128 0.0910728649396061 0.166279994479241 0.03175589848923 0.051047718982307 0.0665807560137457 0.0226300663060943 0.0342360848334144 0.0890057651461515 0.0147259632118664
"erwiderte" 0.00877757621862017 0.00296876855480347 0 0.00107640309142968 0.0557154796174204 0.00621494383244511 0.000664765437515373 0.00131446635951969 0.0493229912705062 0 0 0.00452601326121886 0.00360379840351731 0 0
"teufel" 0.0468137398326409 0.0259767248545303 0.020243427212227 0.0129168370971561 0.00464295663478503 0.733363372228523 0.0186134322504304 0.0460063225831893 0.0243236669279209 0.010280443406159 0.00859106529209622 0.00452601326121886 0.00360379840351731 0 0.00401617178505449
"worden" 0.052665457311721 0.0616019475121719 0.0885649940534933 0.0182988525543045 0.0185718265391401 0.00310747191622256 0.0126305433127921 0.0354905917070317 0.0520256209291641 0.0109894395031355 0.0558419243986254 0.0407341193509697 0.046849379245725 0.0364114493779711 0.00803234357010897
"dazu" 0.052665457311721 0.0319142619641373 0.0278347124168122 0.0312156896514607 0.0789302627913455 0.0621494383244511 0.0478631115011068 0.0440346230439097 0.0385124726358747 0.0315503263154536 0.0536941580756014 0.0497861458734074 0.0630664720615529 0.0647314655608375 0.0200808589252724
"herrn" 0.0468137398326409 0.0103906899418121 0.0177129988106987 0.0656605885772104 0.0650013928869904 0.0233060393716692 0.0259258520630995 0.0545503539200673 0.0567552228318154 0.0432487619155657 0.0526202749140893 0.031682092828532 0.0504531776492423 0.0343885910791949 0.0428391657072478
"versetzte" 0.0263327286558605 0 0.00253042840152838 0.0129168370971561 0.00928591326957006 0.00466120787433384 0.00132953087503075 0.000657233179759847 0.144590686738196 0.013116427794065 0.00107388316151203 0.00226300663060943 0.00360379840351731 0.00404571659755234 0
"andere" 0.0819240447071215 0.0103906899418121 0.00506085680305676 0.0419797205657575 0.0232147831739252 0.00932241574866767 0.0139600741878228 0.0663805511557446 0.0560795654171509 0.0928784887039197 0.00429553264604811 0.0226300663060943 0.0324341856316558 0.107211489835137 0.0562264049907628
