"m_Argens_Therese_1748" "m_Arnim_Graefin-Dolores_1810" "m_Brentano_Godwi_1801" "m_Clauren_Liebe-und-Irrtum_1827" "m_Crebillon_Schaumloeffel_1735" "m_Crebillon_Sopha_1742" "m_Defoe_Moll-Flanders_1722" "m_Diderot_Jakob_1796" "m_Diderot_Kleinode_1748" "m_Eichendorff_Ahnung-und-Gegenwart_1815" "m_Goethe_Wanderjahre_1821" "m_Goethe_Werther_1774" "m_Hauff_Memoiren-des-Satan_1826" "m_Hippel_Kreuz-und-Querzuege_1793" "m_Hippel_Lebenslaeufe_1779" "m_Hoelderlin_Hyperion_1797" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Hoffmann_Elixiere_1816" "m_Hoffmann_Kater-Murr_1820" "m_Knigge_Josephs-von-Wurmbrands_1792" "m_Miller_Siegwart_1776" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopf_1786" "m_Nicolai_Sebaldus-Nothanker_1773" "m_Paul_Flegeljahre_1804" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Paul_Quintus-Fixlein_1796" "m_Paul_Siebenkaes_1796" "m_Paul_Titan_1800" "m_Pestalozzi_Lienhard-und-Gertrud_1781" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Schnabel_Wunderliche-Fata_1731" "m_Scott_Ivanhoe_1819" "m_Spindler_Der-Jude_1827" "m_Sterne_Tristram-Shandy_1759" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Tieck_William-Lovell_1795" "m_Wezel_Hermann-und-Ulrike_1780" "m_Wezel_Kakerlak_1784" "m_Wieland_Abderiten_1774" "m_Wieland_Aristipp_1801" "w_Ahlefeld_Erna_1820" "w_Ahlefeld_Marie-Mueller_1799" "w_Ehrmann_Amalie_1787" "w_Fischer_Gustav_1801" "w_Fischer_Honigmonathe_1802" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Resignation_1829" "w_Huber_Seldorf_1795" "w_La-Roche_Oneida_1798" "w_La-Roche_Rosaliens-Briefe_1779" "w_Liebeskind_Maria_1784" "w_Mereau_Bluethenalter_1794" "w_Naubert_Amtmannin_1787" "w_Schopenhauer_Die-Tante_1823" "w_Wolzogen_Agnes_1798"
"leser" 0 0.0044531528322052 0.0142813938640411 0.00870511425462459 0.0251813846613891 0.00142818377868864 0.00398352414413984 0.0812374082017287 0.00275592178693969 0.00223157002108834 0.00752095611863966 0.00505382321726386 0.0201261237085737 0.00959764537766735 0.0492160141338297 0 0 0.00840925017519271 0.0270813116381937 0.00955566172957477 0.001512378820647 0 0.0200280392549569 0.0286894652283681 0.00945620516182719 0.00748306955513151 0.0567397836150979 0.0309787598357562 0.0116872638984188 0.00197169953927954 0 0.00794169956550544 0.00878354639063809 0 0.0504070222196472 0.00531747072732365 0.000635202947341676 0.00270865337362778 0.00869867780097425 0.0381420185500451 0.0155515083235128 0 0 0.00510052280358737 0 0.00596676511829112 0 0 0.00108240336843928 0 0.000908298212469118 0.00255098787005268 0 0.00175024065809049 0.0040842999509884 0
"leute" 0.0234068699163204 0.0630863317895737 0.0285627877280823 0.0174102285092492 0.0188860384960418 0.0628400862623002 0.0406319462702263 0.0519919412491064 0.044094748591035 0.02677884025306 0.0177768053713301 0.0303229393035832 0.0570240171742922 0.0207948983182792 0.0728775593904786 0.0145912369199983 0 0.00747488904461574 0.0338516395477421 0.0525561395126612 0.0458754908929589 0.0496651482582277 0.0120168235529742 0.0614774254893603 0.0245861334207507 0.0486399521083548 0.0399757566379099 0.0366112616240756 0.0196044426683155 0.0893837124473392 0 0.0848507900946107 0.0371611578065458 0.0352943855361331 0.0301283351197891 0.00992594535767081 0.0400177856825256 0.0661685324129071 0.0826374391092554 0.0837263821830259 0.0262647696130439 0.00536068473813055 0.00233978333606308 0.0272027882857993 0.0302755071147442 0.047734120946329 0.00953561552398207 0.0427731500612598 0.0313896976847392 0.0265468453498776 0.0590393838104927 0.0471932755959745 0 0.028878970858493 0.0220552197353374 0.0174670309790271
"ebenso" 0.0614430335303412 0 0.0302429517120871 0.0043525571273123 0.0409197500747572 0.0371327782459047 0.0342583076396026 0.0389939559368298 0.0234253351889873 0.0145052051370742 0.0218791450724063 0.0151614696517916 0.0100630618542869 0.00586522773079671 0.00252389816070922 0 0.00832847505621721 0.0224246671338472 0.0315948635778926 0.00955566172957477 0 0.0380248791352056 0 0.0368864552936162 0.021434065033475 0.0187076738878288 0.0219221891240151 0.0208402566167815 0.0294066640024732 0 0 0.00020899209382909 0.0290532688305721 0.000379509521893904 0.0735826646194849 0 0.0387473797878422 0.0174127716876071 0.0173973556019485 0 0.000345589073855841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"bloß" 0.00292585873954005 0.0319142619641373 0.0142813938640411 0.0043525571273123 0.051936605864115 0.1256801725246 0.023901144864839 0.0205801434111046 0.0110236871477587 0.0145052051370742 0.00888840268566506 0 0.00335435395142895 0.0805135806682094 0.0501624759440957 0.00416892483428524 0 0.00654052791403878 0.0188064664154123 0.0191113234591495 0.000504126273548999 0.0271606279537183 0.0400560785099139 0.0770517066133316 0.100235774715368 0.190818273655854 0.137980837427625 0.141375794886815 0.100661272931543 0.00525786543807878 0.0388500388500388 0.00815069165933453 0.0243236669279209 0.00265656665325733 0.00173817317998783 0.0166614082789474 0.0222321031569586 0.0328907909654802 0.0304453723034099 0.0669811057464207 0.0787943088391317 0 0.00233978333606308 0 0 0.00298338255914556 0 0.000724968645106099 0.00216480673687857 0.000983216494439911 0.00317904374364191 0.0510197574010536 0 0 0.00081685999019768 0.00124764506993051
"herr" 0.114108490842062 0.0504690654316589 0.0478846735441379 0.0935799782372144 0.0456412596987677 0.0385609620245933 0.0844507118557646 0.987846883733021 0.166733268109851 0.0379366903585017 0.0341861641756348 0.0303229393035832 0.218033006842882 0.0949100487347104 0.364387796952393 0.00625338725142786 0 0.156038308806354 0.123370419685105 0.0477783086478739 0.116453169189819 0.0186244305968354 0.052072902062888 0.143447326141841 0.0384552343247639 0.0785722303288809 0.0502920809315641 0.0174607555437899 0.0426019619523009 0.155764263603084 0.0777000777000777 0.146503457774192 0.102024269614335 0.196965441862936 0.0301283351197891 0.147471188171109 0.0514514387346757 0.0777770468713119 0.139178844815588 0.0930293135366954 0.00552942518169346 0.0178689491271018 0.028077400032757 0.0527054023037361 0.055505096377031 0.0447507383871834 0.0190712310479641 0.0427731500612598 0.0216480673687857 0.0176978968999184 0.14441941578259 0.0701521664264486 0 0.157521659228144 0.0890377389315471 0.0711157689860389
"womit" 0.0117034349581602 0.00593753710960694 0.00336032796800968 0 0.0283290577440627 0.0314200431311501 0 0.0108316544268972 0.00826776536081906 0.00781049507380918 0.00957212596917775 0.0126345580431597 0.00335435395142895 0.0181288857133717 0.0179827743950532 0.0229290865885688 0.0749562755059549 0.0177528614809624 0.00677032790954842 0.0191113234591495 0.00252063136774499 0.0496651482582277 0.052072902062888 0.0229515721826945 0.0296294428403919 0.0261907434429603 0.0412652971746167 0.0343582609087478 0.0248825618482465 0.00591509861783862 0.0259000259000259 0.00794169956550544 0.00945920380530256 0.00303607617515123 0.0115878211999189 0.00425397658185892 0.0025408117893667 0.0266995832543309 0.0173973556019485 0.0362814322793112 0.0642795677371864 0.00178689491271018 0.00467956667212616 0.0221022654822119 0.00504591785245736 0.00895014767743668 0 0.000724968645106099 0.00324721010531785 0.00589929896663946 0.0077205348059875 0.00510197574010536 0 0.00350048131618097 0 0.00124764506993051
"nachdem" 0.0731464684885014 0.0415627597672485 0.0109210658960315 0.015233949945593 0.0503627693227781 0.0671246375983662 0.0525825187026459 0.0335781287233812 0.0110236871477587 0.00781049507380918 0.0246140382064571 0.00505382321726386 0.0212442416923834 0.0351913663847803 0.0337571378994858 0.00833784966857048 0 0.029899556178463 0.0300903462646596 0.0238891543239369 0.0176444195742149 0.0271606279537183 0.0360504706589225 0.0606577264828355 0.0132386872265581 0.00374153477756576 0.00386862161012031 0.00394275125182352 0.00640914471848774 0.0144591299547166 0.0259000259000259 0.109720849260272 0.0371611578065458 0.0284632141420428 0.0399779831397202 0.0138254238910415 0.00889284126278346 0.0119954649403516 0.0217466945024356 0.0241876215195408 0.0252280023914764 0.0160820542143917 0.00935913334425232 0.00340034853572491 0.0151377535573721 0.0149169127957278 0.00953561552398207 0.0108745296765915 0.0303072943162999 0.0186811133943583 0.0317904374364191 0.00510197574010536 0 0.0253784895423121 0.0147034798235582 0.0336864168881237
"herrn" 0.0468137398326409 0.0103906899418121 0.0210020498000605 0.0478781284004353 0.00157383654133682 0.00571273511475457 0.0414286510990543 0.187387621585321 0.0316931005498064 0.0524418954955759 0.0191442519383555 0.035376762520847 0.0760320228990563 0.0869120109199876 0.141653784269805 0.00208446241714262 0 0.0504555010511563 0.0526581059631544 0.0573339703774486 0.0357929654219789 0.0341447894275316 0.0120168235529742 0.0696744155546083 0.0157603419363787 0.0187076738878288 0.0361071350277896 0.00957525304014284 0.0229975192839854 0.0545503539200673 0.0647500647500648 0.101988141788596 0.0567552228318154 0.0724863186817357 0.0295489440597932 0.0432487619155657 0.0323953503144255 0.0472079587975127 0.0913361169102297 0.0158149833012382 0.00483824703398177 0.0232296338652324 0.0116989166803154 0.0102010456071747 0.0201836714098294 0.02685044303231 0.0119195194049776 0.0152243415472281 0.0248952774741035 0.0147482474165987 0.0935547158843191 0.0191324090253951 0 0.113765642775882 0.0604476392746283 0.0449152225174982
"nämlich" 0.0146292936977003 0.00593753710960694 0.00504049195201452 0.0043525571273123 0.00157383654133682 0.00285636755737728 0.0517858138738179 0.0129979853122766 0.0124016480412286 0.0312419802952367 0.0102558492526905 0 0.0324254215304799 0.0122636579825749 0.0116730289932801 0 0 0.0140154169586545 0.0556671405896203 0.0334448160535117 0.000504126273548999 0.036472843252136 0 0.0196727761565953 0.101496602070279 0.0673476259961836 0.108321405083369 0.09913203147442 0.0516501662607542 0.00262893271903939 0 0 0.00608091673198022 0.0087287190035598 0.0538833685796228 0.00602646682430013 0.0127040589468335 0.00232170289168095 0 0.0167452764366052 0.021772111652918 0.0303772135160731 0 0 0 0.00298338255914556 0 0.0021749059353183 0 0.000983216494439911 0 0.00255098787005268 0 0 0 0
"drei" 0.0614430335303412 0.0274611091319321 0.0151214758560435 0.0282916213275299 0.0220337115787154 0.0128536540081978 0.0509891090449899 0.0444097831502784 0.0385829050171556 0.00557892505272084 0.0280326546240206 0.0101076464345277 0.0424884833847668 0.114105339490045 0.0564722213458687 0.00625338725142786 0.00832847505621721 0.0214903060032703 0.0203109837286453 0.00477783086478739 0.0428507332516649 0.0263846100121835 0.0280392549569397 0.0237712711892193 0.0542155762611426 0.101021438994275 0.0631874862986318 0.0518190164525377 0.0346847831824043 0.0315471926284727 0.0259000259000259 0.025497035447149 0.0371611578065458 0.0193549856165891 0.0527245864596309 0.0326138204609184 0.00762243536810011 0.0414037015683103 0.0608907446068198 0.0306996734671095 0.0414706888627009 0.00178689491271018 0.00467956667212616 0.0059506099375186 0.0100918357049147 0.0596676511829112 0.0143034232859731 0.0043498118706366 0.0119064370528321 0.0196643298887982 0.042235866879814 0.0178569150903687 0 0.0227531285551763 0.0130697598431629 0.00998116055944405
