"m_Defoe_Robinson-Crusoe_1719" "m_Diderot_Die-Nonne_1796" "m_Forster_Ansichten_1791" "m_Goethe_Wahlverwandschaften_1809" "m_Heinse_Ardinghello_1787" "m_Knigge_Braunschweig_1792" "m_Lesage_Teufel_1707" "m_Mueller_Siegfried_1779" "m_Paul_Hesperus_1795" "m_Schnabel_Kavalier_1738" "m_Stendhal_Rot-und-Schwarz_1830" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"leser" 0.00761366861161292 0 0.000822354895478693 0 0.000980363322647373 0.0761094926908642 0.00339385711861531 0.0912486206603854 0.0634592143183389 0.00218040686392081 0.00123959514822459 0.00226300663060943 0 0.00809143319510468 0.0013387239283515
"leute" 0.0332232812143109 0.0208309223469506 0.00904590385026562 0.0126313662085691 0.0137250865170632 0.0603627010996509 0.0475139996606143 0.0827603768780239 0.0238477302215414 0.0297988938069177 0.0446254253360852 0.0837312453325488 0.0540569760527596 0.00606857489632851 0.0120485153551635
"ebenso" 0 0.0254600162018285 0 0.013894502829426 0.0245090830661843 0 0.022625714124102 0 0.0315275077505123 0.00726802287973603 0.0247919029644918 0.0339450994591414 0.0288303872281385 0 0
"bloß" 0.0339154329062757 0 0.0419400996694133 0.0189470493128537 0.0696057959079635 0.0104978610608089 0.0022625714124102 0.0275867922926746 0.143894778963877 0.0247112777911025 0.0185939272233688 0.0181040530448754 0.0108113952105519 0 0.00535489571340598
"herr" 0.0311468261384165 0.122670987154265 0.00904590385026562 0.0126313662085691 0.00686254325853161 0.409416581371546 0.044120142541999 0.424412189118071 0.0161679526925704 0.250746789350893 0.207632187327619 0.0294190861979226 0.0342360848334144 0.024274299585314 0.0589038528474658
"womit" 0.0269939159866276 0.00462909385487791 0.0633213269518593 0.0126313662085691 0.0147054498397106 0.0131223263260111 0.00905028564964082 0.0127323656735421 0.0286981160293125 0.0138092434714984 0 0.0226300663060943 0.0234246896228625 0.0343885910791949 0.00401617178505449
"nachdem" 0.0920561750313199 0.0324036569841454 0.0189141625960099 0.0151576394502829 0.0196072664529475 0.0341180484476288 0.0656145709598959 0.0127323656735421 0.00404198817314261 0.0792214493891227 0.0223127126680426 0.0203670596754848 0.0270284880263798 0.0505714574694043 0.0522102332057083
"herrn" 0.0124587304553666 0.0671218608957297 0.0156247430140952 0.00884195634599838 0.00980363322647373 0.228328478072593 0.0599581424288704 0.190985485103132 0.0165721515098847 0.148267666746615 0.123339717248347 0.031682092828532 0.0504531776492423 0.0343885910791949 0.0428391657072478
"nämlich" 0.0207645507589443 0.00694364078231686 0.0180918077005312 0.00505254648342765 0.0137250865170632 0.0314935831824266 0.0022625714124102 0 0.0675012024914815 0 0.0198335223715934 0 0.00720759680703461 0.0202285829877617 0
"drei" 0.160579192535836 0.0347182039115843 0.0402953898784559 0.00884195634599838 0.0362734429379528 0.0288691179172244 0.0690084280785112 0.0381970970206264 0.0646718107702817 0.0784946471011491 0.0656985428559033 0.0294190861979226 0.0162170928158279 0.024274299585314 0.010709791426812
"also" 0.0975933885670383 0.0948964240249971 0.0608542622654233 0.0189470493128537 0.0352930796153054 0.1181009369341 0.0395949997171786 0.0742721330956625 0.0424408758179974 0.131551214123222 0.0526827937995451 0.0611011790264545 0.052255076851001 0.0546171740669566 0.0843396074861442
