"m_Argens_Therese_1748" "m_Campe_Robinson_1779" "m_Diderot_Die-Nonne_1796" "m_Forster_Ansichten_1791" "m_Hippel_Kreuz-und-Querzuege_1793" "m_Hoelderlin_Hyperion_1797" "m_Hoffmann_Elixiere_1816" "m_Jacobi_Woldemar_1779" "m_Lesage_Gil-Blas_1715" "m_Manzoni_Die-Verlobten_1826" "m_Mueller_Siegfried_1779" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Schlegel_Lucinde_1799" "m_Scott_Ivanhoe_1819" "m_Sterne_Tristram-Shandy_1759" "m_Swift_Gullivers-Reisen_1726" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Walpole_Otranto_1764" "w_Fischer_Gustav_1801" "w_Fouque_Falkenstein_1810" "w_La-Roche_Oneida_1798" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Schopenhauer_Die-Tante_1823" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"und" 2.58938498449295 3.20448224434681 3.48339312579563 3.3231361326294 3.73934927964339 4.20436069537666 3.05536089698669 3.52037107549586 2.66045280238001 3.20764474423834 3.08759867583397 4.03337449021589 3.43175343175343 2.70181273358908 5.33810208242805 3.15869841355639 3.18896839421768 3.23900924423118 2.54990446277593 2.37448380786785 2.8761731759007 3.28283983951917 4.25732742092481 3.69096381452398 3.76236553327207 2.59107988890704 2.0714068979468 3.02953224985943
"die" 2.70056761659547 2.05872868716998 2.76356903136211 3.63069686353843 2.60789353012061 2.81402426314254 2.5153001635132 2.03883831216034 2.11457892653902 2.90095559302979 1.98624904507257 2.95581247427695 2.3957523957524 1.99054941798245 2.75094427917238 2.40466473879084 2.16924012862482 3.03739024365656 2.65838086561333 2.17344055640078 1.6802906448683 2.36907540463442 2.09326791666257 2.58887958541719 2.77492477070833 2.11730109459239 2.62162435521392 1.5261452783207
"der" 1.9573994967523 1.73928816155427 1.38872815646337 3.39797042811796 3.21734401160249 2.19702338766832 3.05722961924784 1.29807193049257 1.8805355022722 2.54974704890388 2.56132756132756 2.85853257006024 2.4993524993525 1.5229596456855 2.46682488217401 2.92627226291181 2.27063356412411 2.37305563676321 2.5598304081336 2.26037817865681 1.19083661317994 1.95414397510411 2.41477971034442 2.07065106700763 2.41094113195308 1.98660349616076 2.35056134317791 1.48866100832686
"zu" 1.91643747439874 2.10810592929985 2.00902673301701 1.42267396917814 1.93819116376782 0.979697336057031 1.40527914038776 1.54730174114715 2.12686108874545 2.00562113546936 1.77828707240472 0.954091368279268 1.68350168350168 2.74297380509409 1.38717117358024 1.63982054539067 1.47686781192966 1.67242960976642 1.64168046254905 2.18702455987829 1.66010697345847 1.4171738898296 1.62525686530917 1.6814139265428 1.80550300016217 2.10259761476883 1.83068676039243 1.64395298401564
"ich" 2.68593832289777 0.637873352412431 4.20784631408402 0.380750316606635 0.641975835261749 2.97035894442823 2.58724597056762 1.70999342310222 4.14318271763309 0.933108487914559 1.30931160342925 2.24866240131702 2.84900284900285 4.06836030755553 1.52421700036768 1.20199454068809 1.54581534806918 2.91742693831467 2.43150211458086 1.97511410562921 4.3546271066707 1.22343752383567 1.99691270020746 2.86270338772093 2.53707407607618 1.47034798235582 2.32830990189137 2.56097887493641
"sie" 2.22657850078998 1.00669112015801 4.01342437217915 0.750810019572047 1.00508675205016 0.931754700462751 0.938098575099276 2.06653051334418 1.30395622091516 1.63282743114109 0.647228588405059 0.752048490290717 0.56980056980057 2.11403263249749 1.33703245646288 0.85132834247723 1.06492076827255 1.03430547294777 1.30597081063069 2.86350793305803 2.88626501160561 2.90604548990893 1.48367369010983 2.70202991694766 2.26859109501414 1.65740892011109 1.34317791038738 3.02953224985943
"in" 1.22593481186728 1.01878350598573 1.2475407938896 1.7754642193385 1.38152773186312 1.58836036186268 1.95094604064471 1.42960988611582 1.16885243664451 1.25688589094997 1.11832611832612 1.48164777191604 1.63170163170163 1.31880073102063 1.52755958150884 1.1695629847842 1.33317882905067 1.58573343951934 1.57964330406361 1.18452510323843 1.07478050257342 1.62311412139795 1.44434503033223 1.28538776618616 1.32980161089789 1.65005718019931 1.93789825022757 1.4324346033361
"er" 1.00942126514132 2.72078681123786 0.474482120124986 0.430091610335356 1.2924829108592 0.673281360737066 1.10534921747255 1.54730174114715 1.81161892544728 1.86172006745363 2.00110347169171 0.564971751412429 0.958300958300958 1.64314997448014 1.30360664505131 1.28983000459447 1.34940177873055 0.913334072603002 0.789467153983317 1.54585959574006 1.11514784539308 1.21275914145806 0.761009566696491 0.683428002444047 0.727967277510496 1.17056036595328 0.813189036108021 1.08704382982141
"den" 0.983088536485458 0.939175299286549 0.976738803379238 1.49586355487574 1.17891077389014 1.05682244549131 1.3632328895118 0.823842985219288 0.998949192789006 1.22495784148398 1.08225108225108 1.48164777191604 1.19140119140119 0.775474587154453 0.925894976100545 1.333072079133 0.912540919493612 1.09075879310866 1.31554225793987 0.855792219082808 0.706428499344031 1.1197046664531 1.22410453557769 1.08171716943131 1.15321548912554 0.951641888580297 0.981086274906443 0.74299178023508
"nicht" 0.956755807829598 0.959329275666089 1.30771901400301 0.847847897238532 1.63106651168247 1.21732605161129 0.723195515066573 1.25307210356883 1.20024018450537 0.97672849915683 1.22230710466005 0.755790025068283 0.802900802900803 0.997744373281525 1.14316275027576 0.919569741358342 1.08114371795243 0.683488411947942 0.962107703597092 1.30678113453597 1.20092844888485 0.884780254145501 0.623359257474903 0.846364479847926 0.745986269528083 1.01862440777651 1.22787498735714 1.27446517979062
