"m_Arnim_Isabella-von-Aegypten_1812" "m_Bruckbraeu_Mittheilungen_1829" "m_Clauren_Liebe-und-Irrtum_1827" "m_Eichendorff_Ahnung-und-Gegenwart_1815" "m_Heinse_Ardinghello_1787" "m_Hunold_Adalie_1702" "m_Lavater_Unveraenderte-Fragmente_1773" "m_Miller_Siegwart_1776" "m_Paul_Feldprediger_1809" "m_Paul_Hesperus_1795" "m_Paul_Siebenkaes_1796" "m_Restif-de-la-Bretonne_Anti-Justine_1793" "m_Sade_Geschichte-der-Justine_1797" "m_Schlegel_Lucinde_1799" "m_Schnabel_Kavalier_1738" "m_Schnabel_Wunderliche-Fata_1731" "m_Sterne_Tristram-Shandy_1759" "m_Waiblinger_Briten-in-Rom_1828" "m_Walpole_Otranto_1764" "m_Wieland_Agathon_1794" "w_Fischer_Gustav_1801" "w_Fischer_Vierzehn-Tage_1801" "w_Huber_Ellen-Percy_1822" "w_Huber_Seldorf_1795" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"und" 2.95300994458362 2.54354050504833 3.1164309031556 3.91082646195731 5.57630657921826 3.06584017423354 3.29267157090977 3.98864707631968 3.73609616074632 3.84756854201445 4.21761733909351 3.04388862671071 2.48638921159935 5.33810208242805 2.99151821729935 3.26403852142273 3.18896839421768 3.52030845613479 2.37448380786785 2.67028487169002 2.8761731759007 2.73648398787072 2.22896526829929 3.15953543247427 3.69096381452398 3.76236553327207 2.0714068979468 3.02953224985943
"die" 2.49753283230851 2.81156487481432 2.06746463547334 2.59866328955737 2.67835259747262 1.95789356117719 1.97411304590744 1.72814486572597 1.88374596340151 3.07069841513644 2.80554914076185 2.38791882963662 2.97159388596551 2.75094427917238 1.74723270028854 1.72773763968509 2.16924012862482 2.61184175777743 2.17344055640078 2.98254092165099 1.6802906448683 2.07824865024776 2.23234932488071 2.45813804972561 2.58887958541719 2.77492477070833 2.62162435521392 1.5261452783207
"der" 2.76069738606746 3.0828184538546 2.33297062023939 2.15011771531861 2.50874974265463 1.44971240297091 1.92196666356272 1.70394680459562 2.67312522425547 2.85808983722914 2.72556761536772 1.50778669183577 2.04902161780451 2.46682488217401 1.7043513652981 1.5302401110166 2.27063356412411 2.63032799873237 2.26037817865681 2.48999417617685 1.19083661317994 2.15220767694697 1.80708621448151 2.24057497266931 2.07065106700763 2.41094113195308 2.35056134317791 1.48866100832686
"ich" 0.652850527594322 0.918171836989516 1.68879216539717 0.937259408857101 1.07251747497623 0.512648684871838 3.29825868330385 1.6626084501646 2.61033369214209 0.958355395852112 1.11410885372956 3.40254837187353 1.92544249299528 1.52421700036768 1.29661528174491 1.63828902352624 1.54581534806918 1.0008979031321 1.97511410562921 0.714967225505867 4.3546271066707 3.41690703350344 2.77943847221126 0.496823146113631 2.86270338772093 2.53707407607618 2.32830990189137 2.56097887493641
"zu" 1.39932690604519 1.71040451228176 1.39064200217628 1.21955301652478 1.08918365146123 2.18350365778746 1.57929043672595 1.32383559433967 1.31413706494438 1.15196662934564 1.0177930731493 1.47711184521 1.68739606824757 1.38717117358024 1.87733030983582 1.8915874412471 1.47686781192966 1.37062272223103 2.18702455987829 2.73781643805063 1.66010697345847 1.73064122476148 2.41057630483582 1.68313723792308 1.6814139265428 1.80550300016217 1.83068676039243 1.64395298401564
"sie" 2.48235026189934 1.50696432800155 1.72143634385201 1.67590908583734 1.01075458564944 2.18573742112023 1.23102709749511 1.9116468292978 0.686221743810549 0.883578614648974 1.05440433477338 3.25625294950448 2.8986992869997 1.33703245646288 1.13889918525464 0.612764819106893 1.06492076827255 1.85918766175461 2.86350793305803 1.32584910102475 2.88626501160561 2.07824865024776 1.88604753471478 2.5707080000433 2.70202991694766 2.26859109501414 1.34317791038738 3.02953224985943
"in" 1.6321263189858 1.63720910206454 1.48204570184984 1.71161420617475 1.6058351224964 1.41062154464734 1.11556010801751 1.04757439643482 1.39038392536778 1.49553562406276 1.52077548284622 0.943841434638981 1.2466115401262 1.52755958150884 1.38746556774161 1.3477900131038 1.33317882905067 1.50266730048064 1.18452510323843 1.64615937449661 1.07478050257342 0.983655055099475 1.42468782078036 1.50562308549904 1.28538776618616 1.32980161089789 1.93789825022757 1.4324346033361
"er" 1.89529087274476 0.729801295989322 1.04026115342764 1.66140388070027 0.779388841504662 2.0818674261462 0.515876711053171 2.35628620256802 0.847685683530678 1.66974531432521 1.58160650216006 1.79093912222747 1.08259869245313 1.30360664505131 1.87151589153203 0.694898711981726 1.34940177873055 1.45249036074579 1.54585959574006 1.40763044744309 1.11514784539308 1.14636491383773 0.809917541821299 1.63875869981707 0.683428002444047 0.727967277510496 0.813189036108021 1.08704382982141
"den" 1.2576229155596 1.35842070138425 0.968443960826986 1.30658424734722 1.23721851318098 0.980622103088178 0.920011174224788 0.992624632617978 1.19303911015429 1.38114735876283 1.4199537008353 0.837659273242095 1.03647007904508 0.925894976100545 0.777678448131755 0.833251478096584 0.912540919493612 1.15935139703164 0.855792219082808 1.24716553287982 0.706428499344031 0.761777975001849 0.953175937101668 1.22095099959951 1.08171716943131 1.15321548912554 0.981086274906443 0.74299178023508
"nicht" 0.989397504997596 0.80407310929797 1.20348204570185 0.602523905693851 0.839191004186151 1.05210252973697 1.32414563739641 1.06824357365033 0.807319698600646 0.928444683370857 0.87472752772599 0.681925436526663 0.890111392059045 1.14316275027576 0.970281054444759 0.865854244733922 1.08114371795243 0.82395816827761 1.30678113453597 0.811617907636643 1.20092844888485 1.11678130315805 0.954303955962144 0.646194810958252 0.846364479847926 0.745986269528083 1.22787498735714 1.27446517979062
"das" 0.994458361800653 0.861122473143743 1.04026115342764 1.14814277584995 1.04996911855534 0.562908359859273 0.903249837042555 0.961872929931489 0.820775026910657 1.07597725169056 1.09045234621862 1.00519112789051 1.17656438643249 1.18661630511081 0.524024449628967 0.514329542913392 1.14893247197196 1.2068874452015 0.94544664203434 0.663544106167057 1.10505600968816 1.00584276310924 0.917079333566457 0.973080628226915 0.730951141686845 0.893742004072292 0.989177708101547 0.757717743446946
"so" 0.855284799716592 0.80407310929797 0.766050054406964 0.698481416600649 0.721547405468467 1.4943876696264 1.0429276468945 0.913980933944334 1.01363473268748 0.834670557753948 0.782354498397553 0.516753185464842 0.586573726052985 1.10305177658188 0.681740546119239 0.973276180962074 1.24105565051131 0.889980457402419 0.725385785698761 1.2397308650236 0.852760117065294 0.931883736410029 0.751260561076581 0.685161332222066 0.563488651021747 0.684721696668288 1.37756650146657 0.787169669870679
"sich" 1.24244034515043 0.816989946395126 1.02937976060936 1.16264798098702 0.988206229228552 1.31903724800357 0.482354036688705 0.961872929931489 0.623430211697165 0.695221965780528 0.698430221751595 0.698442661632846 1.13954759789517 1.01948724805295 1.28207923598543 0.757178355942795 0.746835076334772 1.05635662599694 0.926429037165833 1.26575220252035 0.640831567262085 0.724798461652245 0.638458675029047 1.01421195622761 0.484283418950418 0.484710885273078 0.934560534034591 0.737636884521674
"mit" 0.95144107897467 1.0516458203268 1.12295973884657 1.03433270477444 0.927423703224415 1.08337521639582 0.825030263525468 0.974476086770214 0.816289917473986 0.94582523251537 0.936685047397503 0.771590372817367 0.750586573726053 0.855700772136244 0.975368670460575 1.04140760355036 0.783916104174513 0.802831035757672 0.635731362747229 0.777542346628998 0.913311131294782 0.865320612380741 1.09981838896346 1.16791323454599 1.01835298377424 1.10636610987981 0.768686153534945 0.773782430587164
"von" 0.754067663655457 0.999978471938171 0.652883569096844 0.852459748055745 1.21565052008274 0.811972971463673 1.12300959120961 0.687124110847285 0.645855758880517 0.638229932539217 0.666888211737007 0.764511562057574 0.783616938882435 0.91920981381823 1.10328587314393 0.880274699208129 0.789130623714476 0.615327734643216 0.652032166920235 1.26699131382972 0.756887677868604 0.606464018933511 0.811045560681775 1.09539220886055 1.0794541628007 1.11897940429212 1.08425204814403 0.809927976652655
"es" 0.746476378450872 0.462853329314762 0.898803046789989 0.739765461990784 0.653902336205798 0.604232981515608 0.793369959959028 0.54848938562131 0.506817366343739 0.584067291019106 0.623517947966948 0.762151958470977 0.875874165698535 1.06294080288799 0.614147933337694 0.503670946128108 1.01567252817289 0.720963397242909 0.646598565529233 0.711869447232445 1.11514784539308 0.931883736410029 0.646354807052374 0.563932154956866 0.574803684174795 0.610843829396184 0.954789117022353 0.807250528795952
"ein" 0.85781522811812 0.811607930937978 0.883569096844396 0.8513439630452 0.900953893512936 0.591947283185347 0.674178228885371 0.883733357531394 1.08988159311087 0.853667902167718 0.861209523434024 0.693723454459651 0.689651244903073 0.715312364207641 0.772590832115939 0.728755431182038 0.826791042614212 0.953361854962235 0.567811345359704 0.632566323432834 0.782117267130891 0.931883736410029 0.718548014122796 0.55852013811467 0.445812306230057 0.484710885273078 0.50166885809649 0.419020589574018
