"m_Brentano_Godwi_1801" "m_Clauren_Liebe-und-Irrtum_1827" "m_Cleland_Fanny-Hill_1748" "m_Defoe_Moll-Flanders_1722" "m_Fischer_Christian_Hannchen_1800" "m_Hauff_Lichtenstein_1826" "m_Hoelderlin_Fragment-von-Hyperion_1794" "m_Hoelderlin_Hyperion_1797" "m_Hoffmann_Kater-Murr_1820" "m_Knigge_Braunschweig_1792" "m_Miller_Siegwart_1776" "m_Moritz_Hartknopfs-Predigerjahre_1790" "m_Paul_Katzenberger_1809" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Sterne_Tristram-Shandy_1759" "m_Voss_Ini_1810" "m_Wezel_Hermann-und-Ulrike_1780" "m_Wieland_Abderiten_1774" "m_Wieland_Peregrinus_1788" "m_Zschokke_Goldmacherdorf_1817" "w_Fischer_Gustav_1801" "w_Fischer_Margarethe_1812" "w_Fouque_Resignation_1829" "w_Froelich_Kentucky_1819" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"und" 3.91898249269129 3.1164309031556 3.50078930262791 3.58915525386999 3.24400564174894 3.11893019575244 3.97096498719044 4.20436069537666 2.74574409665019 2.92627877070047 3.98864707631968 3.87162854216456 3.81424030666302 2.70181273358908 3.18896839421768 2.49469940496546 3.32390463992323 2.90716604802173 3.16266891102071 5.52322830920617 2.8761731759007 3.49128497218047 2.37064746949694 3.50158118827624 3.69096381452398 3.76236553327207 2.0714068979468 3.02953224985943
"die" 2.65465909472765 2.06746463547334 2.24719101123596 1.98618513826812 1.82213242862044 2.48667140927366 2.37688585254768 2.81402426314254 2.56971557100193 2.27541138493032 1.72814486572597 3.33219528849437 2.54877918120022 1.99054941798245 2.16924012862482 3.39409069147117 2.4865437969903 2.88111784023146 2.49871417216066 2.85741318951651 1.6802906448683 1.77464863011893 2.33947381775738 2.46276699114888 2.58887958541719 2.77492477070833 2.62162435521392 1.5261452783207
"der" 2.28754326422259 2.33297062023939 1.80146717429659 1.3759092393859 1.63153280219571 2.67211267155315 1.93566752063763 2.19702338766832 2.93456101946093 2.67695457050626 1.70394680459562 2.94298395356777 2.73330079403817 1.5229596456855 2.27063356412411 2.63319882360988 2.32634629746431 2.75366768068618 2.45476223874316 2.30154224619169 1.19083661317994 1.40284260211481 2.02556239442644 2.18716322456407 2.07065106700763 2.41094113195308 2.35056134317791 1.48866100832686
"zu" 1.31388823549178 1.39064200217628 1.74575169467917 1.87305305257455 1.45999313841345 1.35244230938317 1.05323085681753 0.979697336057031 1.32247071833179 1.84237461617195 1.32383559433967 1.04472516217139 1.13451030344877 2.74297380509409 1.47686781192966 1.50468504206279 1.42939508031157 2.06245988110854 2.48562210688736 1.21345444223673 1.66010697345847 1.34483031405743 1.58768133278236 1.43101955726728 1.6814139265428 1.80550300016217 1.83068676039243 1.64395298401564
"ich" 2.64793843879163 1.68879216539717 3.13863868511468 3.89030967916697 4.4142873479968 0.979961153252816 3.51551380586393 2.97035894442823 1.97317445630506 1.04191271028528 1.6626084501646 0.389211334926596 1.18570017023607 4.06836030755553 1.54581534806918 0.379590999247657 1.48163339537439 0.602829951717786 1.68233038761865 0.458889204276658 4.3546271066707 3.63104184795507 2.84332702610612 1.74902390332668 2.86270338772093 2.53707407607618 2.32830990189137 2.56097887493641
"sie" 1.99939514096576 1.72143634385201 1.24431237812239 1.68264059848467 2.74844661304464 1.22854836260161 1.66524338172502 0.931754700462751 0.938066544800764 1.20462955672782 1.9116468292978 0.880846705360191 0.972607468958703 2.11403263249749 1.06492076827255 0.923329457629437 2.16421404552859 1.40009116872727 0.997802403329125 1.3317248557101 2.88626501160561 2.52617145268043 2.67368436315129 1.09358161228203 2.70202991694766 2.26859109501414 1.34317791038738 3.02953224985943
"in" 1.77425316710911 1.48204570184984 1.31859968427895 1.36794219109762 0.983494072351618 1.34364983574061 1.28095644748079 1.58836036186268 1.76178977379582 1.80563210245912 1.04757439643482 2.15773301468078 1.3559362388543 1.31880073102063 1.33317882905067 1.55940086177416 1.31214908428168 1.35264621882355 1.76275307429747 1.32699403917116 1.07478050257342 0.849088943385281 1.41948860711774 1.41335264915287 1.28538776618616 1.32980161089789 1.93789825022757 1.4324346033361
"er" 1.20383749453947 1.04026115342764 1.45324542668771 1.72167913509724 1.36850531772958 1.84881741229508 0.398519783660689 0.673281360737066 1.1223699156718 1.21250295252342 2.35628620256802 1.65926937521338 1.38807871334865 1.64314997448014 1.34940177873055 0.950687367485124 1.67897814116727 1.12100322811718 0.807032309346799 1.30097454820702 1.11514784539308 1.3817472246394 1.13530089823615 1.12714873769942 0.683428002444047 0.727967277510496 0.813189036108021 1.08704382982141
"den" 1.02994052219497 0.968443960826986 0.965734980035286 0.653297959638933 0.789082453398391 1.31487446745586 0.811272416737831 1.05682244549131 1.28335326818773 1.1836338346062 0.992624632617978 1.37248207579379 1.34165069463459 0.775474587154453 0.912540919493612 1.45167909171739 1.12099554619995 1.2019387308941 1.09599289287885 1.23474311666194 0.706428499344031 0.543205969991826 1.05047956675874 1.18191615285409 1.08171716943131 1.15321548912554 0.981086274906443 0.74299178023508
"nicht" 1.10218757350717 1.20348204570185 0.79394558454824 1.27472772612475 0.941562154538177 1.06388931075 1.06746370623399 1.21732605161129 0.970413667035273 0.973676613390022 1.06824357365033 0.819392284055992 0.8571326531827 0.997744373281525 1.08114371795243 0.913070241433555 1.11673909089854 1.00006512051948 0.733155655304624 0.969817390481597 1.20092844888485 1.66126097618859 1.30276865525566 0.701376252142113 0.846364479847926 0.745986269528083 1.22787498735714 1.27446517979062
"das" 1.11394872139521 1.04026115342764 0.928591326957006 0.893106113116152 1.14740975107689 1.00314131103775 1.49444918872758 1.32780255971985 1.18856867745406 1.00779466183765 0.961872929931489 1.46124957323319 1.02498779776431 0.875907601626686 1.14893247197196 1.01908214212434 0.951124284625297 0.739583042616729 0.706971524758031 1.16614627684738 1.10505600968816 1.34746723624186 1.33611721293054 0.851544971114605 0.730951141686845 0.893742004072292 0.989177708101547 0.757717743446946
"sich" 0.850162975906449 1.02937976060936 0.71037236512211 0.719424460431655 0.621354782144627 0.960777574396317 1.01053230856818 0.717055071497061 0.854565833916334 0.939558564942393 0.961872929931489 1.67975418231478 0.759514767681337 0.676688015542421 0.746835076334772 1.02421175022228 1.08268744848722 1.069837105672 0.795810539112545 0.714353297379128 0.640831567262085 0.588033647127073 0.786590979940118 0.803844319205696 0.484283418950418 0.484710885273078 0.934560534034591 0.737636884521674
"so" 0.991296750562855 0.766050054406964 0.840375150896091 0.956045794593561 0.872946289025273 0.769741101617016 0.839738115570737 0.979697336057031 0.72893863826138 0.740099204787025 0.913980933944334 0.744281324684193 0.96070284877561 0.777121030014653 1.24105565051131 0.642910881608645 1.06140517198014 1.24194133571488 1.13900967877683 0.846816160469297 0.852760117065294 0.951928908577908 0.904035900447306 0.565341059661149 0.563488651021747 0.684721696668288 1.37756650146657 0.787169669870679
"mit" 0.936691421082698 1.12295973884657 0.928591326957006 0.826182907494602 0.838638356268822 0.95038646918238 0.825505266154284 0.802518030599908 0.940323320770614 0.839828884864709 0.974476086770214 1.07886650734039 0.888084665658742 0.897311358809292 0.783916104174513 0.875453115381985 1.08926560668031 0.803773268957048 0.994996960770562 0.728545746995931 0.913311131294782 0.785802810959049 0.807615070648194 1.1995830609685 1.01835298377424 1.10636610987981 0.768686153534945 0.773782430587164
"von" 0.642662723881851 0.652883569096844 0.645370972235119 0.69392990590916 0.407883200548927 1.08147425803512 1.09592940506689 0.733730770834202 0.62813597827477 0.947431960738 0.687124110847285 0.942301126664391 0.726181831168677 0.759010158552447 0.789130623714476 0.926749196361398 0.690319659793136 1.18147228191603 1.29611446205639 0.72144952218753 0.756887677868604 0.622313635524616 0.642322219564004 0.766743812165433 1.0794541628007 1.11897940429212 1.08425204814403 0.809927976652655
"es" 1.03834134211499 0.898803046789989 0.408580183861083 1.0341228678187 0.991118057408607 0.94399194289688 1.18132650156561 1.23191728853129 1.00200853061317 0.68760989948298 0.54848938562131 0.566746329805394 0.513089129891311 0.752424387111645 1.01567252817289 0.694206962588058 0.572686713281301 0.838194114965626 0.643381493430589 1.08335698741603 1.11514784539308 1.7324578751681 1.51445949962664 0.692542798084907 0.574803684174795 0.610843829396184 0.954789117022353 0.807250528795952
"ein" 0.800598138378306 0.883569096844396 0.831089237626521 0.671622170701977 0.937750162009682 0.8280911539722 0.825505266154284 1.02972443406845 0.864345196452348 0.92381177335118 0.883733357531394 0.710139979515193 0.903560671896763 0.604244529693597 0.826791042614212 0.760891867861295 0.863286525223367 0.897732875629111 0.576050872025062 0.756930646229539 0.782117267130891 0.619676713340189 0.658996498401444 0.676642580781937 0.445812306230057 0.484710885273078 0.50166885809649 0.419020589574018
"daß" 0.583856984441682 0.568008705114255 0 1.2420628281428 0.457439103419357 0.673023891548834 0.526615428408767 0.464835119022804 1.04187823941384 0.732225808991418 0.69972726768601 0.382383065892796 0.517850977964548 1.2216606022688 0.887627103913787 0.31290609397442 0.970858759204585 1.15077260844892 0.910833684013653 0.480177878701864 0.716520335048945 0.975661208237745 0.601723975438062 0.397505432574245 0.767159247776596 0.852298322431843 1.21776069586325 0.812605424509358
"dem" 0.764474612722202 0.818280739934712 0.473581576748073 0.473242668323813 0.53367895398925 0.793720575187639 0.569313976658127 0.53362237878851 1.08701375881083 0.894942655433955 0.634694978398189 1.20177534994879 0.786895394102451 0.535093929565174 0.724818216054926 0.764311606593256 0.743331875819851 0.705162196608151 0.684527984289522 0.532216860630145 0.418811181753961 0.524747514700841 0.827189224066059 0.625408547250146 0.640430876462468 0.762203362343911 0.625063214321837 0.445795068141048
"auf" 0.603178870257737 0.694232861806311 0.724301235026465 0.549726331891298 0.770022490755918 0.856067206471261 0.498149729575861 0.391878934422812 0.731195414231229 0.669238642626565 0.860039422674592 1.07203823830659 0.841656646944679 0.467589772296952 0.686578406095194 0.704466178783941 0.742944925337904 0.584224089010447 0.606910740169262 0.584255842558426 0.731658088606318 0.564301347467236 0.775716450263526 0.756143667296786 0.547647604607482 0.62886282141377 0.637200364114494 0.562264049907628
"als" 0.602338788265735 0.598476605005441 0.69180053858297 0.679589218990256 0.636602752258606 0.627462891764649 0.526615428408767 0.293909200817109 0.721416051695215 0.564260032018476 0.552522395809702 0.573574598839194 1.01784502565446 0.628941172596605 0.733509081954865 0.394979823541481 0.574234515209089 0.746095094564297 0.796745686632066 0.574794209480556 0.620647895852256 0.619676713340189 0.55750088808659 0.517640407752239 0.416393220032135 0.558588752545183 0.845554768888439 0.459182307424563
"wie" 0.692227561409994 0.620239390642002 0.403937227226298 0.693133201080332 0.472687073533336 0.639452628549961 1.22402504981497 1.50498186517697 0.662739876479129 0.43828569928877 0.427499079969551 0.539433253670195 0.78808585612076 0.40008561502873 0.737564819374837 0.398399562273442 0.563399901714578 0.554454708678705 0.508720250619535 0.631564007947772 0.504591785245736 0.672415157028716 0.719893864590356 0.397505432574245 0.47523139242798 0.385606429176352 0.485485991706281 0.34940694529974
"war" 0.723310595114083 0.890097932535365 0.993592719843997 0.733765147350558 0.895818244196241 0.625864260193275 1.23825789923143 0.73998415808563 0.403210639946439 0.797837440621473 0.656372408160796 1.03106862410379 0.269044416137903 0.691506001284225 0.597352182855818 0.454825251350797 0.552565288220066 0.633529625184896 0.782718473839248 0.728545746995931 0.933494802704612 0.42454447169264 0.466879807448328 0.540607388300973 0.47296838579737 0.502729877290664 1.14898351370486 0.618490454898391
"ist" 0.899727813434591 0.387377584330794 0.116073915869626 0.264506003170885 0.632790759730111 0.62106836547915 0.441218331910048 1.04223120857131 0.536360422167558 0.477652678266803 0.640744493680777 0.300443837487197 0.473803883287104 0.322702800599305 0.736406037254845 0.276998837288831 0.453505964841679 0.658647539839804 0.370318417730397 0.46598542908506 0.408719346049046 0.872821243045118 0.859087844450728 0.549440842358179 0.497861458734074 0.518946970106492 0.629108930919389 0.619829178826742
"an" 0.56957559057764 0.639825897714907 0.487510446652428 0.413489806161715 0.770022490755918 0.572310102552215 0.526615428408767 0.635761037228499 0.461886815162525 0.514395191979634 0.687124110847285 0.573574598839194 0.591659623099725 0.433014472232741 0.382398099597323 0.610423363655017 0.515418041953171 0.413050152102928 0.467573759760602 0.508562777935472 0.504591785245736 0.506289059409857 0.565475543182757 0.595374803455647 0.563488651021747 0.558588752545183 0.519874582785476 0.518086160272029
"mir" 0.85772371383447 0.776931447225245 1.04466524282663 1.19505724324195 1.04067396027904 0.311733156418106 1.5798462852263 1.05056905823988 0.710884430502584 0.309686901293861 0.50362214727545 0.116080573574599 0.204759467149201 1.38136555970825 0.274051971378082 0.102592161958826 0.537861169906087 0.125589573274539 0.696684902043297 0.132462863090169 1.09496417398325 1.18397806080743 0.932309677606444 0.593608112644206 0.819208400280613 0.798241346379084 0.805097602912916 0.641248761680366
"eine" 0.525051245001512 0.585418933623504 0.529297056365494 0.64294079686417 0.423131170662906 0.348501682559729 0.327355536578423 0.321007212239963 0.352057051296518 0.488150539327612 0.360450285587534 0.396039603960396 0.47975619337865 0.525215272403971 0.544048205336192 0.530059503453936 0.563399901714578 0.600969365447052 0.618132510403516 0.293310625413946 0.524775456655566 0.329615273053292 0.414682065000689 0.358638234722541 0.39376315372604 0.632466619817287 0.548194598968342 0.337358429944577
"des" 0.472966161497362 0.528835690968444 0.269291484817532 0.168901423711529 0.137231731025807 0.571510786766528 0.711642470822659 0.731646308417059 0.677785049611458 0.475028213001601 0.206691772155089 0.778422669853192 0.477375269342032 0.325995686319706 0.433963903936962 0.562547021407564 0.362185651102228 0.660508126110537 0.558283069154159 0.333522565994891 0.272479564032698 0.210953774754107 0.378433632745384 0.565341059661149 0.531806558193216 0.648683712633115 0.4753717002124 0.353423117084795
"mich" 0.791357236466279 0.465723612622416 1.52753273284428 1.26437056334998 1.36088133267259 0.212617998992862 0.996299459151722 0.806686955434194 0.746992846020176 0.259822061255019 0.34734300247526 0.0546261522703995 0.192854846966108 1.46368770271828 0.232335815058374 0.114561247520689 0.482914201469638 0.0976807792135302 0.756534343292654 0.0922509225092251 1.4078110808356 1.11541808401234 0.753242422265237 0.708443015387877 1.04550906334156 0.890138205668775 0.77677758673005 0.678733031674208
"aber" 0.371316240465069 0.715995647442873 0.73823010493082 0.354533648828446 0.808142416040865 0.590694365623027 0.455451181326502 0.473172968691374 0.479941022921321 0.425163372962759 0.50362214727545 0.450665756230795 0.588088237044797 0.622355401155803 0.498855702656508 0.326585048902264 0.320008048570025 0.436307480487101 0.41146490858933 0.65048727410351 0.983953981229186 1.06795348469267 0.300137019073925 0.459339610974683 0.678901989182828 0.529758365317044 0.459188833822191 0.358778012798201
"ihr" 0.441883127793273 0.513601741022851 0.329649921069737 0.343379781224854 0.407883200548927 0.716986259761644 0.668943922573299 0.548213615708509 0.423521623675084 0.24932420019421 0.507655157463841 0.211676340047798 0.263092106046357 0.480761315178557 0.21147773689852 0.174406675330005 0.498392220747511 0.177685988855088 0.252489830270725 0.437600529851452 0.575234635180139 0.617039791155763 0.377708664100278 0.224369733053018 0.538595578085044 0.565796349352217 0.31152017801153 0.700152614527832
"ihm" 0.409960012097181 0.330794341675735 0.506082273191568 0.593545097476836 0.37738726032097 0.488381945055033 0.156561343580985 0.177179305457123 0.288115065484116 0.349053880271895 0.781395724000948 0.518948446568795 0.288091808430852 0.549911915306979 0.323300211477737 0.282128445386772 0.58622998014944 0.307927027806462 0.273998223219713 0.321695524647554 0.222020385508124 0.26632914062706 0.265338524108832 0.261470240093281 0.185566543709973 0.189199416184659 0.256903003944574 0.425714209215776
