"m_Argens_Therese_1748" "m_Arnim_Graefin-Dolores_1810" "m_Arnim_Isabella-von-Aegypten_1812" "m_Goethe_Wahlverwandschaften_1809" "m_Haller_Usong_1771" "m_Hauff_Memoiren-des-Satan_1826" "m_Heinse_Ardinghello_1787" "m_Hippel_Lebenslaeufe_1779" "m_Klingemann_Nachtwachen_1804" "m_Knigge_Braunschweig_1792" "m_Lesage_Gil-Blas_1715" "m_Moritz_Anton-Reiser_1785" "m_Moritz_Hartknopfs-Predigerjahre_1790" "m_Novalis_Ofterdingen_1802" "m_Paul_Titan_1800" "m_Restif-de-la-Bretonne_Anti-Justine_1793" "m_Stendhal_Rot-und-Schwarz_1830" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Walpole_Otranto_1764" "m_Wieland_Peregrinus_1788" "w_Fouque_Magie-der-Natur_1812" "w_Fouque_Spanier_1814" "w_Huber_Ellen-Percy_1822" "w_La-Roche_Rosaliens-Briefe_1779" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"und" 2.58938498449295 2.78470490440565 2.95300994458362 3.2715238480194 3.20662975582056 2.79417684154032 5.57630657921826 3.15865854812758 4.41369714771585 2.92627877070047 2.66045280238001 3.63331600226597 3.87162854216456 4.74732348405266 4.35294028939173 3.04388862671071 1.8953409816354 2.54990446277593 2.37448380786785 3.16266891102071 3.42090206922857 3.44597146758869 2.22896526829929 4.39162185728819 3.69096381452398 3.76236553327207 2.0714068979468 3.02953224985943
"die" 2.70056761659547 2.83517396983731 2.49753283230851 2.34943411479386 4.39913401476434 2.40059931123932 2.67835259747262 2.15320061835505 2.7698332946845 2.27541138493032 2.11457892653902 2.25045203045094 3.33219528849437 3.36380501106368 2.8871311914223 2.38791882963662 2.29325102421549 2.65838086561333 2.17344055640078 2.49871417216066 2.77009630971679 2.49585960426533 2.23234932488071 2.29799447754687 2.58887958541719 2.77492477070833 2.62162435521392 1.5261452783207
"der" 1.9573994967523 2.89158057237858 2.76069738606746 1.95659862570736 3.42490062464509 2.55825394695648 2.50874974265463 2.40306653626526 2.52763391821906 2.67695457050626 1.8805355022722 2.31098142989066 2.94298395356777 2.78268255068058 2.81512256546753 1.50778669183577 2.43828365655777 2.5598304081336 2.26037817865681 2.45476223874316 2.41251072756746 1.87116831798239 1.80708621448151 1.99689362011336 2.07065106700763 2.41094113195308 2.35056134317791 1.48866100832686
"zu" 1.91643747439874 1.42055575347346 1.39932690604519 1.96670371867421 1.67695911413969 1.58884565499351 1.08918365146123 1.31999873805092 1.50730463013063 1.84237461617195 2.12686108874545 1.62110147986621 1.04472516217139 1.60255693882569 0.957224614131787 1.47711184521 1.58668178972747 1.64168046254905 2.18702455987829 2.48562210688736 1.4374940402403 1.41499840195252 2.41057630483582 1.40468318558349 1.6814139265428 1.80550300016217 1.83068676039243 1.64395298401564
"ich" 2.68593832289777 0.99305308158176 0.652850527594322 0.823565076798706 0.349588302101079 2.1892750122993 1.07251747497623 1.94971132914787 2.08703718018088 1.04191271028528 4.14318271763309 0.0543212559074366 0.389211334926596 0.918620504682506 0.839220949609042 3.40254837187353 1.36045567517649 2.43150211458086 1.97511410562921 1.68233038761865 0.612663297415848 1.10991661097713 2.77943847221126 2.27437872402267 2.86270338772093 2.53707407607618 2.32830990189137 2.56097887493641
"sie" 2.22657850078998 2.13380239876499 2.48235026189934 2.31406628940986 1.21734809767178 1.5642470593497 1.01075458564944 1.32189166167145 1.14400556543248 1.20462955672782 1.30395622091516 0.395769150182752 0.880846705360191 1.42598511432467 1.2995483438016 3.25625294950448 2.00380555710505 1.30597081063069 2.86350793305803 0.997802403329125 2.46495661294937 2.38544905134091 1.88604753471478 2.20852710361866 2.70202991694766 2.26859109501414 1.34317791038738 3.02953224985943
"in" 1.22593481186728 1.70036218976369 1.6321263189858 1.24545270816492 1.29897785349233 1.48486068249922 1.6058351224964 1.18970249550431 1.79072943237742 1.80563210245912 1.16885243664451 1.69016707666281 2.15773301468078 1.67854987595271 1.42509217858139 0.943841434638981 1.56374927948532 1.57964330406361 1.18452510323843 1.76275307429747 1.68303613998284 1.51959787314409 1.42468782078036 1.22438599040837 1.28538776618616 1.32980161089789 1.93789825022757 1.4324346033361
"er" 1.00942126514132 1.9727467046669 1.89529087274476 1.33513540824576 1.8189239068711 1.47591573862874 0.779388841504662 1.32693945799287 0.901806188967045 1.21250295252342 1.81161892544728 3.47656037807594 1.65926937521338 1.18236069824099 1.74743445707004 1.79093912222747 2.47361211828217 0.789467153983317 1.54585959574006 0.807032309346799 1.23724611423667 1.84792399105093 0.809917541821299 1.04045560238337 0.683428002444047 0.727967277510496 0.813189036108021 1.08704382982141
"den" 0.983088536485458 1.09399121244508 1.2576229155596 0.895563864187551 1.97863429869392 1.1583702312268 1.23721851318098 1.01776193330599 1.31406044678055 1.1836338346062 0.998949192789006 1.06469661578576 1.37248207579379 1.2807044992289 1.32706996523982 0.837659273242095 1.15096409512653 1.31554225793987 0.855792219082808 1.09599289287885 1.07990845809097 1.01112822151844 0.953175937101668 1.05907571573899 1.08171716943131 1.15321548912554 0.981086274906443 0.74299178023508
"nicht" 0.956755807829598 0.861685073031706 0.989397504997596 1.22397938561035 0.743540601930721 1.01189677534773 0.839191004186151 1.51717828185633 0.765246966066321 0.973676613390022 1.20024018450537 0.740321116224207 0.819392284055992 0.648175051965759 0.752886000165884 0.681925436526663 0.925977575723769 0.962107703597092 1.30678113453597 0.733155655304624 0.739010203108611 1.03146700758346 0.954303955962144 0.702568667344863 0.846364479847926 0.745986269528083 1.22787498735714 1.27446517979062
"das" 0.860202469424776 0.946294976843605 0.994458361800653 1.15450687146322 1.0345684270301 0.955990876157252 1.04996911855534 0.995993311669874 1.31148385766922 1.00779466183765 0.814034417347872 0.852067699805219 1.46124957323319 0.981202923492993 1.15779314296917 1.00519112789051 1.01956700941473 1.24145216580583 0.94544664203434 0.706971524758031 1.34690569276247 1.33654879855885 0.917079333566457 0.905119168725476 0.730951141686845 0.893742004072292 0.989177708101547 0.757717743446946
"so" 0.561764877991691 0.947779361121007 0.855284799716592 0.935984236054972 0.503975014196479 0.840824723824858 0.721547405468467 0.956872890178881 0.662183401612945 0.740099204787025 0.808575678589462 0.977006588392324 0.744281324684193 0.614648756174426 0.798504030221002 0.516753185464842 0.624755954705193 1.07767406740426 0.725385785698761 1.13900967877683 0.796223896252503 0.892001045994712 0.751260561076581 0.872420433076588 0.563488651021747 0.684721696668288 1.37756650146657 0.787169669870679
"sich" 0.781204283457195 1.16969481059257 1.24244034515043 1.62439369442199 1.02037194775696 0.856478375598193 0.988206229228552 0.701328201407073 0.981680451418412 0.939558564942393 0.640037119423557 1.80734578583457 1.67975418231478 1.17118526631054 0.744591812883135 0.698442661632846 1.31954903528508 0.592011740975366 0.926429037165833 0.795810539112545 1.35644130828645 1.07795566144638 0.638458675029047 0.508192849876471 0.484283418950418 0.484710885273078 0.934560534034591 0.737636884521674
"mit" 0.866054186903856 1.06801448759055 0.95144107897467 0.87535367825384 0.857112436115843 0.934746634464869 0.927423703224415 0.688708710603527 0.716291772950967 0.839828884864709 0.810622705623866 1.01425544958599 1.07886650734039 1.07731163809481 1.00246563567405 0.771590372817367 0.720204781118487 0.912123478760249 0.635731362747229 0.994996960770562 0.891580051492324 0.793212656536014 1.09981838896346 1.13718936201134 1.01835298377424 1.10636610987981 0.768686153534945 0.773782430587164
"von" 0.962607525308678 0.774848592803705 0.754067663655457 0.722514147130154 0.910349233390119 0.838588487857239 1.21565052008274 0.617093100293403 0.520471000489552 0.947431960738 0.937538381756895 1.0678006875519 0.942301126664391 0.764399544042377 0.624703105796129 0.764511562057574 1.3257470110262 0.722821520867528 0.652032166920235 1.29611446205639 0.629350624582817 0.743818461806665 0.811045560681775 1.06089231216393 1.0794541628007 1.11897940429212 1.08425204814403 0.809927976652655
"es" 0.637837205219732 0.795629972687329 0.746476378450872 1.04208771220695 0.356686541737649 0.959345230108681 0.653902336205798 1.0398460422122 1.06928448120378 0.68760989948298 0.720553516110103 0.712384470328954 0.566746329805394 0.775574975972821 0.534598071224448 0.762151958470977 0.76173121858401 0.921694926069432 0.646598565529233 0.643381493430589 0.982168398970154 1.22613824563442 0.646354807052374 0.657153756721407 0.574803684174795 0.610843829396184 0.954789117022353 0.807250528795952
"daß" 0.933348937913278 0.64199619997625 0.855284799716592 0.730092966855295 0.516396933560477 0.707768683751509 0.524494377616345 0.818689465880052 0.510164644044214 0.732225808991418 0.87408054369038 0.751185367405694 0.382383065892796 0.43584184528732 0.386810734186378 0.788107597923549 0.611740205648835 0.556207438078053 0.592262551619213 0.910833684013653 0.364737293792314 0.412586803033385 0.764796787402285 0.714376544106961 0.767159247776596 0.852298322431843 1.21776069586325 0.812605424509358
"ein" 0.795833577154895 0.797856549103432 0.85781522811812 0.666936135812449 0.800326519023282 0.948164050270585 0.900953893512936 1.15184402309367 0.948184792971065 0.92381177335118 0.807210993899859 0.795418390073178 0.710139979515193 0.974497664334727 0.802274115349525 0.693723454459651 0.859039437719641 0.749408874504146 0.567811345359704 0.576050872025062 0.657957471154763 0.668274399279426 0.718548014122796 0.516367533788693 0.445812306230057 0.484710885273078 0.50166885809649 0.419020589574018
"dem" 0.591023465387091 0.819380121125757 0.913484652951745 0.708619644300728 1.04166666666667 0.765910818909611 0.685273962530514 0.624664794775531 0.961067738527737 0.894942655433955 0.606602344528297 0.894748686589634 1.20177534994879 0.525245300730873 0.828287702736328 0.464841906559698 0.635912311039215 0.946864287512097 0.676483373179743 0.684527984289522 0.908267378659292 0.723479675741639 0.695987636913289 0.761153902049121 0.640430876462468 0.762203362343911 0.625063214321837 0.445795068141048
"auf" 0.693428521270993 0.570745754660967 0.581998532351527 0.771776475343573 0.5465644520159 0.834116015922 0.639196886366087 0.629081616556772 0.798742624513669 0.669238642626565 0.588861443563465 0.900180812180378 1.07203823830659 0.695111866073624 0.891248124382649 0.738555922605002 0.617938181389958 0.750117870601122 0.575961747446207 0.606910740169262 0.901115667016306 0.755440625272394 0.659891033378078 0.722097078912949 0.547647604607482 0.62886282141377 0.637200364114494 0.562264049907628
"als" 0.374509918661127 0.542542453390334 0.683215668412662 0.678304365400162 0.438316297558206 0.60825618319245 0.46665294158015 0.58049657696312 0.780706500734328 0.564260032018476 0.79629351638304 0.600637886747942 0.573574598839194 0.438076931673409 0.775129502424165 0.493157149598867 0.607401622630049 0.910350988517808 0.652032166920235 0.796745686632066 0.545913988747974 0.424208966499114 0.340661695863555 0.498201569539311 0.416393220032135 0.558588752545183 0.845554768888439 0.459182307424563
"ist" 0.672947510094213 0.403010331314571 0.293529694577292 0.507780921584479 0.457836456558773 0.571358289726732 0.975461506034136 1.15878474303562 0.654453634278942 0.477652678266803 0.418958199707958 0.128042960353243 0.300443837487197 0.674996088598824 0.36343620638954 0.478999528079283 0.537984294329472 0.440641074270886 0.760704194740274 0.370318417730397 0.433870506341184 0.595635877618619 0.232371885257922 0.572682022961779 0.497861458734074 0.518946970106492 0.629108930919389 0.619829178826742
"wie" 0.570542454210311 0.639769623560147 0.700928667223361 0.554516976556184 0.25908574673481 0.797218122456282 0.729390312049646 0.816481054989431 0.888923243410373 0.43828569928877 0.401217298743125 0.504411661997625 0.539433253670195 0.592297892313538 0.864103511457289 0.627654554034922 0.464848180584221 0.689498704309633 0.385785698761139 0.508720250619535 0.779536569085534 0.598541418485051 0.672299240843307 0.495930824008138 0.47523139242798 0.385606429176352 0.485485991706281 0.34940694529974
"war" 0.564690736731231 0.602660016625104 0.705989524026418 0.701040824575586 0.713373083475298 0.658571492463885 0.330382439732165 0.665047165346878 0.427713792481513 0.797837440621473 0.593637839977073 1.2105879887943 1.03106862410379 0.62582418810487 0.442230985575654 0.729117508258613 0.971222798633966 0.34492660117906 0.486307324494675 0.782718473839248 0.655573567273767 0.656652235813697 0.830221881309856 0.485939543670978 0.47296838579737 0.502729877290664 1.14898351370486 0.618490454898391
"an" 0.418397799754228 0.486135850849068 0.478250967888864 0.507780921584479 0.500425894378194 0.518806744487678 0.488220934678392 0.485219421396347 0.644147277833604 0.514395191979634 0.47559261432646 0.597533814981802 0.573574598839194 0.601238237857893 0.649962676157228 0.438886267107126 0.561536602145739 0.581376799520719 0.423820908498153 0.467573759760602 0.607895489653857 0.714763053142342 0.571905562261001 0.619005231797704 0.563488651021747 0.558588752545183 0.519874582785476 0.518086160272029
"mir" 0.828018023289836 0.326564541028381 0.232799412940611 0.298100242522231 0.0940516751845542 0.684288206091507 0.339205709635991 0.443259614474556 0.505011465821545 0.309686901293861 1.13337063471485 0.0186244305968354 0.116080573574599 0.382199772021189 0.180964086169066 0.922605002359604 0.39171206683897 1.00890144599754 0.559660943273201 0.696684902043297 0.238390388099552 0.412586803033385 1.27014923689524 0.759337305624183 0.819208400280613 0.798241346379084 0.805097602912916 0.641248761680366
"eine" 0.52080285563813 0.506175038593991 0.511146537108732 0.583569118835893 0.509298693923907 0.445010957556241 0.403909688930718 0.487743319557056 0.600345262940919 0.488150539327612 0.47559261432646 0.668927465603005 0.396039603960396 0.670525915826647 0.49915927101634 0.476639924492685 0.480343119937029 0.417953199167639 0.412953705716149 0.618132510403516 0.340898254982359 0.363192608304036 0.561753392516723 0.477310710652521 0.39376315372604 0.632466619817287 0.548194598968342 0.337358429944577
"mich" 0.942126514131898 0.224884218026363 0.154356132493231 0.256416734033953 0.101149914821124 0.614964891095308 0.34704861621717 0.362494873331861 0.61838138672026 0.259822061255019 1.09038306699237 0.0178484126553006 0.0546261522703995 0.312912094052435 0.159851609449341 1.18216139688532 0.365060771152142 0.68808071211568 0.502608128667681 0.756534343292654 0.174024983312673 0.316703954441119 1.20472414298767 0.774324226129923 1.04550906334156 0.890138205668775 0.77677758673005 0.678733031674208
"aber" 0.500321844461349 0.562581641135257 0.652850527594322 0.428203314470493 0.516396933560477 0.525515452390536 0.317637716537749 0.229990219894627 0.316920460694133 0.425163372962759 0.451710632258417 0.355416217222942 0.450665756230795 0.254799848014126 0.580970118305271 0.719679093912223 0.454311621824312 0.352725558245802 0.567811345359704 0.41146490858933 0.27653285019548 0.159804747653776 0.507608487213906 0.653066414765296 0.678901989182828 0.529758365317044 0.459188833822191 0.358778012798201
