"Ahlefeld_Erna_1820_1" "Ahlefeld_Erna_1820_2" "Ahlefeld_Erna_1820_3" "Ahlefeld_Erna_1820_4" "Ahlefeld_Erna_1820_5" "Ahlefeld_Marie_Mueller_1799_1" "Ahlefeld_Marie_Mueller_1799_2" "Ahlefeld_Marie_Mueller_1799_3" "Ahlefeld_Marie_Mueller_1799_4" "Buchholz_Giftmischerin_1803_1" "Buchholz_Giftmischerin_1803_2" "Buchholz_Giftmischerin_1803_3" "Buchholz_Giftmischerin_1803_4" "Buchholz_Hermes_1810_1" "Buchholz_Hermes_1810_2" "Buchholz_Hermes_1810_3" "Buchholz_Hermes_1810_4" "Buchholz_Hermes_1810_5" "Buchholz_Hermes_1810_6" "Buchholz_Leviathan_1805_1" "Buchholz_Leviathan_1805_2" "Buchholz_Leviathan_1805_3" "Buchholz_Leviathan_1805_4" "Buchholz_Leviathan_1805_5" "Buchholz_Leviathan_1805_6" "Buchholz_Leviathan_1805_7" "Buchholz_Leviathan_1805_8" "Buchholz_Leviathan_1805_9" "Goethe_Lehrjahre_1795_1" "Goethe_Lehrjahre_1795_2" "Goethe_Lehrjahre_1795_3" "Goethe_Lehrjahre_1795_4" "Goethe_Lehrjahre_1795_5" "Goethe_Lehrjahre_1795_6" "Goethe_Lehrjahre_1795_7" "Goethe_Lehrjahre_1795_8" "Goethe_Lehrjahre_1795_9" "Goethe_Lehrjahre_1795_10" "Goethe_Lehrjahre_1795_11" "Goethe_Lehrjahre_1795_12" "Goethe_Lehrjahre_1795_13" "Goethe_Lehrjahre_1795_14" "Goethe_Lehrjahre_1795_15" "Goethe_Lehrjahre_1795_16" "Goethe_Lehrjahre_1795_17" "Goethe_Lehrjahre_1795_18" "Goethe_Lehrjahre_1795_19" "Goethe_Wahlverwandschaften_1809_1" "Goethe_Wahlverwandschaften_1809_2" "Goethe_Wahlverwandschaften_1809_3" "Goethe_Wahlverwandschaften_1809_4" "Goethe_Wahlverwandschaften_1809_5" "Goethe_Wahlverwandschaften_1809_6" "Goethe_Wahlverwandschaften_1809_7" "Goethe_Wanderjahre_1821_1" "Goethe_Wanderjahre_1821_2" "Goethe_Wanderjahre_1821_3" "Goethe_Wanderjahre_1821_4" "Goethe_Wanderjahre_1821_5" "Goethe_Wanderjahre_1821_6" "Goethe_Wanderjahre_1821_7" "Goethe_Wanderjahre_1821_8" "Goethe_Wanderjahre_1821_9" "Goethe_Wanderjahre_1821_10" "Goethe_Wanderjahre_1821_11" "Goethe_Wanderjahre_1821_12" "Goethe_Wanderjahre_1821_13" "Goethe_Wanderjahre_1821_14" "Unger_Albert-und-Albertine_1804_1" "Unger_Albert-und-Albertine_1804_2" "Unger_Albert-und-Albertine_1804_3" "Unger_Albert-und-Albertine_1804_4" "Unger_Bekenntnisse_1806_1" "Unger_Bekenntnisse_1806_2" "Unger_Bekenntnisse_1806_3" "Unger_Bekenntnisse_1806_4" "Unger_Julchen-Gruenthal_1798_1" "Unger_Julchen-Gruenthal_1798_2" "Unger_Julchen-Gruenthal_1798_3" "Unger_Julchen-Gruenthal_1798_4" "Unger_Julchen-Gruenthal_1798_5" "Unger_Julchen-Gruenthal_1798_6" "Unger_Julchen-Gruenthal_1798_7" "Unger_Julchen-Gruenthal_1798_8" "Unger_Julchen-Gruenthal_1798_9" "Wieland_Agathon_1794_1" "Wieland_Agathon_1794_2" "Wieland_Agathon_1794_3" "Wieland_Agathon_1794_4" "Wieland_Agathon_1794_5" "Wieland_Agathon_1794_6" "Wieland_Agathon_1794_7" "Wieland_Agathon_1794_8" "Wieland_Agathon_1794_9" "Wieland_Agathon_1794_10" "Wieland_Agathon_1794_11" "Wieland_Agathon_1794_12" "Wieland_Agathon_1794_13" "Wieland_Agathon_1794_14" "Wieland_Agathon_1794_15" "Wieland_Agathon_1794_16" "Wieland_Aristipp_1801_1" "Wieland_Aristipp_1801_2" "Wieland_Aristipp_1801_3" "Wieland_Aristipp_1801_4" "Wieland_Aristipp_1801_5" "Wieland_Aristipp_1801_6" "Wieland_Aristipp_1801_7" "Wieland_Aristipp_1801_8" "Wieland_Aristipp_1801_9" "Wieland_Aristipp_1801_10" "Wieland_Aristipp_1801_11" "Wieland_Aristipp_1801_12" "Wieland_Aristipp_1801_13" "Wieland_Aristipp_1801_14" "Wieland_Aristipp_1801_15" "Wieland_Aristipp_1801_16" "Wieland_Aristipp_1801_17" "Wieland_Aristipp_1801_18" "Wieland_Aristipp_1801_19" "Wieland_Aristipp_1801_20" "Wieland_Aristipp_1801_21" "Wieland_Aristipp_1801_22" "Wieland_Aristipp_1801_23" "Wieland_Aristipp_1801_24" "Wieland_Aristipp_1801_25" "Wieland_Aristipp_1801_26" "Wieland_Aristipp_1801_27" "Wieland_Aristipp_1801_28" "Wieland_Peregrinus_1788_1" "Wieland_Peregrinus_1788_2" "Wieland_Peregrinus_1788_3" "Wieland_Peregrinus_1788_4" "Wieland_Peregrinus_1788_5" "Wieland_Peregrinus_1788_6" "Wieland_Peregrinus_1788_7" "Wieland_Peregrinus_1788_8" "Wieland_Peregrinus_1788_9" "Wieland_Peregrinus_1788_10"
"Ahlefeld_Erna_1820_1" 0 0.483898156881031 0.579265489963384 0.592410318526849 0.523547800897544 0.644655120168849 0.675333494130124 0.691630471746308 0.677096261027283 1.05739897069971 0.998318233265098 1.03713316360119 1.05487838703463 1.08470155959877 1.11614232672781 1.08267845276712 1.05864298322124 1.06113021373628 1.07072381802778 1.10230427554476 1.08760361345811 1.05023922511324 1.05535737390774 1.06478793629976 1.08437229289205 1.04086261621151 1.09317300133355 1.04737844453676 0.964652034559243 0.970393808206121 0.921673093465769 1.0041833197471 1.00330710003676 1.01570503111932 0.957319685824075 0.944628059771335 1.03604185486418 0.996237206172978 0.956512389866497 0.982042283967396 0.989587759495332 1.02623272792114 0.941845987572518 1.06231438609599 0.949018301310201 1.03453984663104 0.953131349534518 1.03474370460712 0.985359151338604 0.90752472642377 0.991133342112202 0.924269739509434 0.935959959559929 0.926679783579369 0.937867941576065 0.966503277512489 0.962052608300546 1.00934545303722 1.02824026229199 0.985973530890924 0.866073493889735 0.963152752258194 1.05866386780314 1.03722898725528 0.991205649679024 1.03854035504672 0.980769824694761 0.931933425088043 0.859382869667991 0.869166981080702 0.894483407792492 0.858767028741168 1.02117290954652 0.981234558620695 1.0126997406393 1.03108840887912 0.95648593788351 1.0044425739724 0.89024341386943 0.991704158442729 0.927556476042211 0.861841530863351 0.93491250143847 0.97152792410096 0.942793218731971 1.07509451806039 1.06541305362254 1.12397106720349 1.07676940507686 1.01287958076586 0.964180878188052 0.989988601885376 1.03391895326841 1.01343388009619 1.09610138536223 1.03513973209576 1.07261008265859 1.11480774804166 1.10320617944439 1.13087016521669 1.01423896093542 1.08679050514903 1.12440499379737 1.14637355194242 1.16350907563967 1.10259873919915 1.12481963659745 1.14684232455321 1.15632471652208 1.11660371286639 1.09285457416436 1.07984444437944 1.12913095554172 1.12011612339968 1.10276986424355 1.13955155288777 1.14056915059194 1.09113701320179 1.05825666593763 1.13568868404664 1.09941369886051 1.10879883552665 1.12606483985725 1.13164794025281 1.13441880283898 1.15395571968787 1.09757494736696 1.12704602153362 1.08640847706319 1.07295600807197 1.06943205627601 0.979163316554877 0.980606271917092 1.05229380222774 1.0948227322582 1.03691416615527 1.08301735254808 1.11188203485327 0.983739841081639
"Ahlefeld_Erna_1820_2" 0.483898156881031 0 0.535493800564735 0.5308289997933 0.511535834579637 0.682744761496101 0.713629970067977 0.708373331384919 0.676131617520365 1.04138847982088 1.01166217738793 0.991591694598094 1.05575690052483 1.10889228048704 1.10360727388614 1.07075340378122 1.10734949857666 1.08810690431864 1.09963779516602 1.09854785894482 1.11628968181633 1.09407468783965 1.06836794359475 1.08539751288164 1.09159510594923 1.0669623286621 1.07991163005298 1.04651618164712 0.969343168514182 0.958654380372084 0.889053161496371 0.996287182073295 0.985915607761451 0.960458741742195 0.950401639114889 0.94531699008443 1.01046641683161 1.01960163370667 0.98450564742677 0.991914031372776 1.03151668510098 0.97598168343702 0.965622333977066 1.01713641904454 0.942207767558942 1.00151424528038 0.967359301803598 1.02769626931047 0.981799736164106 0.93769485947595 0.922789412775835 0.914585751668653 0.928101668716668 0.917746695577225 0.983156150125584 0.966940117317068 0.960564144971799 0.95796449539733 1.00269651065187 0.979597356055409 0.909258526302842 0.993213480859233 1.05159324015137 1.05004022295876 1.01381108394845 1.01034331366009 0.970132755136893 0.951753445065751 0.825267274574455 0.869213870680943 0.859116755398817 0.877242411608096 1.02379202109615 1.02804787972481 1.01467880527606 1.01937491559679 0.988485937052451 0.996587792400025 0.908884350773057 0.933135891269324 0.923168775473049 0.875290117928677 0.917119740474603 0.952340956268801 0.92628410412787 1.08451545303379 1.03738969716284 1.1090250484082 1.08181754412013 1.01432202881766 0.988730150288141 0.991140818803933 1.06595853819976 1.0268776316262 1.04037466593006 1.06209900639533 1.0882110085332 1.08606928839097 1.07655978084564 1.11662699236075 1.02670131892758 1.09168748991217 1.15006316595263 1.13037161006053 1.15563859707425 1.07532879153155 1.10885167108633 1.08482708221814 1.14757227465616 1.12896123429414 1.12877644344285 1.09006718684406 1.14513360994834 1.12839874918468 1.06295645174646 1.12929237918902 1.14093757373573 1.09469595375291 1.05512670453282 1.13715487307941 1.06543226649105 1.05220636618015 1.09993022594783 1.13573727810258 1.12396804954364 1.18096079772041 1.09521162129407 1.17137467758582 1.07104364104964 1.06594020081791 1.03256081747522 0.989520548469256 1.0304806359794 0.992361480617678 1.13229538440909 1.07363798205144 1.14185451659327 1.12340402830394 1.01150359284165
"Ahlefeld_Erna_1820_3" 0.579265489963384 0.535493800564735 0 0.576785981550209 0.546552674992563 0.737517686008534 0.789225321850345 0.72958748006874 0.750381824823018 1.07431981218081 1.02577745213768 0.990700011085937 1.02925687457982 1.06090984220552 1.08943791258066 1.07505065016098 1.05499941655396 1.06913085268234 1.09618926995152 1.09923482631612 1.08510759182327 1.05761577012392 1.02869320736138 1.05706845887198 1.0661828000709 1.02318486135383 1.05488794281358 1.0518942119185 0.996152322558666 1.01381174185726 0.916839883721915 0.997135251369466 0.947755934123193 0.970310534869506 0.966371440060436 0.964616821340315 1.07094691592598 1.01674286776793 0.966852295447488 0.980297712699508 0.995653615097894 1.02096941955298 1.00092858305332 0.985378055227613 0.963376564448454 1.02107595305904 0.9481153112737 0.988519038340666 0.986423035946568 0.87989156060686 0.931742146443865 0.960648358863992 0.968273375177997 0.955368601482549 0.942008284539654 0.958679971647564 0.997346815470212 0.966726992415639 0.980745322143666 0.981984180795329 0.913080764283267 0.963335039791611 1.02016490642204 0.99573114611251 0.940732743572975 1.01338004990944 0.973978008370484 0.948135248976437 0.864698762171602 0.840692362635584 0.893662188047673 0.891170189922581 1.01945386918537 0.992286032262469 1.01468460968138 0.984661793343415 1.00553839519017 0.998061450080306 0.940154465248452 0.975626076595926 0.919180764476206 0.890979711711554 0.900425863254524 0.94734524641817 0.952085299069674 1.0708036461608 1.09684456626489 1.13386989534961 1.09044474762377 1.04147946649096 1.00945575581358 1.03613399694218 1.07977362385073 1.04849454644441 1.07537234859902 1.07004674878504 1.09002201774537 1.09746220086785 1.07738054211401 1.08930006101665 1.07375598694859 1.09929415159547 1.12452867391676 1.10979782325931 1.13033077541643 1.06738209214652 1.12882913838329 1.12868764492189 1.10743771680487 1.13079753270939 1.09205472811438 1.03939887180838 1.11694133624808 1.14065313706073 1.04901035650771 1.10813304072563 1.13694428378522 1.11650745342293 1.07170827199104 1.10627531487207 1.09049550243101 1.07529265337683 1.0969786233009 1.08783263688003 1.09572964135921 1.10146254357726 1.09399489745128 1.11977531233295 1.06853200453926 1.08212067185847 1.06591857876257 0.971164631736277 1.02740424018546 0.992934970043135 1.05637978343978 1.04085320670262 1.1123890946024 1.09950712161003 1.03246001713081
"Ahlefeld_Erna_1820_4" 0.592410318526849 0.5308289997933 0.576785981550209 0 0.556568995334131 0.646968363754645 0.723352293033464 0.70006968589894 0.68024511685221 1.05322255551979 1.02854539073339 0.988625787414808 0.996014416095413 1.1219503309644 1.13620841002739 1.12938113669477 1.09652347715805 1.09887081019879 1.12685458078677 1.12627147912996 1.14678076904723 1.09666101847405 1.06935477017586 1.10984315579172 1.12497572974916 1.07478070127548 1.12210841263773 1.07384948737678 0.94928195815945 0.912128147553085 0.86906769133379 0.957920285176484 0.899585518379733 0.928987328853828 0.93917890033974 0.91125717726585 1.00882168398298 1.01813997386879 0.935222996003914 0.915914264372349 1.02023854555208 0.89562742412085 0.897989825277496 0.931823844976265 0.911824288357777 0.965173451369301 0.942279328189219 1.01816628320871 1.00379313415783 0.886662659763185 0.876894410450051 0.913151899959936 0.937136359842576 0.892154593149679 0.907165732705361 0.934892392845146 0.945538722930461 0.917225882605752 0.997749174852822 0.962295642168717 0.852695365310854 0.973826589131564 1.00959010705785 1.02061715226055 0.939591722375274 0.971497292056272 0.940099623568416 0.880573008248658 0.875093729654915 0.856612949043455 0.811592811582625 0.864080169738742 1.05094909633074 1.03199466614641 1.04366400149168 1.02007373281552 0.963722370885917 0.995670289690289 0.876770002911004 0.917968686932318 0.934380041924687 0.809260271694804 0.908016855926637 0.883681744648677 0.917506381989685 1.05187209952171 1.11124984607068 1.16648947941463 1.09118966267186 1.08616946701748 1.01170425016642 1.01334553197301 1.11595077564256 1.08876708993295 1.10916771633793 1.1057439253513 1.09145726436046 1.11903175880395 1.14263700772165 1.14576695895749 1.03562141044441 1.11870974111352 1.15541629875377 1.15137280643166 1.20311794850057 1.07158416187849 1.14119044306228 1.07905730469052 1.13378830745951 1.15183074640759 1.13015783087378 1.10697691046396 1.10914536575885 1.15878448801549 1.08650688802414 1.15300400130721 1.15889421026617 1.06713155883858 1.07386967134075 1.1445193249296 1.08987118195893 1.09258454968547 1.12582529574986 1.14352246069133 1.15510907131866 1.16957420165039 1.1182726469192 1.1870263302231 1.10413226060831 1.08263564215351 1.06893434827075 0.988346313546743 1.03144342932931 0.997139285363703 1.10532196340786 1.00529888471185 1.11109017769783 1.14930123618843 1.07565938933143
"Ahlefeld_Erna_1820_5" 0.523547800897544 0.511535834579637 0.546552674992563 0.556568995334131 0 0.649993957688195 0.640021029520065 0.688269379692528 0.706179083762359 1.01387886729528 1.0133294924045 1.0016497263465 0.994251005915696 1.05176324883317 1.08806248646741 1.08777814047934 1.05748852827462 1.07615849466049 1.07253332340365 1.09668507393552 1.09005329140491 1.08397320768956 1.0793425681187 1.07134308286976 1.11056418309899 1.05948667449376 1.07792387193633 1.06856345032562 1.00430610681003 0.960654818337164 0.913237089467059 1.02358798081969 1.0188269969362 1.02146368989116 0.960587949717231 0.954213254264508 1.01670038888662 1.04272851824991 0.997647923073199 1.00005312801634 1.00728755185603 0.935818242774263 0.910419949540245 0.974244366181514 0.917881232619063 1.00945952845826 0.947964233643881 1.00447707739459 1.02477037294669 0.934366945092778 0.893352670575993 0.96620920288092 0.963035714489558 0.875498760209207 0.948212523571992 0.979348812042551 0.961732386779314 0.965400131468037 0.994393466330008 0.96518988768093 0.949757792840869 0.995633558769989 1.03308499856228 1.0165771149188 0.984850645025654 0.973776969587501 0.961231404652467 0.949641649709991 0.876704493759347 0.894113115848821 0.868587773079622 0.874292064318931 1.03899597023564 1.02230030353225 1.00314106693351 0.999976748097598 0.974273717890979 1.00176388711103 0.893792915098787 0.938588202351498 0.87154284275698 0.849936409291322 0.886924646473051 0.909215137445433 0.884327283462431 1.09928439089733 1.13053120936987 1.14834474390813 1.09081919826481 1.08015328232395 1.02160103366963 1.02113017785908 1.08122590145631 1.06392380888562 1.08700834625122 1.08699879116717 1.09794818811014 1.13148015852096 1.12155610453257 1.14716189543861 1.07029725272326 1.0864138027378 1.14846695081873 1.14285418128374 1.12165689286265 1.07344056614079 1.12336305982826 1.08136398207555 1.12195427589198 1.12211187857153 1.11695981755903 1.07332323349263 1.10094462589718 1.11465196094307 1.08806970855352 1.08442108788662 1.15224261277851 1.12171348902686 1.07211768242164 1.11164128636499 1.07599641635503 1.07956008795486 1.13294581165364 1.12621618251545 1.12022339901659 1.12996059358371 1.11703620520379 1.10465913184233 1.08251972696313 1.11149339809233 1.05125153174327 0.992275378666477 1.07712217255156 1.00760032909379 1.10775777426577 1.08377294530428 1.08395574369368 1.06024571802724 1.05416729819659
"Ahlefeld_Marie_Mueller_1799_1" 0.644655120168849 0.682744761496101 0.737517686008534 0.646968363754645 0.649993957688195 0 0.411985093082974 0.455957326016527 0.484234055540978 1.01942131219511 1.02964918156849 1.04977653161747 1.04407731532343 1.17048247206147 1.18545036789179 1.16947707396998 1.17216447312599 1.18294119508389 1.18019335345688 1.2160747123476 1.21141224002983 1.18886767232895 1.16736316455552 1.17026938192681 1.19690591561866 1.18815468819586 1.16314994291848 1.13483241861163 0.912138024134546 0.838410360988998 0.891707719150984 0.979068199407802 0.916170956535309 0.999889966349801 0.918646233702447 0.8916253496181 1.04994273284262 1.02983197627997 0.966963262228769 0.932590984511787 1.01334237141844 0.918897905396472 0.868979774106327 0.885301829577433 0.860199815746656 0.975013712470678 0.935266665647858 1.01944223285452 1.03074919070973 0.919841716335388 0.922938619003261 1.00599395636564 1.00999018447514 0.868141708177591 0.955772782200674 0.949638000458775 0.97375492518177 0.964576929992764 1.02821196205609 0.97158620646675 0.998048747256469 1.03846000022308 1.0724651697175 1.08941302862242 1.01695279303274 1.0354472555267 0.992852681299607 0.983452727461294 0.8495658216743 0.815935976811887 0.809345321236867 0.808915333632405 1.07400856439729 1.09934960954592 1.07775411572566 1.0416714353657 0.848570288174507 0.933096303961904 0.80882895269096 0.825189842506674 0.798811351480349 0.759637773735115 0.850011330138808 0.850654696105361 0.813913658787135 1.02103072383024 1.04887074032107 1.1024389236547 1.02223376398134 1.00131957123455 0.968365471692962 0.923364121029386 1.07464052045224 1.04168522152824 1.02986854050793 1.08109713856877 1.11360645895916 1.15657167547817 1.13363697217386 1.13184046449436 0.992084137986112 1.07772761955263 1.1672603611116 1.14467903024158 1.06228583483293 1.04027460566913 1.09764413277451 1.09267808997285 1.12617202266141 1.1305115034866 1.14218033605606 1.11623702836346 1.05848483199145 1.0860758121503 1.10283891154895 1.09366152259932 1.13776373759132 1.06875434080401 1.02796692151494 1.05857706648411 1.10277174969503 1.04287632005316 1.12403144886691 1.23279335633051 1.20657480879382 1.22707858144824 1.14049968181251 1.19875793098902 1.14072377803293 1.12434720865847 1.01322738410051 0.941740724231028 1.01196408141404 0.94261428642904 1.11742796083258 1.11901028962522 1.0670527953773 1.12691525590698 1.02376379761296
"Ahlefeld_Marie_Mueller_1799_2" 0.675333494130124 0.713629970067977 0.789225321850345 0.723352293033464 0.640021029520065 0.411985093082974 0 0.468788612543699 0.48509689549753 1.00663619464426 1.00610560651915 1.0259207577446 0.9830973283626 1.14519096111215 1.18053718570639 1.16596813442727 1.13725820945399 1.12837185418476 1.123142314056 1.16215552896261 1.15079790296457 1.14026901442042 1.1091249135189 1.14457269260704 1.15640964071938 1.13535741973907 1.10986266690557 1.10158037562092 0.942817010340439 0.88674178833586 0.863756340299992 1.05040491168481 1.01314381783211 1.04255646389562 0.956891304975429 0.930141935262188 1.07587775339895 1.02856442223571 1.00825213985032 0.96498323715869 1.01157857569592 0.917720165618078 0.871087163761509 0.914597916001976 0.865630920586817 0.977876043762607 0.957378425456665 1.04005563656747 1.03990803258631 0.909372935490119 0.943952296116605 1.01461330864414 1.04243420012761 0.862130879719312 0.978064317152889 1.00853611178745 1.02240343188985 0.985246830209034 1.05468370759272 1.01025111853646 1.00557086165618 1.0833622857487 1.09223927613711 1.08912587342389 1.01648568723913 1.06182422170717 1.04841462197136 1.03736793012219 0.908881975632263 0.832788708830338 0.847401958134493 0.837934542073081 1.03339218282036 1.06591328237294 1.02391841887469 1.01906870381543 0.876686825723787 0.94852894753401 0.884312674506939 0.87161421705892 0.821677570703391 0.758851089246363 0.887011860310028 0.874203930694258 0.829346392061187 0.989797175677651 1.0412002046904 1.07698272031389 1.02885572042127 0.973746396419369 0.940722745103379 0.932949626527847 1.04899852197624 0.995956007704615 0.991981711701529 1.07259665698892 1.10914929704106 1.10276516413436 1.08985491255191 1.11900064736827 0.98827874729175 1.07020083421926 1.18481261306231 1.10491465295928 1.07678436168925 1.01622139520509 1.06282277304631 1.09710675356895 1.11211489304889 1.09868105699883 1.18288160478643 1.13561343451791 1.03509833532755 1.07283726622572 1.09199614718652 1.11350664900853 1.13741630463315 1.06790743598331 1.06795466047904 1.05478711465565 1.06862936873619 1.06777567122055 1.12638158271685 1.18392658466507 1.1912990337773 1.15887791921492 1.14305834278907 1.13636266056627 1.14647101787817 1.13380341776992 1.04426654088143 0.964409394156946 1.0107606336598 0.951242598272812 1.12025504761882 1.12272961725691 1.05840832628611 1.10963497842477 1.03369278762766
"Ahlefeld_Marie_Mueller_1799_3" 0.691630471746308 0.708373331384919 0.72958748006874 0.70006968589894 0.688269379692528 0.455957326016527 0.468788612543699 0 0.43530845297495 1.01623675746482 0.998283089253393 0.974765723351437 1.00459308295453 1.16897861182887 1.19997736183419 1.18966509517931 1.17690273882293 1.17820110823785 1.17436324666028 1.19850510771515 1.19411913862014 1.1675019741508 1.12948677528202 1.17148398847346 1.17363963253528 1.13162810685174 1.13677017352575 1.10333443281644 0.96298382206643 0.862618487237345 0.895640964039961 1.03150215232682 0.969879491066826 1.0071792455135 0.959679812696805 0.885424853457895 1.04212513450748 1.04882281159891 0.952791219850361 0.937014658581273 1.00168252572771 0.918078985095654 0.860049227662858 0.91648137757372 0.933178420374974 0.990286028543606 0.928150714402775 1.02329618745019 1.01249364912952 0.902693883759342 0.937360723413978 0.991118546622126 1.04028446384108 0.892893613267594 0.977436057633647 1.00928246977566 1.02515112951476 0.969335912171113 1.06327072286075 1.01636940773255 0.959077624036358 1.05050332044047 1.10205043905779 1.08774260732851 1.01907589155678 1.05528188821785 1.01466281766149 1.02640694473578 0.882480011322096 0.884272306331487 0.821801512333168 0.81439816538537 1.07773306362 1.05859551337934 1.03324876894387 1.04287311748072 0.876602377372473 0.940315101627765 0.877094553266494 0.827030491329962 0.783364964171145 0.764832056384914 0.861077215235931 0.839792501672623 0.804836584525034 0.991790570607697 1.04006741059362 1.10493671331374 1.0277439982782 0.991157622348171 0.975916660833935 0.965933723980997 1.04388130754995 0.980634427827076 1.01925566977055 1.06291609286211 1.13348010039043 1.158050225483 1.09742825613228 1.12208662919365 0.95960839315023 1.07494447584983 1.17586020252219 1.10600653416065 1.05763894676313 1.00309681364144 1.07216354772384 1.06244902181118 1.14063364306053 1.1616303502108 1.19872911370943 1.14160325751382 1.00888280335006 1.0621561882458 1.09100332095663 1.09604667889129 1.14274143678326 1.06700144413872 1.04125032536763 1.04976020864654 1.04157035763412 1.01799491761145 1.08613126070553 1.1997064341377 1.17943750858835 1.23175768155873 1.18721308170394 1.16932091007469 1.11510049347442 1.08159357508508 1.02256821587744 0.959044659632403 0.985927604027916 0.952473876341901 1.12192492251726 1.11575006932155 1.03249006847055 1.07046146120073 0.943906152801398
"Ahlefeld_Marie_Mueller_1799_4" 0.677096261027283 0.676131617520365 0.750381824823018 0.68024511685221 0.706179083762359 0.484234055540978 0.48509689549753 0.43530845297495 0 1.00415929486913 0.970782651386031 0.986113662222643 0.956568261171879 1.17716747901822 1.21077294855272 1.17061232572405 1.17182947148772 1.15073866689744 1.14959897051327 1.22478722925065 1.19550581524593 1.16933732539035 1.13672882532717 1.16733090178177 1.18359157034947 1.15820144617759 1.16326880732824 1.10820242457198 0.916727882671366 0.876622768766575 0.898439046893958 0.973805562356952 0.935856006513222 0.967546968545681 0.900835703686347 0.845157698095525 1.03875616281305 1.01484316072392 0.953716931231155 0.898087418373954 0.992997922372059 0.881039614510292 0.787509947474928 0.887723784611582 0.900454748887728 0.975894300411787 0.915121483556657 1.03010483083281 0.983351445238497 0.8965603281075 0.91090653947102 0.983670239252606 1.021758922433 0.859650235108115 0.940079669488988 0.955464442620454 0.971057089423549 0.926652021889822 1.05707285290205 0.992296232248424 0.941559856181461 1.0843138975375 1.09555575869786 1.11701912050594 0.994635683926244 0.997423670482593 0.994093829858609 0.986613888913139 0.881865400598922 0.838155935295039 0.763622207110582 0.791239200005352 1.06036581234661 1.03134094557665 1.00969017067864 1.04911659870843 0.835954539708428 0.908519873939891 0.815844967579979 0.81170031521439 0.786513871920742 0.748193795679336 0.826546200991601 0.770138619876608 0.825599796196399 1.00989337137541 1.10629405272054 1.14894631644476 1.08305746237999 1.08040589714521 0.969990932193445 0.968756783351439 1.02657389225617 1.03434210324046 1.07652690303099 1.09870904805601 1.12128765489172 1.14430656299218 1.07894120235403 1.12320330990241 1.00265541605027 1.12312182517003 1.14683743664217 1.12130570443703 1.11409833594736 1.05849183396486 1.09647015442649 1.10161245279048 1.12513973204845 1.16643208080403 1.21558831374631 1.20045836064664 1.05978009538094 1.12497862343071 1.10951988491623 1.12156728993913 1.16954625203914 1.06134008447581 1.09401024425104 1.09078963185235 1.06847140857999 1.04684397308135 1.16983992062645 1.21382911530962 1.22711455670461 1.24446539671155 1.19496711994114 1.20567565105245 1.16261015551571 1.09905960100095 1.01055441380697 0.973019241668606 1.0009590652719 0.934019187528334 1.14739644650087 1.12850065198596 1.04598636913858 1.08814597609099 0.987566263826688
"Buchholz_Giftmischerin_1803_1" 1.05739897069971 1.04138847982088 1.07431981218081 1.05322255551979 1.01387886729528 1.01942131219511 1.00663619464426 1.01623675746482 1.00415929486913 0 0.630470650586725 0.645261604904165 0.688814613272419 1.00106044520273 0.952462342121969 0.942732137267474 0.965882441972603 0.976415092364807 0.947474825783108 0.940204583119307 0.92634626654392 0.942652036805054 0.912607500739596 0.878704418844467 0.883918077084332 0.890383850588422 0.871456738003045 0.899094047568062 1.05007070206465 1.06650064053771 1.13647157661375 1.04816479964872 1.09824673382504 1.04170331274563 1.12968561357985 1.0529499333971 1.00626182878764 1.09094329896596 1.01566364393603 0.853553581326326 0.988969171699986 1.02371165361022 1.01124043568824 1.06166862268093 1.0481392142311 1.07544197672298 1.07750758451817 1.11376560479406 1.09119193909758 1.04135280833913 1.1025064463298 1.03157687800872 1.04980415193478 1.08596793416866 1.08264685183196 1.08455420261851 1.01935010481419 1.04507778838953 1.12712276415983 1.07732247114047 1.06872933115031 1.12138262593033 1.08068387147304 1.11553206091586 1.06539125347054 1.07703563452565 1.10421188850358 1.08203940424841 1.03112303759508 1.05512401258969 1.02030034538231 1.0120517770259 0.709368070100672 0.735139821362155 0.777718218009592 0.751521130207194 0.966817572651086 0.945430407971113 0.970868093638709 0.914332036494806 0.944517194972063 0.911251902500612 0.92301393470405 1.02151267526822 0.964991601874105 1.05958725921638 1.1066643319974 1.10025886878646 1.02753422321586 1.05859180204205 1.04584262788286 0.979496334176508 0.969140077609735 0.996942926832022 1.03292560129233 1.08292996106841 1.05816335385625 1.05779507733775 0.99011598989141 1.02896703522191 1.01673697575511 1.05855308789444 0.979001226161647 0.989424372385826 1.04440128366689 1.02827290727088 1.03839267517549 1.05398629534348 1.06940567673399 1.0642430271656 1.10695333143901 1.04952800329058 1.00807495881723 1.05640710521885 1.00937142783645 0.998860849799818 1.03847589292072 1.03854076323451 1.07116831642434 1.03779157365163 1.03534537192312 1.03250478672892 1.03394133971952 1.07837357393738 1.10382100930549 1.05891283914616 1.10930211642867 1.05346637975256 0.979495689913335 1.01020600187041 0.917428038144391 1.03646800794866 1.00239060963573 0.98778919029181 1.03890168564563 1.0513505651681 0.956724296952504 0.973761429979115 0.961682507373882
