Source,Target,Weight,Type
Alexis,Frey,1,undirected
Alexis,Gotthelf_Kurt,2,undirected
Alexis,Heyse,2,undirected
Alexis,Kruse,1,undirected
Alexis,Kuernberger,1,undirected
Alexis,Meiﬂner,5,undirected
Alexis,Muegge,2,undirected
Alexis,Rumohr,3,undirected
Alexis,Tieck_Gemaelde,2,undirected
Alexis,Waldmueller,1,undirected
Alexis,Ziegler,2,undirected
Andolt,Immermann,5,undirected
Andolt,Mueller,2,undirected
Andolt,Schuecking,1,undirected
Andolt,v.W.,2,undirected
Arnim,Auerbach,2,undirected
Arnim,Immermann,3,undirected
Arnim,Schuecking,1,undirected
Auerbach,Arnim,2,undirected
Auerbach,Heyse,6,undirected
Auerbach,Meiﬂner,1,undirected
Auerbach,Meyr,1,undirected
Auerbach,Reich,1,undirected
Auerbach,Wichert,4,undirected
Auerbach,Wildermuth,2,undirected
Berthold,Brentano,1,undirected
Berthold,Droste,4,undirected
Berthold,Eichendorff,1,undirected
Berthold,Grimm,3,undirected
Berthold,Heyse,3,undirected
Berthold,Meiﬂner,1,undirected
Berthold,Reich,3,undirected
Berthold,Wichert,1,undirected
Berthold,Widmann,1,undirected
Berthold,Wilbrandt,2,undirected
Brentano,Berthold,1,undirected
Brentano,Immermann,2,undirected
Brentano,Meiﬂner,3,undirected
Chamisso,Heyse,2,undirected
Chamisso,Immermann,3,undirected
Chamisso,Roquette,1,undirected
Dincklage,Heyse,3,undirected
Dincklage,Horner,2,undirected
Dincklage,Muegge,1,undirected
Droste,Berthold,4,undirected
Droste,Hacklaender,1,undirected
Droste,Heyse,3,undirected
Droste,Meiﬂner,1,undirected
Eichendorff,Berthold,1,undirected
Eichendorff,Moerike,3,undirected
Eichendorff,Widmann,2,undirected
Ense,Goethe,3,undirected
Ense,Kaehler,3,undirected
Ense,Kinkel_Orthodoxie,2,undirected
Ense,Lewald,3,undirected
Ense,Roquette,1,undirected
Frey,Alexis,1,undirected
Frey,Meiﬂner,3,undirected
Frey,Mueller,2,undirected
Gall,Schefer,2,undirected
Gall,Schuecking,3,undirected
Gall,Wild,1,undirected
Gerstaecker,Heyse,3,undirected
Gerstaecker,Pichler,1,undirected
Gerstaecker,Widmann,2,undirected
Gluemer,Heyse,2,undirected
Gluemer,Horner,1,undirected
Gluemer,Schmid,3,undirected
Goethe,Ense,3,undirected
Goethe,Moerike,1,undirected
Goethe,Roquette,2,undirected
Goldammer_Hochzeitsnacht,Goldammer_Wiedersehen,2,undirected
Goldammer_Hochzeitsnacht,Heyse,3,undirected
Goldammer_Hochzeitsnacht,Roquette,1,undirected
Goldammer_Wiedersehen,Goldammer_Hochzeitsnacht,2,undirected
Goldammer_Wiedersehen,Kuernberger,2,undirected
Goldammer_Wiedersehen,Moerike,1,undirected
Goldammer_Wiedersehen,Pichler,3,undirected
Gotthelf_Kurt,Alexis,2,undirected
Gotthelf_Kurt,Gotthelf_Notar,3,undirected
Gotthelf_Kurt,Keller,3,undirected
Gotthelf_Kurt,Riehl,2,undirected
Gotthelf_Kurt,Stifter,1,undirected
Gotthelf_Kurt,Waldmueller,1,undirected
Gotthelf_Notar,Gotthelf_Kurt,3,undirected
Gotthelf_Notar,Immermann,1,undirected
Gotthelf_Notar,Zschokke,2,undirected
Grillparzer,Heyse,2,undirected
Grillparzer,Immermann,1,undirected
Grillparzer,Roquette,3,undirected
Grimm,Berthold,3,undirected
Grimm,Heyse,1,undirected
Grimm,Wilbrandt,1,undirected
Grimm,Wild,2,undirected
Grosse,Immermann,3,undirected
Grosse,Tieck_Lebens,2,undirected
Grosse,Zschokke,2,undirected
Hacklaender,Droste,1,undirected
Hacklaender,Moerike,3,undirected
Hacklaender,Pichler,2,undirected
Halm,Hoffmann,2,undirected
Halm,Kleist,3,undirected
Halm,Kugler,3,undirected
Halm,Kurz,3,undirected
Halm,Mueller,2,undirected
Hartmann,Moerike,3,undirected
Hartmann,Roquette,2,undirected
Hartmann,Stifter,1,undirected
Hauff,Moerike,2,undirected
Hauff,Muegge,1,undirected
Hauff,Sternberg,4,undirected
Hauff,Wolf,1,undirected
Heyden,Kurz,2,undirected
Heyden,Mueller,1,undirected
Heyden,Schuecking,3,undirected
Heyse,Alexis,2,undirected
Heyse,Auerbach,6,undirected
Heyse,Berthold,3,undirected
Heyse,Chamisso,2,undirected
Heyse,Dincklage,3,undirected
Heyse,Droste,3,undirected
Heyse,Gerstaecker,3,undirected
Heyse,Gluemer,2,undirected
Heyse,Goldammer_Hochzeitsnacht,3,undirected
Heyse,Grillparzer,2,undirected
Heyse,Grimm,1,undirected
Heyse,Hoefer,3,undirected
Heyse,Holtei,3,undirected
Heyse,Horner,3,undirected
Heyse,Keller,3,undirected
Heyse,Kinkel_Margret,3,undirected
Heyse,Kompert,2,undirected
Heyse,Ludwig,3,undirected
Heyse,Meiﬂner,1,undirected
Heyse,Meyr,2,undirected
Heyse,Muegge,2,undirected
Heyse,Pichler,3,undirected
Heyse,Raabe,1,undirected
Heyse,Reich,2,undirected
Heyse,Roquette,4,undirected
Heyse,Schefer,5,undirected
Heyse,Schmid,3,undirected
Heyse,Spindler,2,undirected
Heyse,Storm,3,undirected
Heyse,Wichert,3,undirected
Heyse,Widmann,2,undirected
Heyse,Wilbrandt,3,undirected
Heyse,Wild,3,undirected
Heyse,Wildermuth,3,undirected
Heyse,Zschokke,1,undirected
Hoefer,Heyse,3,undirected
Hoefer,Meiﬂner,1,undirected
Hoefer,Zschokke,2,undirected
Hoffmann,Halm,2,undirected
Hoffmann,Immermann,1,undirected
Hoffmann,Meiﬂner,3,undirected
Holtei,Heyse,3,undirected
Holtei,Schuecking,1,undirected
Holtei,Zschokke,2,undirected
Horner,Dincklage,2,undirected
Horner,Gluemer,1,undirected
Horner,Heyse,3,undirected
Horner,Immermann,2,undirected
Horner,Lohmann,2,undirected
Horner,Schmid,1,undirected
Horner,Spindler,1,undirected
Horner,Wildermuth,1,undirected
Immermann,Andolt,5,undirected
Immermann,Arnim,3,undirected
Immermann,Brentano,2,undirected
Immermann,Chamisso,3,undirected
Immermann,Gotthelf_Notar,1,undirected
Immermann,Grillparzer,1,undirected
Immermann,Grosse,3,undirected
Immermann,Hoffmann,1,undirected
Immermann,Horner,2,undirected
Immermann,Kaehler,1,undirected
Immermann,Lewald,2,undirected
Immermann,Roquette,4,undirected
Immermann,Sacher-Masoch,2,undirected
Immermann,Schreyvogel,2,undirected
Immermann,Schuecking,2,undirected
