Source,Target,Weight,Type
Ahlefeld_Erna_1820,Ahlefeld_Marie-Mueller_1799,3,undirected
Ahlefeld_Erna_1820,Mereau_Bluethenalter_1794,2,undirected
Ahlefeld_Erna_1820,Pichler_Agathocles_1808,1,undirected
Ahlefeld_Erna_1820,Schopenhauer_Die-Tante_1823,2,undirected
Ahlefeld_Erna_1820,Schopenhauer_Gabriele_1819,3,undirected
Ahlefeld_Marie-Mueller_1799,Ahlefeld_Erna_1820,3,undirected
Ahlefeld_Marie-Mueller_1799,Pichler_Agathocles_1808,2,undirected
Ahlefeld_Marie-Mueller_1799,Schopenhauer_Gabriele_1819,1,undirected
Anonym_Schwester-Monika_1815,Sade_Geschichte-der-Justine_1797,3,undirected
Anonym_Schwester-Monika_1815,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,2,undirected
Anonym_Schwester-Monika_1815,Wezel_Hermann-und-Ulrike_1780,1,undirected
Arnim_Graefin-Dolores_1810,Arnim_Isabella-von-Aegypten_1812,5,undirected
Arnim_Graefin-Dolores_1810,Arnim_Kronewaechter_1817,6,undirected
Arnim_Graefin-Dolores_1810,Brentano_Godwi_1801,2,undirected
Arnim_Graefin-Dolores_1810,Eichendorff_Ahnung-und-Gegenwart_1815,2,undirected
Arnim_Graefin-Dolores_1810,Hoffmann_Elixiere_1816,2,undirected
Arnim_Graefin-Dolores_1810,Schlegel_Florentin_1801,1,undirected
Arnim_Graefin-Dolores_1810,Tieck_Franz-Sternbald_1798,1,undirected
Arnim_Graefin-Dolores_1810,Unger_Albert-und-Albertine_1804,1,undirected
Arnim_Graefin-Dolores_1810,Unger_Julchen-Gruenthal_1798,1,undirected
Arnim_Isabella-von-Aegypten_1812,Arnim_Graefin-Dolores_1810,5,undirected
Arnim_Isabella-von-Aegypten_1812,Arnim_Kronewaechter_1817,4,undirected
Arnim_Isabella-von-Aegypten_1812,Wezel_Hermann-und-Ulrike_1780,1,undirected
Arnim_Kronewaechter_1817,Arnim_Graefin-Dolores_1810,6,undirected
Arnim_Kronewaechter_1817,Arnim_Isabella-von-Aegypten_1812,4,undirected
Arnim_Kronewaechter_1817,Hauff_Lichtenstein_1826,1,undirected
Arnim_Kronewaechter_1817,Hoffmann_Elixiere_1816,1,undirected
Arnim_Kronewaechter_1817,Spindler_Der-Jude_1827,3,undirected
Arnim_Kronewaechter_1817,Zschokke_Goldmacherdorf_1817,2,undirected
Brentano_Godwi_1801,Arnim_Graefin-Dolores_1810,2,undirected
Brentano_Godwi_1801,Eichendorff_Ahnung-und-Gegenwart_1815,1,undirected
Brentano_Godwi_1801,Goethe_Werther_1774,3,undirected
Brentano_Godwi_1801,Hoelderlin_Hyperion_1797,2,undirected
