Source,Target,Weight,Type
Ahlefeld_Marie-Mueller_1799,Huber_Seldorf_1795,1,undirected
Ahlefeld_Marie-Mueller_1799,Mereau_Bluethenalter_1794,1,undirected
Ahlefeld_Marie-Mueller_1799,Unger_Julchen-Gruenthal_1798,3,undirected
Ahlefeld_Marie-Mueller_1799,Wolzogen_Agnes_1798,2,undirected
Argens_Therese_1748,Diderot_Jakob_1796,2,undirected
Argens_Therese_1748,Sade_Geschichte-der-Justine_1797,5,undirected
Argens_Therese_1748,Sterne_Tristram-Shandy_1759,1,undirected
Campe_Robinson_1779,Defoe_Robinson-Crusoe_1719,6,undirected
Campe_Robinson_1779,Sterne_Tristram-Shandy_1759,2,undirected
Campe_Robinson_1779,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,1,undirected
Cleland_Fanny-Hill_1748,Prevost-dExiles_Manon-Lescaut_1731,1,undirected
Cleland_Fanny-Hill_1748,Restif-de-la-Bretonne_Anti-Justine_1793,4,undirected
Cleland_Fanny-Hill_1748,Sade_Geschichte-der-Justine_1797,2,undirected
Crebillon_Schaumloeffel_1735,Crebillon_Sopha_1742,4,undirected
Crebillon_Schaumloeffel_1735,Diderot_Kleinode_1748,2,undirected
Crebillon_Schaumloeffel_1735,Lesage_Teufel_1707,3,undirected
Crebillon_Sopha_1742,Crebillon_Schaumloeffel_1735,4,undirected
Crebillon_Sopha_1742,Diderot_Kleinode_1748,1,undirected
Crebillon_Sopha_1742,Sade_Geschichte-der-Justine_1797,2,undirected
Defoe_Moll-Flanders_1722,Diderot_Jakob_1796,2,undirected
Defoe_Moll-Flanders_1722,Prevost-dExiles_Manon-Lescaut_1731,3,undirected
Defoe_Moll-Flanders_1722,Sterne_Tristram-Shandy_1759,3,undirected
Defoe_Robinson-Crusoe_1719,Campe_Robinson_1779,6,undirected
Defoe_Robinson-Crusoe_1719,Swift_Gullivers-Reisen_1726,2,undirected
Defoe_Robinson-Crusoe_1719,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,1,undirected
Defoe_Robinson-Crusoe_1719,Wezel_Belphegor_1776,2,undirected
Diderot_Die-Nonne_1796,Diderot_Jakob_1796,3,undirected
Diderot_Die-Nonne_1796,Prevost-dExiles_Manon-Lescaut_1731,1,undirected
Diderot_Die-Nonne_1796,Sade_Geschichte-der-Justine_1797,2,undirected
Diderot_Jakob_1796,Argens_Therese_1748,2,undirected
Diderot_Jakob_1796,Defoe_Moll-Flanders_1722,2,undirected
Diderot_Jakob_1796,Diderot_Die-Nonne_1796,3,undirected
Diderot_Jakob_1796,Diderot_Kleinode_1748,1,undirected
Diderot_Jakob_1796,Lesage_Gil-Blas_1715,1,undirected
Diderot_Jakob_1796,Lesage_Teufel_1707,1,undirected
Diderot_Jakob_1796,Restif-de-la-Bretonne_Anti-Justine_1793,2,undirected
Diderot_Jakob_1796,Sade_Geschichte-der-Justine_1797,1,undirected
Diderot_Jakob_1796,Sterne_Tristram-Shandy_1759,5,undirected
Diderot_Jakob_1796,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,1,undirected
Diderot_Jakob_1796,Vulpius_Rinaldo-Rinaldini_1799,1,undirected
Diderot_Jakob_1796,Wezel_Hermann-und-Ulrike_1780,2,undirected
Diderot_Kleinode_1748,Crebillon_Schaumloeffel_1735,2,undirected
Diderot_Kleinode_1748,Crebillon_Sopha_1742,1,undirected
Diderot_Kleinode_1748,Diderot_Jakob_1796,1,undirected
Diderot_Kleinode_1748,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,3,undirected
Diderot_Kleinode_1748,Walpole_Otranto_1764,3,undirected
Diderot_Kleinode_1748,Wezel_Hermann-und-Ulrike_1780,2,undirected
Ehrmann_Amalie_1787,Ehrmann_Nina_1788,6,undirected
Ehrmann_Amalie_1787,Liebeskind_Maria_1784,1,undirected
Ehrmann_Amalie_1787,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,2,undirected
Ehrmann_Nina_1788,Ehrmann_Amalie_1787,6,undirected
Ehrmann_Nina_1788,Liebeskind_Maria_1784,2,undirected
Ehrmann_Nina_1788,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,1,undirected
Fielding_Tom-Jones_1749,Nicolai_Sebaldus-Nothanker_1773,4,undirected
Fielding_Tom-Jones_1749,Sterne_Tristram-Shandy_1759,3,undirected
Fielding_Tom-Jones_1749,Wezel_Hermann-und-Ulrike_1780,3,undirected
Fielding_Tom-Jones_1749,Wieland_Don-Sylvio_1764,1,undirected
Forster_Ansichten_1791,Heinse_Ardinghello_1787,2,undirected
Forster_Ansichten_1791,Knigge_Benjamin-Noldmann_1790,1,undirected
Forster_Ansichten_1791,Knigge_Josephs-von-Wurmbrands_1792,2,undirected
Forster_Ansichten_1791,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,3,undirected
Forster_Ansichten_1791,Wieland_Peregrinus_1788,2,undirected
Gellert_Graefin-von-G_1747,Naubert_Amtmannin_1787,2,undirected
Gellert_Graefin-von-G_1747,Unger_Julchen-Gruenthal_1798,1,undirected
Gellert_Graefin-von-G_1747,Wezel_Hermann-und-Ulrike_1780,3,undirected
Goethe_Lehrjahre_1795,La-Roche_Sternheim_1771,1,undirected
Goethe_Lehrjahre_1795,Moritz_Anton-Reiser_1785,3,undirected
Goethe_Lehrjahre_1795,Nicolai_Sebaldus-Nothanker_1773,2,undirected
Goethe_Lehrjahre_1795,Schiller_Geisterseher_1787,2,undirected
Goethe_Lehrjahre_1795,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,3,undirected
Goethe_Lehrjahre_1795,Tieck_Franz-Sternbald_1798,2,undirected
Goethe_Lehrjahre_1795,Unger_Julchen-Gruenthal_1798,3,undirected
Goethe_Lehrjahre_1795,Wezel_Belphegor_1776,1,undirected
Goethe_Lehrjahre_1795,Wezel_Hermann-und-Ulrike_1780,1,undirected
Goethe_Lehrjahre_1795,Wolzogen_Agnes_1798,3,undirected
Goethe_Werther_1774,Hoelderlin_Fragment-von-Hyperion_1794,1,undirected
Goethe_Werther_1774,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,1,undirected
Goethe_Werther_1774,Tieck_William-Lovell_1795,2,undirected
Goethe_Werther_1774,Unger_Julchen-Gruenthal_1798,3,undirected
Haller_Usong_1771,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,1,undirected
Haller_Usong_1771,Wezel_Belphegor_1776,3,undirected
Haller_Usong_1771,Wieland_Der-goldene-Spiegel_1772,2,undirected
Heinse_Ardinghello_1787,Forster_Ansichten_1791,2,undirected
Heinse_Ardinghello_1787,Heinse_Hildegard_1795,6,undirected
Heinse_Ardinghello_1787,Paul_Loge_1793,2,undirected
Heinse_Hildegard_1795,Heinse_Ardinghello_1787,6,undirected
Heinse_Hildegard_1795,Paul_Siebenkaes_1796,1,undirected
Heinse_Hildegard_1795,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,2,undirected
Hippel_Kreuz-und-Querzuege_1793,Hippel_Lebenslaeufe_1779,6,undirected
Hippel_Kreuz-und-Querzuege_1793,Sterne_Tristram-Shandy_1759,1,undirected
Hippel_Kreuz-und-Querzuege_1793,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,2,undirected
Hippel_Lebenslaeufe_1779,Hippel_Kreuz-und-Querzuege_1793,6,undirected
Hippel_Lebenslaeufe_1779,Lavater_Unveraenderte-Fragmente_1773,2,undirected
Hippel_Lebenslaeufe_1779,Mueller_Siegfried_1779,2,undirected
Hippel_Lebenslaeufe_1779,Pestalozzi_Lienhard-und-Gertrud_1781,2,undirected
Hippel_Lebenslaeufe_1779,Sterne_Tristram-Shandy_1759,1,undirected
Hippel_Lebenslaeufe_1779,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,2,undirected
Hoelderlin_Fragment-von-Hyperion_1794,Goethe_Werther_1774,1,undirected
Hoelderlin_Fragment-von-Hyperion_1794,Hoelderlin_Hyperion_1797,2,undirected
Hoelderlin_Fragment-von-Hyperion_1794,Hoelderlin_Hyperions-Jugend_1797,5,undirected
Hoelderlin_Hyperion_1797,Hoelderlin_Fragment-von-Hyperion_1794,2,undirected
Hoelderlin_Hyperion_1797,Hoelderlin_Hyperions-Jugend_1797,6,undirected
Hoelderlin_Hyperion_1797,Paul_Hesperus_1795,2,undirected
Hoelderlin_Hyperion_1797,Tieck_William-Lovell_1795,1,undirected
Hoelderlin_Hyperions-Jugend_1797,Hoelderlin_Fragment-von-Hyperion_1794,5,undirected
Hoelderlin_Hyperions-Jugend_1797,Hoelderlin_Hyperion_1797,6,undirected
Hoelderlin_Hyperions-Jugend_1797,Tieck_William-Lovell_1795,1,undirected
Huber_Luise_1796,Huber_Seldorf_1795,1,undirected
Huber_Luise_1796,Naubert_Amtmannin_1787,3,undirected
Huber_Luise_1796,Unger_Julchen-Gruenthal_1798,2,undirected
Huber_Seldorf_1795,Ahlefeld_Marie-Mueller_1799,1,undirected
Huber_Seldorf_1795,Huber_Luise_1796,1,undirected
Huber_Seldorf_1795,Mereau_Bluethenalter_1794,3,undirected
Huber_Seldorf_1795,Naubert_Hermann-von-Unna_1788,1,undirected
Huber_Seldorf_1795,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,2,undirected
Huber_Seldorf_1795,Unger_Julchen-Gruenthal_1798,3,undirected
Huber_Seldorf_1795,Wolzogen_Agnes_1798,2,undirected
Hunold_Adalie_1702,Loen_Der-redliche-Mann_1740,4,undirected
Hunold_Adalie_1702,Schnabel_Kavalier_1738,2,undirected
Hunold_Adalie_1702,Schnabel_Wunderliche-Fata_1731,5,undirected
Jacobi_Eduard-Allwill_1792,Jacobi_Woldemar_1779,5,undirected
Jacobi_Eduard-Allwill_1792,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,2,undirected
Jacobi_Eduard-Allwill_1792,Tieck_William-Lovell_1795,1,undirected
Jacobi_Woldemar_1779,Jacobi_Eduard-Allwill_1792,5,undirected
Jacobi_Woldemar_1779,Unger_Julchen-Gruenthal_1798,3,undirected
Jacobi_Woldemar_1779,Wezel_Hermann-und-Ulrike_1780,1,undirected
Klinger_Faust_1791,Klinger_Geschichte-eines-Teutschen_1798,4,undirected
Klinger_Faust_1791,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,3,undirected
Klinger_Faust_1791,Wezel_Hermann-und-Ulrike_1780,1,undirected
Klinger_Geschichte-eines-Teutschen_1798,Klinger_Faust_1791,4,undirected
Klinger_Geschichte-eines-Teutschen_1798,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,3,undirected
Klinger_Geschichte-eines-Teutschen_1798,Unger_Julchen-Gruenthal_1798,1,undirected
Knigge_Benjamin-Noldmann_1790,Forster_Ansichten_1791,1,undirected
Knigge_Benjamin-Noldmann_1790,Knigge_Josephs-von-Wurmbrands_1792,3,undirected
Knigge_Benjamin-Noldmann_1790,Nicolai_Sebaldus-Nothanker_1773,2,undirected
