"Ahlefeld_Marie-Mueller_1799" "Argens_Therese_1748" "Campe_Robinson_1779" "Cleland_Fanny-Hill_1748" "Crebillon_Schaumloeffel_1735" "Crebillon_Sopha_1742" "Defoe_Moll-Flanders_1722" "Defoe_Robinson-Crusoe_1719" "Diderot_Die-Nonne_1796" "Diderot_Jakob_1796" "Diderot_Kleinode_1748" "Ehrmann_Amalie_1787" "Ehrmann_Nina_1788" "Fielding_Tom-Jones_1749" "Forster_Ansichten_1791" "Gellert_Graefin-von-G_1747" "Goethe_Lehrjahre_1795" "Goethe_Werther_1774" "Haller_Usong_1771" "Heinse_Ardinghello_1787" "Heinse_Hildegard_1795" "Hippel_Kreuz-und-Querzuege_1793" "Hippel_Lebenslaeufe_1779" "Hoelderlin_Fragment-von-Hyperion_1794" "Hoelderlin_Hyperion_1797" "Hoelderlin_Hyperions-Jugend_1797" "Huber_Luise_1796" "Huber_Seldorf_1795" "Hunold_Adalie_1702" "Jacobi_Eduard-Allwill_1792" "Jacobi_Woldemar_1779" "Klinger_Faust_1791" "Klinger_Geschichte-eines-Teutschen_1798" "Knigge_Benjamin-Noldmann_1790" "Knigge_Braunschweig_1792" "Knigge_Josephs-von-Wurmbrands_1792" "La-Roche_Oneida_1798" "La-Roche_Rosaliens-Briefe_1779" "La-Roche_Sternheim_1771" "Lavater_Unveraenderte-Fragmente_1773" "Lesage_Gil-Blas_1715" "Lesage_Teufel_1707" "Liebeskind_Maria_1784" "Loen_Der-redliche-Mann_1740" "Mereau_Bluethenalter_1794" "Miller_Siegwart_1776" "Moritz_Anton-Reiser_1785" "Moritz_Hartknopf_1786" "Moritz_Hartknopfs-Predigerjahre_1790" "Mueller_Siegfried_1779" "Naubert_Alf-von-Duelmen_1790" "Naubert_Amtmannin_1787" "Naubert_Hermann-von-Unna_1788" "Nicolai_Sebaldus-Nothanker_1773" "Paul_Hesperus_1795" "Paul_Loge_1793" "Paul_Quintus-Fixlein_1796" "Paul_Siebenkaes_1796" "Pestalozzi_Lienhard-und-Gertrud_1781" "Pfeffel_Biographie-eines-Pudels_1789" "Prevost-dExiles_Manon-Lescaut_1731" "Restif-de-la-Bretonne_Anti-Justine_1793" "Sade_Geschichte-der-Justine_1797" "Schiller_Geisterseher_1787" "Schilling_Denkwuerdigkeiten_1787" "Schlegel_Lucinde_1799" "Schnabel_Kavalier_1738" "Schnabel_Wunderliche-Fata_1731" "Sterne_Tristram-Shandy_1759" "Swift_Gullivers-Reisen_1726" "Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "Tieck_Franz-Sternbald_1798" "Tieck_William-Lovell_1795" "Unger_Julchen-Gruenthal_1798" "Vulpius_Rinaldo-Rinaldini_1799" "Walpole_Otranto_1764" "Wezel_Belphegor_1776" "Wezel_Hermann-und-Ulrike_1780" "Wezel_Kakerlak_1784" "Wieland_Abderiten_1774" "Wieland_Agathon_1794" "Wieland_Der-goldene-Spiegel_1772" "Wieland_Don-Sylvio_1764" "Wieland_Peregrinus_1788" "Wobeser_Elisa_1795" "Wolzogen_Agnes_1798"
"seinem" 0.135707433491659 0.0731464684885014 0.181385787415857 0.0650013928869904 0.094430192480209 0.0385609620245933 0.0788737780539688 0.0449898599777127 0.0138872815646337 0.171140139944975 0.0730319273539017 0.0816083648573979 0.0250609436584421 0.145447263509864 0.0805907797569119 0.152879581151832 0.135626912106514 0.0960226411280133 0.149063032367973 0.101957785555327 0.101778078217213 0.140765465539121 0.0968545919172161 0.0711642470822659 0.0833784966857048 0.0916132256183893 0.129734679860599 0.235963934319764 0.0815323616462836 0.141100584559565 0.134999480771228 0.275011264585696 0.248868486544339 0.122140676059356 0.157467915912133 0.10989010989011 0.0727580205885534 0.0876507775032699 0.0662151993980436 0.0633206071328802 0.101669009375384 0.169692855930765 0.0816316118416857 0.117112321362762 0.0943692985215477 0.190055605127972 0.294886817783227 0.272381333867414 0.225332878115398 0.144300144300144 0.106583259455529 0.0910125142207053 0.133977847980817 0.156562510246238 0.161679526925704 0.166856124816359 0.11992726991373 0.135743293098496 0.155107030423324 0.181300181300181 0.0806757001498263 0.0448324681453516 0.0723251099113875 0.152443030987989 0.0347508796316407 0.0534812982585152 0.135912027851064 0.0829698612501489 0.121672122599148 0.0826637902355918 0.11911134429205 0.144875805740441 0.0679667153655593 0.0540501952945736 0.07989192801011 0.141273636166051 0.198668384879725 0.148202034585634 0.139178844815588 0.143265142846511 0.127628464864999 0.142424490464107 0.11416167544318 0.0897741618740356 0.0830008835577927 0.138488602762286
"sei" 0.0538150167294509 0.0994791971443619 0.176347293320972 0.218218961834896 0.0960040290215458 0.109970150959025 0.474836077981469 0.0941326301072143 0.0138872815646337 0.087736400857867 0.137796089346984 0.0518553151698049 0.223270225320666 0.133590149636777 0.083057844443348 0.0167539267015707 0.167721830238589 0.118764845605701 0.0496876774559909 0.106859602168564 0.0805110170971981 0.124236187388694 0.14039183518945 0.142328494164532 0.0687872597657064 0.108270175730824 0.0610516140520465 0.0411313280006927 0.137376444965656 0.104817577101391 0.190383883138911 0.127406348565125 0.15344740880195 0.112497991107302 0.0603627010996509 0.100334448160535 0.0786573195551929 0.00363319284987647 0.104339102081766 0.139677809851942 0.170585586200308 0.116522427739126 0.0943865511919491 0.0507759714999386 0.0566215791129286 0.189551478854423 0.129594996236313 0.0881233727218105 0.0682826903379993 0.188863424157542 0.130489784940881 0.120766605408244 0.18574201651886 0.161480704285386 0.0966035173381083 0.078442321626814 0.0980050807897146 0.110397035051059 0.168908927198281 0.0259000259000259 0.270016629072888 0.106182161396885 0.0575183944964578 0.0630798748915815 0.0629859693323487 0.157101313634388 0.0537833693100466 0.0800439719365416 0.126307251079116 0.325614685928002 0.0790530648128782 0.133327734268377 0.0819411802070762 0.164190215894837 0.106038377177055 0.312432079982612 0.0644329896907216 0.0762292449435246 0.0130480167014614 0.198152437833161 0.160464914563275 0.108864696734059 0.163202958556096 0.142142422967223 0.0535489571340598 0.103554540804232
"viel" 0.112309600131028 0.0643688922698812 0.179370389777903 0.0510725229826353 0.0487889327814413 0.157100215655751 0.117912314666539 0.0955169334911439 0.0393472977664622 0.0509087758064167 0.122638519518816 0.122412547286097 0.100243774633768 0.119625104408475 0.0863472640252627 0.127748691099476 0.113885193371882 0.151614696517916 0.053236797274276 0.0686254325853161 0.134438207794378 0.131167820161454 0.164053380446099 0.0711642470822659 0.0625338725142786 0.0832847505621721 0.0788583348172267 0.0541201684219641 0.208856871614452 0.108849022374521 0.0761535532555644 0.0528270225757835 0.0670526492243814 0.0985696683987786 0.149594520116526 0.0573339703774486 0.125851711288309 0.191650922830984 0.0953097567093052 0.266319024117702 0.0723282885489308 0.0916341422026133 0.137753344982845 0.158879652757872 0.0251651462724127 0.202154635693148 0.113298619464082 0.0480672942118967 0.0546261522703995 0.17825311942959 0.117540416969649 0.137393891660103 0.11951433030107 0.118856355946097 0.0767977752897095 0.129629260315498 0.108321405083369 0.0850507770036217 0.195855487568434 0.0388500388500388 0.0724434858488236 0.0542708824917414 0.079158978564432 0.0919914842168896 0.110768428825855 0.163786475916703 0.0872162745568323 0.165103754124981 0.14426837393899 0.0725828402068611 0.106703912594961 0.078736850945892 0.111795718732135 0.109120205594705 0.0689975741905495 0.0624864159965225 0.0934278350515464 0.070811938196269 0.0782881002087683 0.169313350636786 0.0916942368933001 0.133420643365802 0.151947582103951 0.13185580025249 0.123162601408338 0.0499058027972202
"hier" 0.0725332834179555 0.0321844461349406 0.148131726389617 0.0557154796174204 0.0755441539841672 0.0785501078278753 0.097197989117012 0.116281484250088 0.106469158662192 0.123480860466628 0.0771658100343112 0.0841586262591916 0.0956872394231426 0.131745709700964 0.316606634759297 0.108900523560209 0.0854138950289113 0.164249254561075 0.0638841567291312 0.162740311559464 0.0850682444800583 0.130634617640472 0.130611729816702 0.0569313976658127 0.0750406470171343 0.0249854251686516 0.0330696242781919 0.129888404212714 0.0938180599765455 0.112880467647652 0.121153380179307 0.110315253025901 0.192131629508324 0.0932126212031928 0.16534131170774 0.0430004777830865 0.186811133943583 0.155318994332219 0.103335841484826 0.0446968991526213 0.061410811032111 0.0916341422026133 0.146681802528029 0.190000409483641 0.314564328405159 0.149725503244053 0.135027121827057 0.228319647506509 0.157050187777398 0.169764875647229 0.246037991453417 0.112890522446836 0.18117458988315 0.0942653857503525 0.096199318520794 0.116998717002706 0.113479567230196 0.0912465289707729 0.025632094010634 0.0906500906500907 0.105372343052834 0.0802265219443134 0.104785986013349 0.199752937156675 0.121628078710742 0.100277434234716 0.0486957532942314 0.0338567192003126 0.140792027579014 0.0594776051695112 0.183275491068422 0.14592563041972 0.201359334307311 0.122377800666959 0.372586900628967 0.0869376222560313 0.105240549828179 0.0920942147033444 0.0826374391092554 0.0502358293098155 0.0520426749934947 0.0548416141442253 0.0683362141737348 0.0589142937298359 0.160646871402179 0.0661251887063168
"herr" 0.028077400032757 0.114108490842062 0.0292232657503325 0.148574612313121 0.0456412596987677 0.0385609620245933 0.0844507118557646 0.0311468261384165 0.122670987154265 0.987846883733021 0.166733268109851 0.0527054023037361 0.0432870845009455 0.363354667355258 0.00904590385026562 0.10261780104712 0.021741718734632 0.0303229393035832 0.0337166382737081 0.00686254325853161 0.0349387432685954 0.0949100487347104 0.364387796952393 0 0.00625338725142786 0 0.0305258070260233 0.0216480673687857 0.0502596749874351 0.0322515621850433 0.0034615251479802 0.0435046068271158 0.0825263375069309 0.110355172229067 0.409416581371546 0.0477783086478739 0.0176978968999184 0.14441941578259 0.0321043391020818 0.13595306825589 0.224490631439606 0.044120142541999 0.0701521664264486 0.153146881782073 0 0.116453169189819 0.0186244305968354 0.052072902062888 0.170706725844998 0.424412189118071 0.0418364195993665 0.157521659228144 0.0327332242225859 0.143447326141841 0.0161679526925704 0.0385563953758916 0.0502920809315641 0.0174607555437899 0.155764263603084 0.0777000777000777 0.116897443074238 0.047192071731949 0.138955329278571 0.160328015349436 0.14117544850354 0.0200554868469432 0.250746789350893 0.146503457774192 0.0301283351197891 0.103833785295926 0.147471188171109 0.016797194868457 0.0514514387346757 0.0938229805113352 0.108943538195604 0.266246468159096 0.038659793814433 0.0777770468713119 0.139178844815588 0.0930293135366954 0.0117715574390047 0.0384709830563968 0.201792820677734 0.00561088511712723 0.0589038528474658 0.0711157689860389
"waren" 0.086571983434334 0.175551524372403 0.204562860252328 0.139288699043551 0.127480759848282 0.141390194090176 0.115522200180055 0.379991278888681 0.113412799444509 0.122397695023938 0.129528323986165 0.0331533982233179 0.0432870845009455 0.100390230792134 0.0690778112202102 0.152879581151832 0.160992250630251 0.0960226411280133 0.230692788188529 0.0823505191023793 0.0759537897143378 0.119970567220842 0.0981165409975708 0.156561343580985 0.08754742151999 0.0832847505621721 0.104296507338913 0.113652353686125 0.0480259116546602 0.0846603507357388 0.141922531067188 0.0730255900312301 0.050289486918286 0.148925912037285 0.136472193790515 0.0525561395126612 0.119952412321669 0.119441214939689 0.108352144469526 0.0446968991526213 0.120774595029818 0.0757961423157418 0.0803561179066593 0.194095245894926 0.100660585089651 0.111411906454329 0.16296376772231 0.120168235529742 0.143393649709799 0.0870044987692047 0.10359494376986 0.186400630086637 0.172800974384349 0.0983638807829765 0.0800313658282236 0.108356766315006 0.0773724322024063 0.0816712759306301 0.0788679815711816 0.142450142450142 0.128422543095642 0.0755073147711185 0.101369051686827 0.152443030987989 0.143347378480518 0.123675502222816 0.0668658104935714 0.140860671240807 0.0799559662794403 0.185489480528645 0.0584921780005601 0.141726331702606 0.0673315124182176 0.100961685550241 0.11838531150589 0.0896544229515323 0.172895189003436 0.0762292449435246 0.156576200417537 0.156289246741648 0.140639133613372 0.175165752639764 0.109337942677976 0.127180062654884 0.112452809981526 0.143479183042008
"immer" 0.198881583565362 0.052665457311721 0.17030110040711 0.106788002600056 0.163679000299029 0.129964723860666 0.183242110630433 0.0595250455089737 0.0532345793310959 0.100734386170144 0.118504636838407 0.124112721553959 0.189096211240972 0.0674538033668934 0.0929261031890923 0.0335078534031414 0.164098210449484 0.154141608126548 0.0248438387279955 0.187249394625648 0.138995435177238 0.0581190747869856 0.0687762248793261 0.085397096498719 0.0792095718514195 0.133255600899475 0.14499758337361 0.112569950317685 0.0480259116546602 0.213666599475912 0.16961473225103 0.0978853653610106 0.167631623060953 0.111426581668184 0.0708605621604598 0.0812231247013856 0.124868494793869 0.170760063944194 0.104339102081766 0.232796349753236 0.0477639641360864 0.0509078567792296 0.169640693358503 0.0696122189918513 0.188738597043095 0.197113372957658 0.251429813057278 0.224314039655518 0.177534994878798 0.0976148034971564 0.101602733312747 0.120766605408244 0.103528337076086 0.0672153185350339 0.094582523251537 0.0791070870643294 0.0825305943492334 0.121098788448865 0.143276833187647 0.12950012950013 0.115251000214038 0.153374233128834 0.0985216064147247 0.110389781060268 0.0890491290560792 0.197212287328275 0.060324589901809 0.0614436755857526 0.112401865639213 0.042339990120669 0.129746285746697 0.245658974951183 0.233119481674395 0.193764851056018 0.0668187034266374 0.0733536187785264 0.0536941580756014 0.0859030069921952 0.0739387613082811 0.159080126147749 0.108422239569781 0.131783580257019 0.115769586364915 0.227240847243653 0.2235668960347 0.182156180209854
"dieses" 0.0514752333933878 0.0819240447071215 0.118908460639284 0.0371436530782802 0.0739703174428304 0.109970150959025 0.0382418317837424 0.051219225205396 0.0786945955329244 0.0790710773163493 0.0757878491408414 0.119012198750372 0.0706262957647005 0.0840537627892148 0.165293333991217 0.253403141361257 0.07091941587249 0.0429574973467428 0.0816297558205565 0.0343127162926581 0.0501295012114629 0.0917108336088213 0.10064043915828 0.0284656988329063 0.027098011422854 0.0166569501124344 0.170435755895296 0.12014677389676 0.252415256603563 0.0322515621850433 0.0311537263318218 0.164696011559796 0.345579038310273 0.0449991964429207 0.0472403747736399 0.0525561395126612 0.193693649404662 0.138969626507775 0.17757712565839 0.150852034640097 0.029340720826453 0.0803212851405622 0.12882488743766 0.23504361000778 0.0629128656810318 0.0569662689110368 0.0512171841412973 0.0480672942118967 0.0477978832365995 0.0976148034971564 0.162365152254684 0.192526472389954 0.15909869447722 0.0926259877373029 0.124897434550107 0.109686297190037 0.0799515132758198 0.0934995296861007 0.0742673493128627 0.0647500647500648 0.0954936858916311 0.0802265219443134 0.188500877013144 0.249691171445843 0.028235089700708 0.0401109736938864 0.239117952743315 0.240758892091112 0.0782177930994525 0.100809500287307 0.0971324652857786 0.0619396560774351 0.0355713650511338 0.0611889003334795 0.10458579666778 0.0760704194740274 0.0719501718213058 0.0290212861460119 0.0260960334029228 0.0865172615891267 0.208170699973979 0.103953507407711 0.135064517425735 0.10847711226446 0.310583951377547 0.116030991503537
"gegen" 0.0748730667540186 0.111182632102522 0.0856543996130436 0.0835732194261306 0.251813846613891 0.0914037618360731 0.0661265007927213 0.146044007004575 0.13192917486402 0.0790710773163493 0.151575698281683 0.0960598461342288 0.111635112660333 0.150717091897902 0.13815562244042 0.0921465968586387 0.090072834757761 0.106130287562541 0.12599375354912 0.106859602168564 0.0827896307886282 0.0810467831891909 0.0463766287030318 0.170794192997438 0.0396047859257098 0.0916132256183893 0.2187682836865 0.202409429898146 0.128441391634556 0.0846603507357388 0.197306933434871 0.114976460900235 0.1379737205194 0.153211549793754 0.0944807495472797 0.248447204968944 0.147482474165987 0.173030809475367 0.111361926260346 0.0893937983052426 0.0709636038593283 0.105209570677074 0.174742669098608 0.0835346627902215 0.0566215791129286 0.0771313198529968 0.14356331918394 0.120168235529742 0.0819392284055992 0.0488074017485782 0.138458626769332 0.149645576266737 0.105050812621322 0.0975441817764517 0.176634883166332 0.123646371377859 0.130243594207384 0.16897505364958 0.132103869131729 0.0906500906500907 0.0922008001712301 0.0566304860783388 0.0666302193671838 0.11301810918075 0.0260631597237305 0.0735367851054584 0.0915770882846739 0.101988141788596 0.113560647759205 0.102825690293053 0.107412908691938 0.0745375522287778 0.095915645048593 0.114219280622495 0.12129047252444 0.239078461204086 0.0429553264604811 0.0789378983171524 0.034794711203897 0.104192831161099 0.13754135533995 0.120324138495539 0.0884351006954215 0.14775330808435 0.140566012476907 0.174670309790271
"konnte" 0.124008516811343 0.0994791971443619 0 0.190361222026186 0.144792961802987 0.129964723860666 0.19997291203582 0.236715878651965 0.099525517879875 0.0433266177075887 0.0606302793126731 0.0399540952947677 0.0410088168956326 0.111456870407015 0.083057844443348 0.150785340314136 0.17962800954565 0.0833880830848537 0.1543867120954 0.0401948962285423 0.0736751760229077 0.11943736469986 0.117361264472979 0.227725590663251 0.0500270980114229 0.0916132256183893 0.12719086260843 0.154783681686817 0.0815323616462836 0.0645031243700867 0.197306933434871 0.066810646198785 0.1379737205194 0.0814271173729041 0.133847728525313 0.0573339703774486 0.116019546343909 0.0903756721406772 0.116378229245046 0.0893937983052426 0.114633513926607 0.0769274280219469 0.0663256846213696 0.00409483641128537 0.195029883611198 0.14115535659372 0.252205830998813 0.14420188263569 0.163878456811198 0.11883541295306 0.151407994740564 0.240658090487442 0.222281429604537 0.138529132102692 0.114388265299936 0.0817661488143908 0.0954259997163011 0.104764533262739 0.0768962820319021 0.22015022015022 0.136654757396645 0.132137800849457 0.104216496958928 0.168212999710884 0.108596498848877 0.0735367851054584 0.136638830139037 0 0.0950201338393349 0.211699950603345 0.100677445770661 0.139626682344049 0.0781299625230261 0.0897437204891033 0.0653661229173627 0.0923712236470332 0.161082474226804 0.142010826874485 0.195720250521921 0.106053417431833 0.16108447021796 0.130965048702627 0.152751537564819 0.173002291111423 0.0896945031995502 0.107297476014024
