"Ahlefeld_Marie-Mueller_1799" "Argens_Therese_1748" "Campe_Robinson_1779" "Cleland_Fanny-Hill_1748" "Crebillon_Schaumloeffel_1735" "Crebillon_Sopha_1742" "Defoe_Moll-Flanders_1722" "Defoe_Robinson-Crusoe_1719" "Diderot_Die-Nonne_1796" "Diderot_Jakob_1796" "Diderot_Kleinode_1748" "Ehrmann_Amalie_1787" "Ehrmann_Nina_1788" "Fielding_Tom-Jones_1749" "Forster_Ansichten_1791" "Gellert_Graefin-von-G_1747" "Goethe_Lehrjahre_1795" "Goethe_Werther_1774" "Haller_Usong_1771" "Heinse_Ardinghello_1787" "Heinse_Hildegard_1795" "Hippel_Kreuz-und-Querzuege_1793" "Hippel_Lebenslaeufe_1779" "Hoelderlin_Fragment-von-Hyperion_1794" "Hoelderlin_Hyperion_1797" "Hoelderlin_Hyperions-Jugend_1797" "Huber_Luise_1796" "Huber_Seldorf_1795" "Hunold_Adalie_1702" "Jacobi_Eduard-Allwill_1792" "Jacobi_Woldemar_1779" "Klinger_Faust_1791" "Klinger_Geschichte-eines-Teutschen_1798" "Knigge_Benjamin-Noldmann_1790" "Knigge_Braunschweig_1792" "Knigge_Josephs-von-Wurmbrands_1792" "La-Roche_Oneida_1798" "La-Roche_Rosaliens-Briefe_1779" "La-Roche_Sternheim_1771" "Lavater_Unveraenderte-Fragmente_1773" "Lesage_Gil-Blas_1715" "Lesage_Teufel_1707" "Liebeskind_Maria_1784" "Loen_Der-redliche-Mann_1740" "Mereau_Bluethenalter_1794" "Miller_Siegwart_1776" "Moritz_Anton-Reiser_1785" "Moritz_Hartknopf_1786" "Moritz_Hartknopfs-Predigerjahre_1790" "Mueller_Siegfried_1779" "Naubert_Alf-von-Duelmen_1790" "Naubert_Amtmannin_1787" "Naubert_Hermann-von-Unna_1788" "Nicolai_Sebaldus-Nothanker_1773" "Paul_Hesperus_1795" "Paul_Loge_1793" "Paul_Quintus-Fixlein_1796" "Paul_Siebenkaes_1796" "Pestalozzi_Lienhard-und-Gertrud_1781" "Pfeffel_Biographie-eines-Pudels_1789" "Prevost-dExiles_Manon-Lescaut_1731" "Restif-de-la-Bretonne_Anti-Justine_1793" "Sade_Geschichte-der-Justine_1797" "Schiller_Geisterseher_1787" "Schilling_Denkwuerdigkeiten_1787" "Schlegel_Lucinde_1799" "Schnabel_Kavalier_1738" "Schnabel_Wunderliche-Fata_1731" "Sterne_Tristram-Shandy_1759" "Swift_Gullivers-Reisen_1726" "Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "Tieck_Franz-Sternbald_1798" "Tieck_William-Lovell_1795" "Unger_Julchen-Gruenthal_1798" "Vulpius_Rinaldo-Rinaldini_1799" "Walpole_Otranto_1764" "Wezel_Belphegor_1776" "Wezel_Hermann-und-Ulrike_1780" "Wezel_Kakerlak_1784" "Wieland_Abderiten_1774" "Wieland_Agathon_1794" "Wieland_Der-goldene-Spiegel_1772" "Wieland_Don-Sylvio_1764" "Wieland_Peregrinus_1788" "Wobeser_Elisa_1795" "Wolzogen_Agnes_1798"
"und" 3.50733522075856 2.58938498449295 3.20448224434681 3.50078930262791 1.99405089787375 2.10514288978706 3.58915525386999 4.0656990386013 3.48339312579563 3.31665258551591 2.75316586515275 2.17537297573001 1.9046317180416 2.72845364790696 3.3231361326294 3.52879581151832 3.74785818187465 3.73224844594936 3.20662975582056 5.57630657921826 4.45924699412877 3.73934927964339 3.15865854812758 3.97096498719044 4.20436069537666 3.25643374698093 2.43952074482969 3.15953543247427 3.06584017423354 3.5517032856279 3.52037107549586 3.8019918894983 3.46352722724401 3.60100712487277 2.92627877070047 3.68848542761586 4.25732742092481 4.39162185728819 3.73112616002007 3.29267157090977 2.66045280238001 2.41303241133548 2.65812936059489 3.02035133696409 2.64234035860333 3.98864707631968 3.63331600226597 3.86941718405768 3.87162854216456 3.08759867583397 2.39762528513512 3.01391441323182 2.66433220416397 2.82058428145185 3.84756854201445 4.03977956378092 3.98725933949734 4.21761733909351 4.64072348228428 3.43175343175343 2.70181273358908 3.04388862671071 2.48638921159935 2.46800010513312 4.0137265974545 5.33810208242805 2.99151821729935 3.26403852142273 3.18896839421768 3.23900924423118 2.54990446277593 3.70588111785332 3.53363399606174 2.7626788500566 3.34819807387824 2.37448380786785 3.37843642611684 3.32390463992323 3.3446416144746 2.90716604802173 2.67028487169002 2.86567897192437 2.48100655223701 3.16266891102071 3.02953224985943 2.98311936220384
"die" 2.92940873675098 2.70056761659547 2.05872868716998 2.24719101123596 2.93835282267584 2.03373370085263 1.98618513826812 2.51458709690816 2.76356903136211 2.16849721626481 2.92127709415607 2.40829685042717 1.63123960540405 1.94403969234742 3.63069686353843 1.79895287958115 2.36156478255693 2.31717794511548 4.39913401476434 2.67835259747262 3.10575046141927 2.60789353012061 2.15320061835505 2.37688585254768 2.81402426314254 2.39027234113434 2.187682836865 2.45813804972561 1.95789356117719 1.85043338036686 2.03883831216034 2.97695809574121 2.27076375546415 2.74066534526169 2.27541138493032 3.35881509794553 2.09326791666257 2.29799447754687 2.69275144218711 1.97411304590744 2.11457892653902 2.52050455342497 1.95788319026543 2.68375578395643 2.67379679144385 1.72814486572597 2.25045203045094 2.31524133787302 3.33219528849437 1.98624904507257 2.3229173929934 2.21142907149733 2.53492178281886 2.33778156660874 3.07069841513644 2.87843434444156 3.08329142326589 2.80554914076185 2.08605811255775 2.3957523957524 1.99054941798245 2.38791882963662 2.97159388596551 2.260362183615 1.70713696190435 2.75094427917238 1.74723270028854 1.72773763968509 2.16924012862482 3.03739024365656 2.65838086561333 2.64870766581981 2.23464396874801 2.19872115198303 2.19920689104194 2.17344055640078 2.66752577319588 2.4865437969903 2.99669450243563 2.88111784023146 2.98254092165099 3.04657444544487 2.68681915021908 2.49871417216066 1.5261452783207 2.53022420181907
"der" 2.09878565244858 1.9573994967523 1.73928816155427 1.80146717429659 2.23956939832229 1.30678815750011 1.3759092393859 1.89580348429162 1.38872815646337 2.03635103225667 2.15099695470643 2.11586687635483 1.32367347868681 1.96485551448017 3.39797042811796 1.72146596858639 2.03026240183873 2.00889472886238 3.42490062464509 2.50874974265463 2.88776308493912 3.21734401160249 2.40306653626526 1.93566752063763 2.19702338766832 2.25701674023486 1.54664088931851 2.24057497266931 1.44971240297091 1.84640193509373 1.29807193049257 3.58291511940461 2.31718482031179 2.54995446509884 2.67695457050626 3.01958910654563 2.41477971034442 1.99689362011336 2.26034612490594 1.92196666356272 1.8805355022722 2.69132869506194 1.53314370990166 2.59366938290815 2.13274614658698 1.70394680459562 2.31098142989066 2.73583016222712 2.94298395356777 2.56132756132756 2.07488719108287 1.59884484116566 2.24869638031439 2.55664120135086 2.85808983722914 2.63180636712336 3.20708731478974 2.72556761536772 2.29900166279994 2.4993524993525 1.5229596456855 1.50778669183577 2.04902161780451 2.78602780771151 1.46170887450589 2.46682488217401 1.7043513652981 1.5302401110166 2.27063356412411 2.37305563676321 2.5598304081336 2.08285216368866 1.63183637172076 1.87951905524338 2.10624173844835 2.26037817865681 2.37220790378007 2.32634629746431 2.57480862908838 2.75366768068618 2.48999417617685 3.1104199066874 1.92708123969932 2.45476223874316 1.48866100832686 2.33309628077005
"zu" 1.83672991880952 1.91643747439874 2.10810592929985 1.74575169467917 2.14828687892475 2.62928633656579 1.87305305257455 2.44744838278757 2.00902673301701 1.67890643616906 1.60256851910543 1.67382156671059 1.37379536600369 1.87658588898053 1.42267396917814 1.81361256544503 1.91482422855723 1.47318946783242 1.67695911413969 1.08918365146123 1.18487911954367 1.93819116376782 1.31999873805092 1.05323085681753 0.979697336057031 1.24927125843258 2.79056752562896 1.68313723792308 2.18350365778746 1.42310018141504 1.54730174114715 1.69046472242507 1.32300034815799 2.1417474687952 1.84237461617195 1.75824175824176 1.62525686530917 1.40468318558349 1.7506897416604 1.57929043672595 2.12686108874545 2.38022512585553 2.06502468080764 1.86724540354613 1.83705567788613 1.32383559433967 1.62110147986621 1.2096935709994 1.04472516217139 1.77828707240472 2.11373529499656 2.46346372626236 2.53263806950101 1.75087707793698 1.15196662934564 1.09287437927527 1.01486840238823 1.0177930731493 1.03317055858248 1.68350168350168 2.74297380509409 1.47711184521 1.68739606824757 1.86611296554262 1.2380000868772 1.38717117358024 1.87733030983582 1.8915874412471 1.47686781192966 1.67242960976642 1.64168046254905 1.23669347219014 1.35488788667979 1.55419806847038 1.38285664482954 2.18702455987829 1.76331615120275 1.42939508031157 1.40048712595685 2.06245988110854 2.73781643805063 2.58001145944176 1.91502190778631 2.48562210688736 1.64395298401564 1.83778118800764
"in" 1.49278176840825 1.22593481186728 1.01878350598573 1.31859968427895 1.00410771337289 0.902612148131221 1.36794219109762 1.30955100119742 1.2475407938896 1.03009033599792 0.978352234363589 1.2385769541378 1.041168295628 1.21469544344288 1.7754642193385 1.3738219895288 1.31692696335485 1.23313286501238 1.29897785349233 1.6058351224964 1.70136488960117 1.38152773186312 1.18970249550431 1.28095644748079 1.58836036186268 1.44915465978179 1.28462771234515 1.50562308549904 1.41062154464734 1.34247127595243 1.42960988611582 1.35641149143115 1.49063197121894 1.74961161407832 1.80563210245912 1.51935021500239 1.44434503033223 1.22438599040837 1.31025833960371 1.11556010801751 1.16885243664451 1.45822727529838 0.960446933074833 1.25793374554687 1.64202579427493 1.04757439643482 1.69016707666281 1.81854596435009 2.15773301468078 1.11832611832612 1.22819774680997 1.35381114903299 1.21036805846306 1.54431292829273 1.49553562406276 1.4744497404091 1.45975988755207 1.52077548284622 1.10020834291798 1.63170163170163 1.31880073102063 0.943841434638981 1.2466115401262 1.54808526296423 1.3248772859563 1.52755958150884 1.38746556774161 1.3477900131038 1.33317882905067 1.58573343951934 1.57964330406361 1.47920297310349 1.54925998856635 1.34411617732543 1.28989149223596 1.18452510323843 1.31872852233677 1.31214908428168 1.32219902574809 1.35264621882355 1.64615937449661 1.42588196774986 1.47606222615267 1.76275307429747 1.4324346033361 1.85524821898666
"den" 1.08097990126114 0.983088536485458 0.939175299286549 0.965734980035286 0.952171107508774 0.569845327696768 0.653297959638933 1.02507665579989 0.976738803379238 0.977015229306124 0.930123603092144 0.825434607047222 0.667532408356686 0.835004308084707 1.49586355487574 0.812565445026178 0.951459024625085 0.970334057714661 1.97863429869392 1.23721851318098 1.18260050585224 1.17891077389014 1.01776193330599 0.811272416737831 1.05682244549131 0.949446156408762 0.900511307267686 1.22095099959951 0.980622103088178 0.878855069542431 0.823842985219288 1.60345550877084 1.17857925752086 1.23962072105855 1.1836338346062 1.213569039656 1.22410453557769 1.05907571573899 1.12164534737898 0.920011174224788 0.998949192789006 1.0192884212908 0.825244575962041 1.07612300888579 0.767536961308588 0.992624632617978 1.06469661578576 1.41397957139996 1.37248207579379 1.08225108225108 1.22620553635286 1.00026253609871 1.10988467247745 1.10659365880849 1.38114735876283 1.26504862759175 1.51263104955704 1.4199537008353 1.19945055306172 1.19140119140119 0.775474587154453 0.837659273242095 1.03647007904508 1.10389781060268 0.781894791711915 0.925894976100545 0.777678448131755 0.833251478096584 0.912540919493612 1.09075879310866 1.31554225793987 0.926995191802969 0.82258781680747 0.895397574879917 0.922388623389451 0.855792219082808 1.12435567010309 1.12099554619995 1.25260960334029 1.2019387308941 1.24716553287982 1.25153474666448 0.948667443823612 1.09599289287885 0.74299178023508 0.951953188356976
"nicht" 0.884438101031845 0.956755807829598 0.959329275666089 0.79394558454824 1.57855805096083 1.57671489167226 1.27472772612475 0.876264042027451 1.30771901400301 1.26513723706159 1.10925851924322 1.16036893781613 1.60845692935092 1.12695280078204 0.847847897238532 1.26492146596859 1.11348659519508 1.16490625157932 0.743540601930721 0.839191004186151 0.73751129812622 1.63106651168247 1.51717828185633 1.06746370623399 1.21732605161129 1.0660448071958 0.943756200554552 0.646194810958252 1.05210252973697 1.08445877847208 1.25307210356883 0.677428877736517 1.11668450439066 1.03712433706541 0.973676613390022 1.24701385570951 0.623359257474903 0.702568667344863 0.790569350388764 1.32414563739641 1.20024018450537 1.10526613496238 1.07396589329218 1.0359936120552 0.887071406102548 1.06824357365033 0.740321116224207 0.997396354896856 0.819392284055992 1.22230710466005 1.16743532786804 1.12803010413932 1.12358695238458 1.1565952982065 0.928444683370857 0.995153859960513 0.847228132616349 0.87472752772599 1.40976517058487 0.802900802900803 0.997744373281525 0.681925436526663 0.890111392059045 0.9645964202171 0.992571999478737 1.14316275027576 0.970281054444759 0.865854244733922 1.08114371795243 0.683488411947942 0.962107703597092 1.02147941293804 1.17194943784539 1.19012411148618 1.15915924640123 1.30678113453597 0.86340206185567 1.11673909089854 1.14387613082811 1.00006512051948 0.811617907636643 0.767782598019154 1.16332355187523 0.733155655304624 1.27446517979062 0.575164377237963
"so" 0.844661784318772 0.561764877991691 1.29690838002338 0.840375150896091 1.02771526149294 1.25965809280338 0.956045794593561 1.15796978065713 0.516143964818887 0.734386170143628 0.810241005360268 1.27258043949505 1.29861253502836 1.20995259789365 0.843736122761139 0.883769633507853 0.841197451042308 0.914742002324759 0.503975014196479 0.721547405468467 0.8544801342863 0.986957866336792 0.956872890178881 0.839738115570737 0.979697336057031 1.10768718247689 0.882704586502506 0.685161332222066 1.4943876696264 1.29812537794799 1.25999515386479 0.871645872500427 1.19405294580341 0.727487009160551 0.740099204787025 0.649784997611085 0.760026350202051 0.872420433076588 0.631050915475295 1.0429276468945 0.808575678589462 0.739860851858137 1.1670769505491 0.940993407313378 0.792702107581 0.913980933944334 0.977006588392324 0.98137392349289 0.744281324684193 1.30931160342925 0.706238607046448 1.02214054432484 0.741445590530202 0.848388471753172 0.834670557753948 0.930671612521522 0.809831457051852 0.782354498397553 1.3650733143612 0.841750841750842 0.777121030014653 0.516753185464842 0.586573726052985 0.643940389518227 1.01211936927153 1.10305177658188 0.681740546119239 0.973276180962074 1.24105565051131 0.826637902355918 1.07767406740426 0.983685724484011 1.07476338690212 1.04429056569138 0.626062199497407 0.725385785698761 1.12757731958763 1.06140517198014 1.33959638135003 1.24194133571488 1.2397308650236 1.02234591143489 1.66418780399566 1.13900967877683 0.787169669870679 0.551459120909284
"das" 0.891457451040034 0.860202469424776 1.06211455520174 0.928591326957006 0.938006578636743 0.859766634770562 0.893106113116152 0.876956193719416 1.09478069667863 1.13299105305344 1.11890424549751 0.90024227483317 0.740436971726699 0.777826670074489 0.992582358842782 0.837696335078534 1.11348659519508 1.35189771061808 1.0345684270301 1.04996911855534 1.06791028338359 0.889381804997174 0.995993311669874 1.49444918872758 1.32780255971985 1.14932955775797 0.895423672763349 0.973080628226915 0.562908359859273 1.06430155210643 1.05230364498598 1.03789562001833 1.13602661474385 0.977125408474849 1.00779466183765 1.22790253225036 0.705949443007856 0.905119168725476 0.821670428893905 0.903249837042555 0.814034417347872 0.764749137394649 0.845652478922463 0.539699439007412 1.06322743000944 0.961872929931489 0.852067699805219 1.08151411976767 1.46124957323319 1.39207198030727 0.906455757986274 0.761354686269362 0.832032885471777 0.640184924095872 1.07597725169056 1.10484015715055 1.0471069158059 1.09045234621862 1.48008912081918 0.984200984200984 0.875907601626686 1.00519112789051 1.17656438643249 0.935684810891792 0.938273750054298 1.18661630511081 0.524024449628967 0.514329542913392 1.14893247197196 0.850832182424872 1.24145216580583 0.996283620635354 0.752715492599886 0.93924962011891 1.11485554086835 0.94544664203434 0.907431271477663 0.951124284625297 1.03949199721642 0.739583042616729 0.663544106167057 0.721126299418843 0.792700084415323 0.706971524758031 0.757717743446946 0.758568202517748
"von" 0.608343667376401 0.962607525308678 0.764843403603531 0.645370972235119 0.76645839563103 0.682671846213171 0.69392990590916 0.853423036192612 0.62029857655364 0.966183574879227 0.712405781923909 0.742976155055893 0.779167521017019 1.093489390518 1.34290554431671 0.898429319371728 0.692111379719118 0.689846869156517 0.910349233390119 1.21565052008274 1.11196348141791 0.815266654580743 0.617093100293403 1.09592940506689 0.733730770834202 0.741234280003331 0.959019104067564 1.09539220886055 0.811972971463673 1.00382987300947 1.01076534321022 0.688305029443296 0.812368634833851 1.14105105265977 0.947431960738 1.14667940754897 1.10316890676158 1.06089231216393 1.0995736142463 1.12300959120961 0.937538381756895 0.874483850896544 0.830346551702147 1.34965808115966 0.786410821012897 0.687124110847285 1.0678006875519 0.801121570198278 0.942301126664391 0.827603768780239 1.64556583757508 1.19278900848867 1.43417196361283 0.973802419751467 0.638229932539217 0.699333240266172 0.613821295472423 0.666888211737007 0.478465754865169 0.764050764050764 0.759010158552447 0.764511562057574 0.783616938882435 1.00664967014482 0.360540376178272 0.91920981381823 1.10328587314393 0.880274699208129 0.789130623714476 1.11999354819198 0.722821520867528 0.715980431267978 0.750809883757861 0.714890318896152 0.689249451650858 0.652032166920235 0.896692439862543 0.690319659793136 0.669798190675017 1.18147228191603 1.26699131382972 1.26626831464353 1.0379064999799 1.29611446205639 0.809927976652655 0.827188681363926
