Source,Target,Weight,Type
Ahlefeld_Erna_1820,Ahlefeld_Marie-Mueller_1799,5,undirected
Ahlefeld_Erna_1820,Mereau_Bluethenalter_1794,1,undirected
Ahlefeld_Erna_1820,Schopenhauer_Die-Tante_1823,2,undirected
Ahlefeld_Erna_1820,Schopenhauer_Gabriele_1819,5,undirected
Ahlefeld_Erna_1820,Unger_Albert-und-Albertine_1804,1,undirected
Ahlefeld_Erna_1820,Wolzogen_Agnes_1798,2,undirected
Ahlefeld_Marie-Mueller_1799,Ahlefeld_Erna_1820,5,undirected
Ahlefeld_Marie-Mueller_1799,Wobeser_Elisa_1795,5,undirected
Ahlefeld_Marie-Mueller_1799,Wolzogen_Agnes_1798,3,undirected
Anonym_Schwester-Monika_1815,Restif-de-la-Bretonne_Anti-Justine_1793,2,undirected
Anonym_Schwester-Monika_1815,Sade_Geschichte-der-Justine_1797,1,undirected
Anonym_Schwester-Monika_1815,Schilling_Denkwuerdigkeiten_1787,6,undirected
Arnim_Graefin-Dolores_1810,Arnim_Isabella-von-Aegypten_1812,4,undirected
Arnim_Graefin-Dolores_1810,Arnim_Kronewaechter_1817,5,undirected
Arnim_Graefin-Dolores_1810,Eichendorff_Ahnung-und-Gegenwart_1815,1,undirected
Arnim_Isabella-von-Aegypten_1812,Arnim_Graefin-Dolores_1810,4,undirected
Arnim_Isabella-von-Aegypten_1812,Arnim_Kronewaechter_1817,6,undirected
Arnim_Isabella-von-Aegypten_1812,Spindler_Der-Jude_1827,1,undirected
Arnim_Kronewaechter_1817,Arnim_Graefin-Dolores_1810,5,undirected
Arnim_Kronewaechter_1817,Arnim_Isabella-von-Aegypten_1812,6,undirected
Arnim_Kronewaechter_1817,Hauff_Lichtenstein_1826,1,undirected
Arnim_Kronewaechter_1817,Spindler_Der-Jude_1827,1,undirected
Arnim_Kronewaechter_1817,Zschokke_Goldmacherdorf_1817,1,undirected
Brentano_Godwi_1801,Eichendorff_Ahnung-und-Gegenwart_1815,1,undirected
Brentano_Godwi_1801,Goethe_Werther_1774,2,undirected
Brentano_Godwi_1801,Tieck_Franz-Sternbald_1798,2,undirected
Brentano_Godwi_1801,Tieck_William-Lovell_1795,4,undirected
Bruckbraeu_Mittheilungen_1829,Forster_Ansichten_1791,3,undirected
Bruckbraeu_Mittheilungen_1829,Schopenhauer_Die-Tante_1823,2,undirected
Bruckbraeu_Mittheilungen_1829,Thuemmel_Reise-in-mittaegliche-Provinzen_1791,1,undirected
Bruckbraeu_Mittheilungen_1829,Wieland_Peregrinus_1788,1,undirected
Campe_Robinson_1779,Manzoni_Die-Verlobten_1826,3,undirected
Campe_Robinson_1779,Pestalozzi_Lienhard-und-Gertrud_1781,2,undirected
Campe_Robinson_1779,Zschokke_Goldmacherdorf_1817,1,undirected
Clauren_Liebe-und-Irrtum_1827,Hauff_Bettlerin_1826,4,undirected
Clauren_Liebe-und-Irrtum_1827,Schopenhauer_Die-Tante_1823,2,undirected
Clauren_Liebe-und-Irrtum_1827,Unger_Albert-und-Albertine_1804,2,undirected
Clauren_Liebe-und-Irrtum_1827,Unger_Julchen-Gruenthal_1798,1,undirected
Diderot_Die-Nonne_1796,Diderot_Jakob_1796,3,undirected
Diderot_Die-Nonne_1796,Manzoni_Die-Verlobten_1826,5,undirected
Diderot_Die-Nonne_1796,Sade_Geschichte-der-Justine_1797,4,undirected
Diderot_Jakob_1796,Diderot_Die-Nonne_1796,3,undirected
Diderot_Jakob_1796,Manzoni_Die-Verlobten_1826,6,undirected
Diderot_Jakob_1796,Sade_Geschichte-der-Justine_1797,2,undirected
Diderot_Jakob_1796,Stendhal_Rot-und-Schwarz_1830,2,undirected
Ehrmann_Amalie_1787,Ehrmann_Nina_1788,6,undirected
Ehrmann_Amalie_1787,Liebeskind_Maria_1784,2,undirected
Ehrmann_Amalie_1787,Wobeser_Elisa_1795,1,undirected
Ehrmann_Nina_1788,Ehrmann_Amalie_1787,6,undirected
Ehrmann_Nina_1788,Fischer_Honigmonathe_1802,1,undirected
Ehrmann_Nina_1788,Jacobi_Eduard-Allwill_1792,1,undirected
Ehrmann_Nina_1788,Liebeskind_Maria_1784,4,undirected
Eichendorff_Ahnung-und-Gegenwart_1815,Arnim_Graefin-Dolores_1810,1,undirected
Eichendorff_Ahnung-und-Gegenwart_1815,Brentano_Godwi_1801,1,undirected
Eichendorff_Ahnung-und-Gegenwart_1815,Heine_Harzreise_1824,5,undirected
Eichendorff_Ahnung-und-Gegenwart_1815,Hoffmann_Elixiere_1816,1,undirected
Eichendorff_Ahnung-und-Gegenwart_1815,Novalis_Ofterdingen_1802,1,undirected
Eichendorff_Ahnung-und-Gegenwart_1815,Paul_Titan_1800,1,undirected
Eichendorff_Ahnung-und-Gegenwart_1815,Tieck_Franz-Sternbald_1798,4,undirected
Engel_Lorenz-Stark_1801,Jacobi_Woldemar_1779,1,undirected
Engel_Lorenz-Stark_1801,Naubert_Amtmannin_1787,2,undirected
Engel_Lorenz-Stark_1801,Pestalozzi_Lienhard-und-Gertrud_1781,1,undirected
Engel_Lorenz-Stark_1801,Unger_Julchen-Gruenthal_1798,3,undirected
Fischer_Christian_Hannchen_1800,Miller_Siegwart_1776,5,undirected
Fischer_Christian_Hannchen_1800,Schilling_Denkwuerdigkeiten_1787,3,undirected
Fischer_Christian_Hannchen_1800,Waiblinger_Briten-in-Rom_1828,2,undirected
Fischer_Christian_Hannchen_1800,Wezel_Hermann-und-Ulrike_1780,2,undirected
Fischer_Christian_Hannchen_1800,Wezel_Kakerlak_1784,1,undirected
Fischer_Guenstling_1808,Fischer_Gustav_1801,2,undirected
Fischer_Guenstling_1808,Fischer_Honigmonathe_1802,4,undirected
Fischer_Guenstling_1808,Fischer_Margarethe_1812,5,undirected
Fischer_Guenstling_1808,Fischer_Vierzehn-Tage_1801,1,undirected
Fischer_Gustav_1801,Fischer_Guenstling_1808,2,undirected
Fischer_Gustav_1801,Fischer_Honigmonathe_1802,3,undirected
Fischer_Gustav_1801,Fischer_Vierzehn-Tage_1801,6,undirected
Fischer_Honigmonathe_1802,Ehrmann_Nina_1788,1,undirected
