Source,Target,Weight,Type
Ahlefeld_Marie-Mueller_1799,Mereau_Bluethenalter_1794,3,undirected
Ahlefeld_Marie-Mueller_1799,Wobeser_Elisa_1795,5,undirected
Ahlefeld_Marie-Mueller_1799,Wolzogen_Agnes_1798,6,undirected
Argens_Therese_1748,Crebillon_Sopha_1742,1,undirected
Argens_Therese_1748,Prevost-dExiles_Manon-Lescaut_1731,2,undirected
Argens_Therese_1748,Sade_Geschichte-der-Justine_1797,6,undirected
Campe_Robinson_1779,Defoe_Robinson-Crusoe_1719,6,undirected
Campe_Robinson_1779,Pestalozzi_Lienhard-und-Gertrud_1781,1,undirected
Campe_Robinson_1779,Schnabel_Wunderliche-Fata_1731,2,undirected
Cleland_Fanny-Hill_1748,Defoe_Moll-Flanders_1722,1,undirected
Cleland_Fanny-Hill_1748,Pfeffel_Biographie-eines-Pudels_1789,3,undirected
Cleland_Fanny-Hill_1748,Restif-de-la-Bretonne_Anti-Justine_1793,5,undirected
Cleland_Fanny-Hill_1748,Schilling_Denkwuerdigkeiten_1787,5,undirected
Crebillon_Schaumloeffel_1735,Crebillon_Sopha_1742,6,undirected
Crebillon_Schaumloeffel_1735,Diderot_Kleinode_1748,3,undirected
Crebillon_Schaumloeffel_1735,Lesage_Teufel_1707,4,undirected
Crebillon_Sopha_1742,Argens_Therese_1748,1,undirected
Crebillon_Sopha_1742,Crebillon_Schaumloeffel_1735,6,undirected
Crebillon_Sopha_1742,Diderot_Kleinode_1748,5,undirected
Crebillon_Sopha_1742,Lesage_Gil-Blas_1715,1,undirected
Crebillon_Sopha_1742,Prevost-dExiles_Manon-Lescaut_1731,2,undirected
Defoe_Moll-Flanders_1722,Cleland_Fanny-Hill_1748,1,undirected
Defoe_Moll-Flanders_1722,Fielding_Tom-Jones_1749,3,undirected
Defoe_Moll-Flanders_1722,Prevost-dExiles_Manon-Lescaut_1731,6,undirected
Defoe_Moll-Flanders_1722,Sterne_Tristram-Shandy_1759,3,undirected
Defoe_Moll-Flanders_1722,Swift_Gullivers-Reisen_1726,2,undirected
Defoe_Robinson-Crusoe_1719,Campe_Robinson_1779,6,undirected
Defoe_Robinson-Crusoe_1719,Schnabel_Wunderliche-Fata_1731,1,undirected
Defoe_Robinson-Crusoe_1719,Swift_Gullivers-Reisen_1726,5,undirected
Defoe_Robinson-Crusoe_1719,Wezel_Belphegor_1776,1,undirected
Diderot_Die-Nonne_1796,Diderot_Jakob_1796,2,undirected
Diderot_Die-Nonne_1796,Prevost-dExiles_Manon-Lescaut_1731,3,undirected
Diderot_Die-Nonne_1796,Sade_Geschichte-der-Justine_1797,2,undirected
Diderot_Jakob_1796,Diderot_Die-Nonne_1796,2,undirected
Diderot_Jakob_1796,Pestalozzi_Lienhard-und-Gertrud_1781,3,undirected
Diderot_Jakob_1796,Sterne_Tristram-Shandy_1759,6,undirected
Diderot_Jakob_1796,Vulpius_Rinaldo-Rinaldini_1799,3,undirected
Diderot_Kleinode_1748,Crebillon_Schaumloeffel_1735,3,undirected
Diderot_Kleinode_1748,Crebillon_Sopha_1742,5,undirected
Diderot_Kleinode_1748,Walpole_Otranto_1764,4,undirected
Ehrmann_Amalie_1787,Ehrmann_Nina_1788,6,undirected
Ehrmann_Amalie_1787,Liebeskind_Maria_1784,3,undirected
Ehrmann_Amalie_1787,Wobeser_Elisa_1795,1,undirected
Ehrmann_Nina_1788,Ehrmann_Amalie_1787,6,undirected
Ehrmann_Nina_1788,Lavater_Unveraenderte-Fragmente_1773,1,undirected
Ehrmann_Nina_1788,Liebeskind_Maria_1784,4,undirected
Ehrmann_Nina_1788,Tieck_William-Lovell_1795,1,undirected
Fielding_Tom-Jones_1749,Defoe_Moll-Flanders_1722,3,undirected
Fielding_Tom-Jones_1749,Mueller_Siegfried_1779,2,undirected
Fielding_Tom-Jones_1749,Nicolai_Sebaldus-Nothanker_1773,1,undirected
