Text Topic1 Topic2 Topic3 Topic4 Topic5 Topic6 Topic7 Topic8 Topic9 Topic10 Topic11 Topic12 Topic13 Topic14 Topic15 Topic16 Topic17 Topic18 Topic19 Topic20 Topic21 Topic22 Topic23 Topic24 Topic25 Topic26 Topic27 Topic28 Topic29 Topic30 Topic31 Topic32 Topic33 Topic34 Topic35 Topic36 Topic37 Topic38 Topic39 Topic40 Topic41 Topic42 Topic43 Topic44 Topic45 Topic46 Topic47 Topic48 Topic49 Topic50 Topic51 Topic52 Topic53 Topic54 Topic55 Topic56 Topic57 Topic58 Topic59 Topic60 Topic61 Topic62 Topic63 Topic64 Topic65 Topic66 Topic67 Topic68 Topic69 Topic70 Topic71 Topic72 Topic73 Topic74 Topic75 Topic76 Topic77 Topic78 Topic79 Topic80 Topic81 Topic82 Topic83 Topic84 Topic85 Topic86 Topic87 Topic88 Topic89 Topic90 Topic91 Topic92 Topic93 Topic94 Topic95 Topic96 Topic97 Topic98 Topic99 Topic100
Ahlefeld_Erna_1820 0.000709202 0.003695674 0.007726272 0.000961046 0.12153834 0.000604076 0.001266348 3.18E-05 0.040379192 0.000757508 2.83E-05 0.050245483 0.000120648 0.002987598 4.35E-05 0.002238193 0.000139335 0.005622547 0.000265989 5.68E-05 0.000557473 0.000450755 0.000248246 0.000935979 0.015459805 0.00047954 0.000726018 0.023544108 0.000846 2.88E-05 0.005592824 0.013741963 0.002899275 0.000244859 0.002204059 0.000264282 0.009924408 0.012249008 0.000158356 0.000838085 0.003564036 0.066858621 0.003525082 0.007272256 0.000284853 0.000891919 0.036659767 0.002700758 0.001122657 5.23E-05 0.002244293 0.002060346 0.010128659 0.002652083 0.000682425 0.006034737 0.002308167 0.007756267 0.002287216 0.003637829 4.88E-05 4.29E-05 0.088742074 0.001267031 0.000226779 6.56E-05 0.001872682 4.09E-05 0.001617211 2.59E-05 9.04E-05 6.38E-05 0.000283463 0.000640541 0.066394644 0.001780972 0.000197369 0.000196857 0.003701846 0.000478534 0.00077553 8.79E-05 0.007584299 0.001610867 0.000328431 0.042357307 6.93E-05 0.000452527 0.002762124 0.001150798 0.000907094 3.66E-05 0.000662975 0.001698958 0.000651029 0.032049613 0.001910869 0.23853732 0.000956044 0.004096204
Ahlefeld_Marie-Mueller_1799 0.000621689 0.005704463 0.018455825 0.000638931 0.103051586 3.70E-05 0.000761009 3.46E-05 0.002829635 4.25E-05 3.08E-05 0.073249971 0.000131322 0.016685447 4.74E-05 0.005007083 5.52E-05 0.004699722 0.000155528 6.18E-05 4.23E-05 0.0001213 0.000200111 0.000154221 0.005130101 0.003596826 4.47E-05 0.021624471 0.000349581 3.13E-05 0.000907486 0.008473884 0.001027077 0.000632228 0.00239478 0.000175204 0.010892892 0.003868551 7.35E-05 8.55E-05 0.000176334 0.014988179 0.000711645 0.006287326 0.000265925 0.00120535 0.020667916 0.000227587 5.11E-05 5.69E-05 0.001531071 0.000721555 0.014491593 0.00012371 0.000749131 0.006252218 0.00113009 0.003869483 0.004810899 0.000359342 5.31E-05 4.67E-05 0.130640904 0.000697252 0.00033212 7.14E-05 0.000776643 4.45E-05 0.004099104 0.000257039 9.84E-05 0.000127256 7.45E-05 9.04E-05 0.089357881 0.001134105 7.32E-05 0.001198849 0.006596437 8.09E-05 0.00131192 4.73E-05 0.009549659 0.000561229 0.000303307 0.011241008 0.000606994 0.000250166 0.013403549 7.10E-05 0.000174752 3.98E-05 0.000150148 0.000496985 3.19E-05 0.042427349 0.001450005 0.310596584 0.000291893 0.000338823
Anonym_Schwester-Monika_1815 0.000169682 0.003824734 0.009585001 0.00381578 0.059159916 0.237657604 0.002182447 3.36E-05 0.000513039 0.000408993 0.000195236 0.07603071 0.001329646 0.001548185 0.000131103 0.001247233 0.001165738 0.005013552 0.001559934 5.99E-05 4.10E-05 0.000197421 0.002002029 0.002742074 0.019622979 0.00086011 4.33E-05 0.010258727 0.000400396 0.001048873 0.004434504 0.004721798 0.00213929 0.000300183 0.003256133 6.40E-05 0.007007957 0.012436691 0.000326843 0.001192415 0.000594577 0.010094601 0.001162854 0.01775983 0.01815719 0.00496719 0.026314217 0.001261444 0.001561312 0.00091387 0.006147046 0.005537902 0.008051458 0.000594713 0.002980257 0.013952547 0.006610013 0.022375933 0.028478375 0.004707987 5.14E-05 4.53E-05 0.093558619 0.002048235 0.002218026 0.000220288 0.013426748 4.31E-05 0.001308553 2.73E-05 0.006944043 0.000444829 7.21E-05 8.76E-05 0.062197572 0.001689587 0.000299684 0.00025658 0.001323731 7.84E-05 0.001609343 4.58E-05 0.001489255 0.000546196 0.002750764 0.053910286 0.000694618 0.000242367 0.010625128 6.88E-05 0.000335482 3.86E-05 0.003239136 0.002707911 0.005299966 0.022460188 0.002871382 0.04019692 0.000682648 0.002891645
Arnim_Graefin-Dolores_1810 0.000346908 0.009338228 0.024452477 0.007246158 0.090709636 0.000402769 0.007235513 7.02E-05 0.004879359 0.000463619 0.000543498 0.097284304 0.00110759 0.002532745 0.000710643 0.00878783 0.000539936 0.008696328 0.002598127 0.000163813 4.16E-05 0.000450026 0.000433141 0.002431084 0.014621572 0.001332847 0.000203909 0.021068791 0.016433446 3.08E-05 0.010323009 0.0071212 0.007631701 0.00120904 0.015411831 0.000438453 0.017745979 0.007012163 0.000262927 0.021449407 0.000617712 0.027329725 0.000582727 0.012087625 0.000626184 0.006035258 0.013404855 0.003652939 0.000673713 0.000944202 0.006953572 0.003615583 0.019758055 0.000969005 0.001498197 0.009938829 0.004521115 0.015102726 0.029647181 0.004194972 0.00011195 4.59E-05 0.05701541 0.006177117 0.000389204 0.000207446 0.008180688 0.000641478 0.003280213 0.001057837 9.67E-05 0.00010763 0.000216679 8.89E-05 0.117311488 0.004621429 0.0001355 0.000605082 0.007055273 0.00040814 0.008757292 0.000381378 0.049216411 0.001783422 0.001747638 0.035966006 0.001279342 0.000842104 0.007932698 0.000226007 0.000319141 3.91E-05 0.000960684 0.001145833 6.80E-05 0.019417284 0.001885261 0.073985873 0.006915709 0.003459955
Arnim_Isabella-von-Aegypten_1812 0.001046484 0.003387436 0.012203871 0.014011382 0.090430364 3.80E-05 0.004482745 3.56E-05 0.001227856 4.37E-05 3.17E-05 0.083950703 0.000714925 0.001868561 4.87E-05 0.012793504 0.000124588 0.005991411 0.000431871 0.000206052 0.000960758 0.000698061 0.002410521 0.003197848 0.018087644 0.000439233 0.000747026 0.019089277 0.002705183 3.22E-05 0.003107229 0.006892126 0.007623326 0.000134766 0.005717516 6.79E-05 0.008768405 0.007551609 0.000346858 0.14288001 0.000307346 0.010149822 0.000317043 0.026828917 8.59E-05 0.00728013 0.015755639 0.000749436 0.000246656 0.000266442 0.010103742 0.001903254 0.008767443 0.000127079 0.000306055 0.005175897 0.004472119 0.023446945 0.069271559 0.001287903 5.45E-05 4.80E-05 0.080547333 0.009050504 0.000528002 7.33E-05 0.003720096 4.57E-05 0.005297808 2.89E-05 0.00010109 0.000365797 0.000358013 9.29E-05 0.103419629 0.003202961 0.000591617 0.000170832 0.000790959 0.000208664 0.001767797 4.85E-05 0.000126044 0.002089897 0.0020519 0.028746821 0.000646549 0.000475743 0.012885291 0.002365723 0.000179512 0.000189295 0.003346649 0.000477551 3.28E-05 0.0148605 0.001273967 0.061187457 0.004966795 0.002208427
Arnim_Kronewaechter_1817 0.000407142 0.007611401 0.022157214 0.013371313 0.086027622 9.30E-05 0.002095452 3.49E-05 0.004217349 4.28E-05 3.11E-05 0.095393566 0.000347738 0.001484694 0.000188726 0.009380273 5.56E-05 0.008226834 0.000620821 6.22E-05 0.000774473 0.00068869 0.004846983 0.005538796 0.023576704 0.001318112 0.000132883 0.022878925 0.000466755 3.15E-05 0.003520759 0.00602057 0.013168715 0.000345552 0.008602922 6.65E-05 0.009881184 0.00621352 7.40E-05 0.180613564 4.49E-05 0.006929469 0.000314331 0.018407712 8.42E-05 0.007331792 0.011851858 0.000514604 0.000277462 5.73E-05 0.009959661 0.001710903 0.01965877 0.000953827 0.000299965 0.003413664 0.005009807 0.02954144 0.03760715 0.000822313 0.00011779 0.000169399 0.065553029 0.008693008 0.000394506 7.19E-05 0.008556491 0.000168224 0.002110444 2.83E-05 0.000149543 0.000812317 0.000134917 9.10E-05 0.09909477 0.009499568 0.000189345 0.00044918 0.002815355 0.000856579 0.001820937 4.76E-05 0.000942202 0.002422699 0.001573334 0.018669035 0.001090989 0.000720867 0.008007355 0.000851401 0.00017594 4.01E-05 0.000640786 0.000651582 3.22E-05 0.010312077 0.002294133 0.049817756 0.001737626 0.002793782
Brentano_Godwi_1801 0.000254628 0.021007757 0.016004997 0.00762401 0.059344369 0.00029019 0.010951913 0.001084624 0.001741183 0.000473472 0.000467991 0.110131961 0.00094751 0.005618509 0.000475105 0.003669563 0.001867904 0.007676283 0.001518003 6.50E-05 4.44E-05 0.000682723 0.000676929 0.001257067 0.010398188 0.002916282 0.000550569 0.035176873 0.001320193 3.29E-05 0.020549915 0.00865318 0.007697492 0.002101165 0.005062682 0.000380515 0.010024995 0.01058918 0.000295171 8.98E-05 0.000508903 0.012848203 0.001532283 0.019990364 0.002609518 0.003892411 0.021462765 0.003833697 9.64E-05 0.00070431 0.003471662 0.004453655 0.02773512 0.000932493 0.001084183 0.017757269 0.003012967 0.012074733 0.02353093 0.00324396 7.59E-05 0.000209003 0.073279848 0.011302035 0.000931557 0.000147793 0.004821351 0.000147558 0.009428695 2.96E-05 0.000956977 0.001240929 0.000350503 0.000545836 0.083146328 0.01290752 0.000649765 0.001104591 0.010493511 0.000532133 0.012325054 0.000184678 0.010011886 0.000370829 0.003895847 0.066421618 7.92E-05 0.000441308 0.019419593 0.004548485 0.000566931 4.18E-05 0.000555361 0.001551971 0.00027992 0.015900947 0.003632086 0.107590017 0.004048026 0.001341903
Bruckbraeu_Mittheilungen_1829 0.000511128 0.004907705 0.0206173 0.005550159 0.128858156 0.000914055 0.01201763 3.08E-05 0.00430668 0.215217688 7.76E-05 0.068029401 0.000116775 0.005315029 0.00023733 0.013338206 0.001271978 0.006672519 0.001310156 0.000156195 0.000108228 0.00150512 0.000947112 0.000395916 0.013435802 0.000344285 0.000138627 0.009596542 0.016044729 0.001635472 0.008151562 0.005593445 0.005626931 0.000420352 0.00513295 0.001256695 0.012134232 0.016651415 0.000404834 0.000863889 0.000190624 0.033030451 0.000357367 0.012913401 0.001312342 0.002809316 0.021744499 0.009093732 0.001287219 0.00015377 0.009930119 0.002366285 0.006631202 0.001100312 0.001112617 0.012692726 0.004699683 0.015378533 0.011151319 0.001776141 0.000257438 0.000165188 0.044611145 0.003961291 0.002245105 0.000186564 0.003027661 0.000139407 0.001831494 0.000252799 0.000592385 0.000555135 0.000636075 0.000135938 0.072511766 0.004533986 0.000397715 0.000832926 0.0060932 0.00054502 0.000974954 4.20E-05 0.001553677 0.000789999 0.004250599 0.018153583 0.000304434 0.001394363 0.006249701 0.000221734 0.000319795 3.54E-05 0.002708698 0.000479632 0.001456781 0.014939017 0.000613601 0.056528371 0.002369244 0.003525914
Campe_Robinson_1779 0.001379652 0.002954879 0.005353701 0.006692964 0.07324211 3.95E-05 0.004545112 3.70E-05 0.000684025 4.55E-05 3.30E-05 0.078671021 0.002265845 0.005060726 5.06E-05 0.004144233 5.91E-05 0.00179761 0.000437878 0.000294923 4.52E-05 0.000343205 7.31E-05 0.000722574 0.022308327 0.002081764 0.000167837 0.011416903 0.00017803 3.35E-05 0.0011559 0.00761002 0.003399463 0.000827344 0.01746891 0.00018223 0.023798547 0.014803974 7.86E-05 9.14E-05 4.77E-05 0.003935008 0.000124767 0.002176813 0.000289304 0.012927336 0.002775019 0.000201984 5.46E-05 0.001323689 0.003380787 0.002656904 0.016463546 0.000218569 0.001351725 0.001225423 0.001993201 0.015483251 0.016311697 0.000470369 5.68E-05 5.00E-05 0.045653301 0.006017848 0.000403632 7.63E-05 0.000299094 4.76E-05 0.00160933 0.00050229 0.000105226 0.000211162 7.96E-05 0.001558619 0.063424994 0.000592563 0.000366832 0.000260803 0.002867022 0.001177627 0.001313788 5.05E-05 0.000131201 0.000430263 0.001408318 0.010165269 0.000283072 0.001130681 0.006919543 7.60E-05 0.000280454 0.410670682 0.00062996 0.000767434 3.42E-05 0.006874776 0.001031777 0.023213478 0.029487721 0.001752409
Clauren_Liebe-und-Irrtum_1827 0.000604347 0.003122006 0.030249283 0.00309683 0.105792467 9.32E-05 0.002383076 3.39E-05 0.010104883 0.001468218 3.02E-05 0.097073832 0.000398644 0.001898383 4.64E-05 0.00428177 0.000506972 0.007163454 0.000261343 0.000114766 0.003650872 0.000748944 0.000420169 0.000379891 0.005835963 0.000436153 4.38E-05 0.012108154 0.000215535 0.001493765 0.004313597 0.00441821 0.001712933 0.000128574 0.002238136 6.47E-05 0.003988684 0.008363785 0.000813812 0.000827088 0.001034014 0.039043384 0.003088162 0.013259836 0.001975269 0.003406931 0.040181412 0.000256914 5.01E-05 0.000747413 0.001234059 0.001057236 0.007789882 0.001738069 0.000648732 0.009446802 0.00421839 0.009919372 0.021853338 0.003000798 5.20E-05 4.58E-05 0.105741317 0.00358746 0.001330999 0.000125269 0.007400892 4.36E-05 0.000713202 0.000373397 0.00027602 6.81E-05 0.000463561 0.000275364 0.109680862 0.00401792 0.000192815 0.000818473 0.009251965 0.000495783 0.00339162 4.63E-05 0.117489057 0.002159945 0.000290701 0.00746742 7.39E-05 0.001013452 0.00694901 0.000650594 0.000389103 3.90E-05 0.000845053 0.000140438 0.001251784 0.010208871 0.002136002 0.112399301 0.001477998 0.00174862
Diderot_Die-Nonne_1796 0.000194128 0.004477738 0.013044306 0.005723043 0.131203937 0.00042392 0.003002591 3.84E-05 0.001928944 4.72E-05 3.42E-05 0.118193499 0.000325753 0.006774555 0.000265742 0.004388329 6.12E-05 0.000804184 0.000513198 6.85E-05 4.69E-05 0.002652697 7.58E-05 0.000384342 0.026894124 0.000520789 4.95E-05 0.004941044 0.000458064 3.47E-05 0.004797243 0.008642504 0.000713836 0.000145414 0.006484945 7.32E-05 0.006318843 0.007127902 0.008455535 0.000290067 4.94E-05 0.009078648 0.001462366 0.020826072 0.002034611 0.004788538 0.004756515 0.000500612 5.66E-05 6.31E-05 0.00268038 0.00144851 0.001959123 0.001626313 0.000330236 0.003527167 0.000266969 0.014825707 0.007189772 0.001982147 5.88E-05 5.18E-05 0.164850474 0.011552952 0.000549683 0.000265102 0.127937109 4.93E-05 0.001486128 3.12E-05 0.008641917 0.000288607 8.25E-05 0.000100193 0.111799848 0.000450474 8.12E-05 0.000184329 0.012388562 8.96E-05 0.001305245 0.000182595 0.000136003 0.00096506 0.000142127 0.009033448 8.36E-05 0.000528089 0.007630398 7.88E-05 0.000193695 4.41E-05 0.00708646 0.000158832 3.54E-05 0.033484162 0.000975659 0.04642916 0.000263432 0.00023033
Diderot_Jakob_1796 0.000780317 0.007921549 0.014679096 0.010587686 0.109756844 0.003679546 0.012890714 0.000656025 0.000904129 0.000108509 3.55E-05 0.163608113 0.00112814 0.004723594 0.000209288 0.021382653 0.000976023 0.036589644 0.001692632 0.000104791 0.004440026 0.008111645 0.001194913 0.001173965 0.010947655 0.001791492 0.000181128 0.003313131 0.000817192 0.00048746 0.001332389 0.011747374 0.000627266 0.000467101 0.003493027 7.61E-05 0.006736058 0.022868326 0.004402526 0.000443993 5.13E-05 0.014553831 0.003051394 0.013002222 0.001838334 0.006289242 0.006132913 0.001893782 9.35E-05 0.000391757 0.003942814 0.00468583 0.003169199 0.000378413 0.00151991 0.014995853 0.022386169 0.014379077 0.069033315 0.002871379 9.79E-05 5.38E-05 0.057866709 0.011287083 0.000837413 0.000725041 0.014809549 0.000140048 0.00226598 0.002295793 0.012246308 0.001983359 0.000794091 0.000104061 0.114477058 0.002968373 8.43E-05 0.000919538 0.004892848 9.31E-05 0.003333863 0.000302422 0.000564121 0.000260056 0.000237899 0.009878364 0.001607649 0.000805786 0.031076065 0.000334365 0.000201174 4.58E-05 0.005541063 0.000365784 3.68E-05 0.033221514 0.001325662 0.017834731 0.000338358 0.002018334
Ehrmann_Amalie_1787 0.000266227 0.009136292 0.008146899 0.002009904 0.067943671 0.000158919 0.003761431 7.18E-05 0.000434193 0.000206754 5.14E-05 0.083012721 0.000995777 0.009092567 0.000148515 0.006093623 0.000188818 0.00363141 0.001202528 0.000183331 0.000265979 0.00030644 0.000142474 0.000359183 0.016895002 0.000451714 0.001069988 0.00310706 0.001213343 7.14E-05 0.000877364 0.007275765 0.001081676 0.000144411 0.004095847 0.000420396 0.024550195 0.019887194 0.000104745 0.000100442 4.19E-05 0.012310667 0.000739831 0.004124043 0.000479252 0.00139861 0.004826385 0.027872179 0.000222053 9.33E-05 0.004160771 0.001393618 0.001348482 0.000116269 0.002435641 0.040727123 0.000992002 0.005942826 0.015079528 0.000578 0.000112288 4.39E-05 0.019569488 0.002175235 0.000428343 0.000113976 0.005942537 4.18E-05 0.001339798 2.64E-05 0.00023068 6.53E-05 0.000186191 0.351260312 0.049851428 0.000628483 0.000219654 0.000551006 0.005977205 7.60E-05 0.000617665 4.44E-05 0.000258519 0.00014613 0.000589977 0.023670411 0.000218546 0.000674347 0.022904472 6.68E-05 0.000310668 3.74E-05 0.00070745 0.000394091 3.00E-05 0.068481081 0.000913967 0.035522198 0.000860648 0.000671069
