Text Topic1 Topic2 Topic3 Topic4 Topic5 Topic6 Topic7 Topic8 Topic9 Topic10 Topic11 Topic12 Topic13 Topic14 Topic15 Topic16 Topic17 Topic18 Topic19 Topic20 Topic21 Topic22 Topic23 Topic24 Topic25 Topic26 Topic27 Topic28 Topic29 Topic30 Topic31 Topic32 Topic33 Topic34 Topic35 Topic36 Topic37 Topic38 Topic39 Topic40 Topic41 Topic42 Topic43 Topic44 Topic45 Topic46 Topic47 Topic48 Topic49 Topic50 Topic51 Topic52 Topic53 Topic54 Topic55 Topic56 Topic57 Topic58 Topic59 Topic60 Topic61 Topic62 Topic63 Topic64 Topic65 Topic66 Topic67 Topic68 Topic69 Topic70 Topic71 Topic72 Topic73 Topic74 Topic75 Topic76 Topic77 Topic78 Topic79 Topic80 Topic81 Topic82 Topic83 Topic84 Topic85 Topic86 Topic87 Topic88 Topic89 Topic90 Topic91 Topic92 Topic93 Topic94 Topic95 Topic96 Topic97 Topic98 Topic99 Topic100
Ahlefeld_Marie-Mueller_1799 0.003802811 3.76E-05 6.27E-05 0.016290222 0.01071039 0.018273076 0.000487222 0.000530201 4.14E-05 0.000168453 0.000261957 0.000134017 0.003221094 0.015515844 0.000401129 6.41E-05 0.001748672 0.000945819 0.006307625 0.173523029 0.000128383 0.000347881 3.17E-05 0.002559211 0.000489724 0.007748212 0.00020479 8.40E-05 2.91E-05 0.156957708 0.001306658 6.65E-05 3.01E-05 0.002987091 0.001341487 0.00017587 0.0002848 0.000523236 2.37E-05 9.39E-05 0.003652572 0.002028309 4.41E-05 0.000402943 0.001947413 0.007807774 4.71E-05 0.032768669 0.000273065 0.004938137 0.153260516 0.065227823 0.0230329 1.36E-05 0.000428466 0.015315606 0.000447775 0.000101794 0.000258832 0.072206652 0.000100035 0.00012371 0.000263681 6.31E-05 0.001953778 0.000192577 0.002659033 4.92E-05 0.02836579 0.000126868 0.000322509 5.86E-05 5.92E-05 2.60E-05 8.97E-05 0.00116607 7.77E-05 5.49E-05 0.000685289 0.006014531 0.000491207 1.91E-05 7.13E-05 0.000271498 0.00121518 0.001328604 0.006098937 3.79E-05 0.000408567 0.001511523 0.004504578 0.00297532 0.004015121 7.22E-05 0.001534073 3.72E-05 2.15E-05 5.22E-05 0.000750147 0.119985831
Argens_Therese_1748 0.005175796 3.87E-05 6.45E-05 0.013697097 0.013627055 0.103249992 0.000701942 0.004996815 4.26E-05 0.001445291 0.008709869 0.000147333 0.001258477 0.023872019 0.000916029 0.001594797 3.74E-05 0.000334688 0.010922943 0.019219475 0.000778439 0.001835486 3.26E-05 0.004588788 0.000192752 0.001637787 0.000140639 0.002480191 2.99E-05 0.028816055 0.001472464 6.83E-05 3.10E-05 0.00019614 0.003192527 0.000278275 0.000168765 0.000361552 2.44E-05 0.021096166 0.000430343 0.000110537 4.54E-05 0.002396179 0.001417325 0.010260331 4.84E-05 0.070969483 0.000160998 0.004929597 0.126350527 0.039727398 0.049908387 1.40E-05 0.003176686 0.018701636 0.000362155 0.000827788 0.076039665 0.009015867 0.000787799 5.89E-05 6.84E-05 0.000215689 0.007543886 5.82E-05 0.003637986 5.05E-05 0.004980243 6.74E-05 0.003538159 0.000901029 0.001232842 2.67E-05 0.000254664 0.001211847 0.000218613 5.65E-05 0.000189095 0.000921675 0.001931336 1.96E-05 7.33E-05 0.00036452 0.031261503 0.029449512 0.000394233 0.000194605 0.000643496 0.148571919 0.000367676 0.000672672 0.011080746 7.42E-05 0.001116855 3.82E-05 2.21E-05 5.37E-05 0.00465183 0.050630034
Campe_Robinson_1779 0.000161953 4.07E-05 6.78E-05 0.006137873 0.007125107 0.01946318 0.002134759 0.004431847 4.48E-05 0.000589621 0.000282828 7.18E-05 0.068882255 0.060993869 0.009812261 0.000352751 0.000100859 0.002992765 0.018923426 0.009482256 0.000754393 0.000540782 3.43E-05 0.004304673 0.00031717 0.002635169 0.000432303 9.08E-05 3.15E-05 0.006984829 0.000843665 7.18E-05 3.25E-05 0.000477819 0.000475182 0.001556005 0.000262571 0.044692578 0.001190952 0.000129098 0.000188537 0.000314985 0.000280224 7.84E-05 0.002567111 0.005651584 5.09E-05 0.057376154 0.000491637 0.004068609 0.124611811 0.014487204 0.015817826 1.47E-05 9.14E-05 0.003426319 0.001200719 0.000181168 6.06E-05 0.023826013 0.000364117 0.000216482 0.000152087 0.000177408 0.009767668 0.00018213 0.003459525 0.000245258 0.018292328 0.317220053 0.009394305 0.000123096 0.002159888 2.81E-05 9.69E-05 0.007133405 0.000144854 0.000173548 0.001109313 0.000253529 0.000856618 2.07E-05 0.000163961 4.16E-05 0.018030419 0.001801576 0.00304699 0.000210172 0.000969142 0.00110594 0.001355732 0.001159128 0.011331091 0.000111462 0.003307461 4.02E-05 2.33E-05 5.64E-05 0.001012811 0.051924506
Cleland_Fanny-Hill_1748 0.001988271 3.71E-05 6.19E-05 0.018193389 0.001558624 0.011401958 0.002050974 0.002102308 0.000965663 0.000549363 0.021954049 6.55E-05 0.001414187 0.006755613 9.06E-05 6.32E-05 3.58E-05 0.00160342 0.018568352 0.022594516 0.000936279 0.000550906 3.13E-05 0.001614105 0.000184845 0.005165529 0.00056153 0.0190719 2.87E-05 0.013522206 0.000411459 0.001054991 2.97E-05 0.000758015 0.000957533 0.000800924 0.000289603 0.002123899 2.34E-05 0.011328495 0.000171941 0.000354692 4.35E-05 7.15E-05 0.001496808 0.015539998 4.65E-05 0.045308925 0.000154394 0.001432901 0.153473176 0.019045602 0.017707499 1.34E-05 0.000466615 0.030903172 0.000316477 0.000603117 0.228680276 0.010499382 9.86E-05 5.64E-05 6.56E-05 6.22E-05 0.008526287 5.58E-05 0.004560304 0.000433891 0.009778957 0.000649275 0.002138067 0.000707267 0.000309788 2.56E-05 0.000583145 0.0016606 7.66E-05 5.42E-05 0.001219573 0.000121673 0.000393205 1.88E-05 0.000320344 0.000164325 0.017103858 0.000631212 0.001731175 0.000760287 0.001340764 0.129526446 0.000608116 0.001206172 0.019071926 7.12E-05 0.000869562 3.67E-05 2.12E-05 5.15E-05 0.000449668 0.09660975
Crebillon_Schaumloeffel_1735 0.001504491 3.96E-05 6.61E-05 0.003263042 0.002629731 0.016443489 0.001900999 0.007650997 0.000413717 0.001312857 0.001314348 7.00E-05 0.001040432 0.012915406 0.000423146 0.000694766 3.83E-05 0.000342895 0.019606106 0.020632825 0.000275812 0.001752208 3.34E-05 0.011061029 0.000779069 0.003950924 0.001285604 8.85E-05 3.07E-05 0.029979032 0.003597688 0.24544297 3.17E-05 0.000345846 0.001171896 0.000121047 0.000967661 0.001800103 2.50E-05 0.000402296 0.00152497 0.000202206 4.65E-05 0.000185234 0.000560475 0.003891203 0.000123905 0.093489616 0.000164946 0.014398873 0.166756657 0.077623407 0.084841605 1.43E-05 8.90E-05 0.021198654 0.015773555 0.00038839 0.000424264 0.013771819 0.001323857 0.000108604 7.01E-05 6.65E-05 0.002686507 5.96E-05 0.003576751 5.18E-05 0.006170181 6.91E-05 0.001053163 6.17E-05 0.000183524 2.74E-05 0.000475962 0.002600448 8.19E-05 5.79E-05 0.000965337 0.000229017 0.000755188 2.01E-05 7.51E-05 0.000412931 0.006739443 0.001388037 0.000849728 4.00E-05 0.001625212 0.017816755 0.001556611 0.000966614 0.008527378 0.003022882 0.003336266 3.92E-05 2.27E-05 0.00063508 0.0049003 0.036436062
Crebillon_Sopha_1742 0.002295645 4.37E-05 7.28E-05 0.002424098 0.011799897 0.022479187 0.000793346 0.002720781 0.000208603 0.000195579 8.62E-05 7.71E-05 0.001478876 0.008190235 0.000194065 7.45E-05 4.22E-05 0.000758496 0.007067075 0.031411319 0.000149056 0.000398335 3.68E-05 0.001410124 0.000300238 0.000720603 0.000247541 0.000899638 3.38E-05 0.040875121 0.000351303 0.226840605 3.50E-05 0.00038199 0.000353972 0.000133427 0.000190586 0.000222772 2.75E-05 0.000677783 0.000379911 0.000124829 0.000136757 8.42E-05 0.001147215 0.002808506 5.47E-05 0.076202036 0.000181815 0.002885538 0.127588289 0.079619036 0.17453312 1.58E-05 0.000349 0.028546541 0.001859868 0.000118186 6.50E-05 0.011915429 0.000696403 6.65E-05 7.73E-05 7.33E-05 0.00121306 6.57E-05 0.001012337 5.71E-05 0.001961093 7.62E-05 0.000671814 6.80E-05 6.88E-05 3.02E-05 0.000971505 0.001033442 0.000433916 6.38E-05 0.000305104 0.000611181 0.000157096 2.22E-05 8.28E-05 4.47E-05 0.00185663 0.000591404 0.00086268 4.41E-05 0.000331351 0.069331625 0.000415217 0.0003791 0.002332401 0.001151065 0.000792888 4.32E-05 2.50E-05 6.06E-05 0.002116796 0.034486919
Defoe_Moll-Flanders_1722 0.001555666 4.44E-05 9.86E-05 0.02872905 0.007846831 0.009654531 0.00055523 0.000831732 7.58E-05 0.005869171 0.000384979 0.000127534 0.002710599 0.037245261 0.001154136 7.57E-05 4.29E-05 0.000851668 0.017373182 0.008161875 0.000331251 0.000939718 8.72E-05 0.001643732 0.000834913 0.013264901 0.000161392 0.253014353 3.43E-05 0.009761449 0.00085256 0.00013335 3.55E-05 0.000274565 0.000611721 0.000135584 0.000261184 0.008596215 7.72E-05 0.000763017 0.000405976 0.000267597 5.21E-05 0.000405358 0.000837192 0.02385495 5.56E-05 0.063180224 0.000208607 0.001665772 0.209103483 0.032355527 0.084385086 1.60E-05 0.000252057 0.011821456 0.000720393 0.000270014 0.00014851 0.015985732 0.000222887 6.75E-05 7.85E-05 7.45E-05 0.003927493 6.68E-05 0.002955718 5.80E-05 0.002597523 7.74E-05 0.001164555 0.000265575 0.000205384 3.07E-05 0.001519931 0.001060302 9.17E-05 6.48E-05 0.001145749 0.000199428 0.001691123 2.25E-05 0.000361587 4.54E-05 0.004231266 0.003196768 0.006969504 6.95E-05 0.000631598 0.055262505 0.000805384 0.00043294 0.012323288 8.51E-05 0.001272121 0.000302317 2.54E-05 6.16E-05 0.000561028 0.034580014
Defoe_Robinson-Crusoe_1719 0.000529552 3.80E-05 6.34E-05 0.007816322 0.001509213 0.01625313 0.005186095 0.000881552 0.000491346 0.001268514 0.000423649 6.71E-05 0.076708101 0.009577575 0.229315435 0.000258944 3.67E-05 0.001406647 0.026513013 0.012080289 0.000255015 0.000437425 3.21E-05 0.006474606 0.000373254 0.009605602 0.000236009 0.000546361 2.94E-05 0.005894536 0.0002374 0.000217704 3.04E-05 0.000316331 0.000561301 0.000328284 0.000693342 0.078366634 6.18E-05 0.000310341 0.000176189 0.000149877 8.32E-05 0.000169293 0.000829439 0.016731395 9.59E-05 0.069859232 0.000251568 0.001674814 0.216549656 0.02523601 0.015182926 1.37E-05 0.000103134 0.003664248 0.002282223 0.000210623 9.48E-05 0.013444717 0.000173129 5.78E-05 0.00019256 9.78E-05 0.006610055 0.000339041 0.00441566 4.97E-05 0.023228133 0.000340721 0.018650689 0.000168753 0.000282221 2.63E-05 0.001628205 0.003007679 7.85E-05 0.000108193 0.000478582 0.000159626 0.001251022 1.93E-05 0.000126579 3.89E-05 0.018384015 0.004098432 0.00137354 3.83E-05 0.000886679 0.004293772 0.001123963 0.000605949 0.012061446 0.000216964 0.001173627 0.000377983 5.57E-05 5.27E-05 0.0010045 0.030487817
Diderot_Die-Nonne_1796 0.001115779 0.000320419 0.000272761 0.012495834 0.006217476 0.010246116 0.001029885 0.003188903 4.62E-05 0.006689761 0.000607855 0.00014167 0.000548107 0.01586276 0.000102511 7.15E-05 4.05E-05 0.000699111 0.023022786 0.015735081 0.000530487 0.000779648 3.54E-05 0.003010566 0.000209113 0.001657804 0.000152577 0.000549032 3.25E-05 0.009586236 0.005568292 7.41E-05 3.36E-05 0.000898171 0.00044944 0.000128179 0.000369882 0.00021401 8.67E-05 0.000215979 0.000194515 0.000181761 4.92E-05 8.09E-05 0.003401261 0.004621062 5.26E-05 0.041583163 0.000174664 0.008041663 0.151510966 0.038533494 0.084574618 0.000140175 0.000687888 0.010049413 0.000486864 0.00018903 6.25E-05 0.023633969 0.000955875 0.000123787 7.42E-05 7.04E-05 0.003008551 6.31E-05 0.004834135 5.48E-05 0.002109076 7.32E-05 0.001188492 6.53E-05 6.61E-05 2.90E-05 0.000168007 0.001082073 8.67E-05 6.13E-05 0.000205146 0.000296905 0.001114754 2.13E-05 7.95E-05 0.000185586 0.017989825 0.027707002 0.011505858 4.23E-05 0.000658455 0.25123243 0.001645697 0.000286665 0.032646232 0.000346235 0.000588452 0.000101403 2.40E-05 5.82E-05 0.000445439 0.147417957
Diderot_Jakob_1796 0.011125082 0.001369899 0.000105318 0.017290578 0.031579917 0.012258882 0.002673042 0.013917128 4.78E-05 0.010542679 0.001039804 0.001609794 0.002303887 0.114441039 0.000240265 0.003810883 4.19E-05 0.000749578 0.014724469 0.008602914 0.000321017 0.00203567 0.000190985 0.005074382 0.001181385 0.041464956 0.000189232 0.003900946 3.36E-05 0.009419907 0.000750106 0.000377756 0.000657784 0.000351035 0.003515667 0.000132584 0.000740404 0.000603581 2.74E-05 0.000867425 0.002536652 0.006310923 0.000338788 0.000116016 0.002496698 0.019430238 0.000248195 0.069473282 0.000329157 0.009742765 0.137720006 0.044279414 0.076151728 0.000498094 0.000176264 0.02253207 0.001633428 0.000183707 0.004395195 0.012085494 0.000473018 0.000724231 0.000900081 0.000471286 0.018332461 0.000173964 0.006845224 5.67E-05 0.00386796 0.000131419 0.008927519 0.00135253 0.000191214 3.00E-05 0.00287264 0.001873828 0.000464017 6.34E-05 0.008277268 0.000557335 0.012985452 2.20E-05 0.000762727 0.00404092 0.028850409 0.012682914 0.004296013 0.000349203 0.002617623 0.057759632 0.001233532 0.003077399 0.028991665 8.33E-05 0.002544441 0.000872193 0.00014428 6.02E-05 0.001250147 0.049801051
