"","Topic aus Model 1","Topic aus Model 2","Übereinstimmende Topic Wörter"
"1","1",92,25
"2","2",78,34
"3","3",23,22
"4","4",48,0
"5","5",62,49
"6","6",93,11
"7","7",46,19
"8","8",54,3
"9","9",37,34
"10","10",45,2
"11","11",98,44
"12","12",99,28
"13","13",13,27
"14","14",94,26
"15","15",77,31
"16","16",88,49
"17","17",47,52
"18","18",81,46
"19","19",83,20
"20","20",10,1
"21","21",66,49
"22","22",22,19
"23","23",90,3
"24","24",43,39
"25","25",35,9
"26","26",19,28
"27","27",56,4
"28","28",2,46
"29","29",5,64
"30","30",58,20
"31","31",61,28
"32","32",31,15
"33","33",15,3
"34","34",67,2
"35","35",68,51
"36","36",91,19
"37","37",25,25
"38","38",82,88
"39","39",65,39
"40","40",51,0
"41","41",64,57
"42","42",30,30
"43","43",1,28
"44","44",59,38
"45","45",95,6
"46","46",7,5
"47","47",3,31
"48","48",9,48
"49","49",57,0
"50","50",42,24
"51","51",89,15
"52","52",63,15
"53","53",29,6
"54","54",72,9
"55","55",27,19
"56","56",16,49
"57","57",6,10
"58","58",21,36
"59","59",17,48
"60","60",97,61
"61","61",4,4
"62","62",69,23
"63","63",52,11
"64","64",38,34
"65","65",28,16
"66","66",74,31
"67","67",24,2
"68","68",49,52
"69","69",36,32
"70","70",84,52
"71","71",14,8
"72","72",40,46
"73","73",55,54
"74","74",76,1
"75","75",80,0
"76","76",41,45
"77","77",73,4
"78","78",53,1
"79","79",32,22
"80","80",70,41
"81","81",87,1
"82","82",96,35
"83","83",44,24
"84","84",26,29
"85","85",100,0
"86","86",8,1
"87","87",75,13
"88","88",85,1
"89","89",86,51
"90","90",33,7
"91","91",79,29
"92","92",18,15
"93","93",12,34
"94","94",60,3
"95","95",50,1
"96","96",20,1
"97","97",71,26
"98","98",39,13
"99","99",11,1
"100","100",34,25
"101",NA,50.5,NA
